,DateTime,Average USD,Active market wallets,Number of sales,Sales USD,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
0,2017-06-23 00:00:00,53.7,8,19.0,1020.3,18.0,1.0,953.92,66.38,8,2
1,2017-06-24 00:00:00,59.09,17,21.0,1240.84,21.0,0.0,1240.84,0.0,9,10
2,2017-06-25 00:00:00,39.81,10,13.0,517.55,11.0,2.0,402.33,115.22,7,5
3,2017-06-26 00:00:00,30.33,14,14.0,424.63,14.0,0.0,424.63,0.0,6,8
4,2017-06-27 00:00:00,63.42,22,33.0,2092.91,32.0,1.0,2049.94,42.98,8,15
5,2017-06-28 00:00:00,83.15,11,15.0,1247.26,15.0,0.0,1247.26,0.0,7,5
6,2017-06-29 00:00:00,57.52,20,38.0,2185.72,34.0,4.0,1429.27,756.46,13,11
7,2017-06-30 00:00:00,81.34,13,21.0,1708.15,12.0,9.0,626.32,1081.83,10,6
8,2017-07-01 00:00:00,314.08,13,10.0,3140.8,6.0,4.0,2938.69,202.11,5,8
9,2017-07-02 00:00:00,94.34,21,31.0,2924.61,30.0,1.0,2867.38,57.23,12,11
10,2017-07-03 00:00:00,142.15,24,51.0,7249.8,43.0,8.0,6659.17,590.63,11,16
11,2017-07-04 00:00:00,232.86,28,58.0,13505.93,51.0,7.0,10525.34,2980.59,14,18
12,2017-07-05 00:00:00,102.24,12,18.0,1840.28,16.0,2.0,1654.13,186.16,7,7
13,2017-07-06 00:00:00,305.31,15,23.0,7022.18,21.0,2.0,6808.2,213.98,9,11
14,2017-07-07 00:00:00,191.42,19,37.0,7082.51,30.0,7.0,5993.45,1089.06,6,15
15,2017-07-08 00:00:00,107.6,18,30.0,3227.88,22.0,8.0,2255.33,972.55,9,12
16,2017-07-09 00:00:00,80.76,16,12.0,969.1,11.0,1.0,897.48,71.63,8,8
17,2017-07-10 00:00:00,288.83,22,17.0,4910.06,14.0,3.0,4495.2,414.86,11,11
18,2017-07-11 00:00:00,132.78,20,43.0,5709.37,34.0,9.0,5034.25,675.12,9,16
19,2017-07-12 00:00:00,104.63,17,17.0,1778.73,14.0,3.0,1534.38,244.35,7,10
20,2017-07-13 00:00:00,171.0,24,31.0,5300.97,25.0,6.0,3024.23,2276.74,12,16
21,2017-07-14 00:00:00,64.06,6,7.0,448.4,5.0,2.0,191.04,257.36,4,3
22,2017-07-15 00:00:00,109.94,7,5.0,549.69,3.0,2.0,140.86,408.83,4,3
23,2017-07-16 00:00:00,106.4,4,3.0,319.2,3.0,0.0,319.2,0.0,2,2
24,2017-07-17 00:00:00,290.44,7,5.0,1452.2,3.0,2.0,651.7,800.5,4,4
25,2017-07-18 00:00:00,97.39,17,30.0,2921.67,29.0,1.0,2012.23,909.44,10,8
26,2017-07-19 00:00:00,110.86,12,31.0,3436.75,27.0,4.0,2730.2,706.55,8,7
27,2017-07-20 00:00:00,112.03,10,21.0,2352.71,14.0,7.0,969.82,1382.89,5,5
28,2017-07-21 00:00:00,101.67,12,21.0,2135.0,21.0,0.0,2135.0,0.0,4,8
29,2017-07-22 00:00:00,80.37,13,13.0,1044.77,11.0,2.0,947.69,97.08,7,7
30,2017-07-23 00:00:00,70.28,9,6.0,421.7,5.0,1.0,331.01,90.69,6,4
31,2017-07-24 00:00:00,75.12,18,15.0,1126.82,13.0,2.0,953.63,173.18,9,10
32,2017-07-25 00:00:00,221.18,12,8.0,1769.47,5.0,3.0,1125.05,644.42,5,7
33,2017-07-26 00:00:00,62.9,7,5.0,314.52,4.0,1.0,250.41,64.11,4,4
34,2017-07-27 00:00:00,55.88,4,2.0,111.75,2.0,0.0,111.75,0.0,2,2
35,2017-07-28 00:00:00,74.8,8,5.0,374.0,5.0,0.0,374.0,0.0,4,4
36,2017-07-29 00:00:00,125.85,7,8.0,1006.8,7.0,1.0,719.08,287.72,4,3
37,2017-07-30 00:00:00,92.44,10,16.0,1478.99,13.0,3.0,591.6,887.4,7,3
38,2017-07-31 00:00:00,106.73,4,2.0,213.45,1.0,1.0,91.48,121.97,2,2
