,DateTime,Average_NFT_in_USD,Active_market_wallets,Number_of_sales,Sales_USD,Primary_Sales,Secondary_sales,Primary_sales_USD,Secondary_sales_USD,Unique_buyers,Unique_sellers,ΔAverage_NFT_in_USD,ΔActive_market_wallets,ΔNumber_of_sales,ΔSales_USD,ΔPrimary_Sales,ΔSecondary_sales,ΔPrimary_sales_USD,ΔSecondary_sales_USD,ΔUnique_buyers,ΔUnique_sellers,extern_Open_ETH,extern_Open_BTC,extern_Open_NASDAQ,extern_Open_USD,SVI_BAYC,SVI_bored_ape_yacht_club,SVI_cryptopunks,SVI_metaverse,SVI_NFT,month,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
0,2021-10-01,652.28,76795.0,179108.0,116829018.1,94070.0,85038.0,26163901.39,90665116.66,58172.0,36584.0,-1.3,-1875.0,-11520.0,-7732405.9,-13862.0,2342.0,-3891187.94,-3841217.91,-4560.0,2782.0,3001.129395,43816.742188,14494.929688,94.309998,300,133,324,303,1243,10,0,0,0,0,0,0,0,0,0,1,0,0
1,2021-10-02,650.98,74920.0,167588.0,109096612.2,80208.0,87380.0,22272713.45,86823898.75,53612.0,39366.0,112.26,1694.0,29.0,18834931.4,-3283.0,3312.0,1713594.64,17121336.75,1448.0,342.0,3308.870361,48137.46875,,,335,134,200,210,1215,10,0,0,0,0,0,0,0,0,0,1,0,0
2,2021-10-03,763.24,76614.0,167617.0,127931543.6,76925.0,90692.0,23986308.09,103945235.5,55060.0,39708.0,69.96,13978.0,26701.0,33973558.6,-39.0,26740.0,6095355.85,27878202.8,8088.0,12870.0,3390.767578,47680.027344,,,155,227,176,423,1253,10,0,0,0,0,0,0,0,0,0,1,0,0
3,2021-10-04,833.2,90592.0,194318.0,161905102.2,76886.0,117432.0,30081663.94,131823438.3,63148.0,52578.0,45.07,-5033.0,-38961.0,-25458967.7,-22897.0,-16064.0,-8380445.19,-17078522.5,-5275.0,-1962.0,3418.7763670000004,48208.90625,14493.120116999999,94.07,179,156,278,495,1340,10,0,0,0,0,0,0,0,0,0,1,0,0
4,2021-10-05,878.27,85559.0,155357.0,136446134.5,53989.0,101368.0,21701218.75,114744915.8,57873.0,50616.0,-97.75,-6479.0,116.0,-15096542.6,17602.0,-17486.0,5947989.95,-21044532.63,-3738.0,-6497.0,3381.7844240000004,49174.960938,14312.860352000002,93.83000200000001,221,264,269,374,1441,10,0,0,0,0,0,0,0,0,0,1,0,0
5,2021-10-06,780.52,79080.0,155473.0,121349591.9,71591.0,83882.0,27649208.7,93700383.17,54135.0,44119.0,3.07,-874.0,22483.0,18095178.7,17557.0,4926.0,-2146072.14,20241250.83,4000.0,-4159.0,3516.570313,51486.664063,14289.450195,93.989998,121,221,185,644,1494,10,0,0,0,0,0,0,0,0,0,1,0,0
6,2021-10-07,783.59,78206.0,177956.0,139444770.6,89148.0,88808.0,25503136.56,113941634.0,58135.0,39960.0,-82.06,2967.0,7456.0,-9373549.0,7143.0,313.0,1566750.14,-10940299.1,2248.0,-884.0,3576.814453,55338.625,14631.799805,94.230003,416,174,294,539,1559,10,0,0,0,0,0,0,0,0,0,1,0,0
7,2021-10-08,701.53,81173.0,185412.0,130071221.6,96291.0,89121.0,27069886.7,103001334.9,60383.0,39076.0,-89.12,-7187.0,-33817.0,-37233338.79,-30592.0,-3225.0,-9462891.86,-27770446.93,-8690.0,-731.0,3587.832764,53802.14453099999,14694.719727000002,94.209999,161,467,226,619,1255,10,0,0,0,0,0,0,0,0,0,1,0,0
8,2021-10-09,612.41,73986.0,151595.0,92837882.81,65699.0,85896.0,17606994.84,75230887.97,51693.0,38345.0,-7.43,490.0,14947.0,7916542.49,16190.0,-1243.0,7301178.65,615363.79,2620.0,-808.0,3559.997803,53929.78125,,,224,305,258,398,1278,10,0,0,0,0,0,0,0,0,0,1,0,0
9,2021-10-10,604.98,74476.0,166542.0,100754425.3,81889.0,84653.0,24908173.49,75846251.76,54313.0,37537.0,-52.99,-1128.0,-1706.0,-9767372.15,1833.0,-3539.0,-3662241.33,-6105130.77,0.0,-2002.0,3575.0205079999996,54952.820313,,,230,176,180,445,1205,10,0,0,0,0,0,0,0,0,0,1,0,0
10,2021-10-11,551.99,73348.0,164836.0,90987053.15,83722.0,81114.0,21245932.16,69741120.99,54313.0,35535.0,12.98,966.0,4365.0,4607025.95,-844.0,5209.0,-649000.63,5256026.59,144.0,1031.0,3419.726807,54734.125,14540.080078,94.099998,94,208,183,415,1262,10,0,0,0,0,0,0,0,0,0,1,0,0
11,2021-10-12,564.97,74314.0,169201.0,95594079.1,82878.0,86323.0,20596931.53,74997147.58,54457.0,36566.0,160.24,3527.0,6953.0,32154731.8,15120.0,-8167.0,11306489.44,20848242.3,5772.0,-1447.0,3546.477783,57526.83203099999,14539.089844,94.370003,260,185,35,448,1344,10,0,0,0,0,0,0,0,0,0,1,0,0
12,2021-10-13,725.21,77841.0,176154.0,127748810.9,97998.0,78156.0,31903420.97,95845389.88,60229.0,35119.0,3.77,-10727.0,-34584.0,-24546897.9,-23924.0,-10660.0,-4076414.03,-20470483.79,-10805.0,-3836.0,3492.7536619999996,56038.257813,14537.169922,94.519997,247,353,157,510,1583,10,0,0,0,0,0,0,0,0,0,1,0,0
13,2021-10-14,728.98,67114.0,141570.0,103201913.0,74074.0,67496.0,27827006.94,75374906.09,49424.0,31283.0,153.81,2287.0,-12056.0,11132246.6,-16800.0,4744.0,3222176.48,7910070.04,-469.0,3218.0,3604.9589840000003,57372.83203099999,14717.5,94.019997,389,213,188,586,1633,10,0,0,0,0,0,0,0,0,0,1,0,0
14,2021-10-15,882.79,69401.0,129514.0,114334159.6,57274.0,72240.0,31049183.42,83284976.13,48955.0,34501.0,-231.6,6307.0,27856.0,-11856981.9,24860.0,2996.0,2852853.92,-14709835.81,6338.0,1424.0,3790.154297,57345.90234400001,14891.240234,94.029999,125,183,110,121,1538,10,0,0,0,0,0,0,0,0,0,1,0,0
15,2021-10-16,651.19,75708.0,157370.0,102477177.7,82134.0,75236.0,33902037.34,68575140.32,55293.0,35925.0,15.5,-128.0,6304.0,6642712.5,4774.0,1530.0,-520832.42,7163544.95,870.0,-51.0,3865.666504,61609.52734400001,,,258,193,295,106,1343,10,0,0,0,0,0,0,0,0,0,1,0,0
16,2021-10-17,666.69,75580.0,163674.0,109119890.2,86908.0,76766.0,33381204.92,75738685.27,56163.0,35874.0,34.88,-554.0,20622.0,20176622.9,14112.0,6510.0,10766413.47,9410209.44,673.0,-96.0,3829.858887,60887.65234400001,,,107,164,324,152,1353,10,0,0,0,0,0,0,0,0,0,1,0,0
17,2021-10-18,701.57,75026.0,184296.0,129296513.1,101020.0,83276.0,44147618.39,85148894.71,56836.0,35778.0,-90.37,-7682.0,-44519.0,-43864613.4,-40268.0,-4251.0,-26336876.74,-17527736.67,-9243.0,-2167.0,3847.7299799999996,61548.804688,14839.740234,93.949997,114,68,250,513,1369,10,0,0,0,0,0,0,0,0,0,1,0,0
18,2021-10-19,611.2,67344.0,139777.0,85431899.7,60752.0,79025.0,17810741.65,67621158.04,47593.0,33611.0,-57.25,1540.0,5730.0,-4828189.81,9368.0,-3638.0,-487001.07,-4341188.73,1835.0,-339.0,3747.162842,62043.164063,15073.129883000001,93.949997,124,194,159,350,1587,10,0,0,0,0,0,0,0,0,0,1,0,0
19,2021-10-20,553.95,68884.0,145507.0,80603709.89,70120.0,75387.0,17323740.58,63279969.31,49428.0,33272.0,88.75,3385.0,3867.0,15399476.82,4194.0,-327.0,11793040.22,3606436.6,5903.0,-552.0,3877.730957,64284.585938,15160.0,93.809998,77,161,297,1144,1537,10,0,0,0,0,0,0,0,0,0,1,0,0
20,2021-10-21,642.7,72269.0,149374.0,96003186.71,74314.0,75060.0,29116780.8,66886405.91,55331.0,32720.0,8.12,743.0,19371.0,13819945.39,12197.0,7174.0,3949998.9,9869946.51,-79.0,1705.0,4161.713379,66002.234375,15104.799805,93.58000200000001,103,65,232,1015,1468,10,0,0,0,0,0,0,0,0,0,1,0,0
21,2021-10-22,650.82,73012.0,168745.0,109823132.1,86511.0,82234.0,33066779.7,76756352.42,55252.0,34425.0,-8.67,513.0,-3862.0,-3944125.1,-7316.0,3454.0,-12067548.94,8123423.79,-1595.0,2128.0,4055.686523,62237.890625,15158.070313,93.75,76,291,99,100,1481,10,0,0,0,0,0,0,0,0,0,1,0,0
22,2021-10-23,642.15,73525.0,164883.0,105879007.0,79195.0,85688.0,20999230.76,84879776.21,53657.0,36553.0,-32.13,-8798.0,-32013.0,-24826194.33,-23869.0,-8144.0,-1133878.78,-23692315.52,-8175.0,-3204.0,3971.3564450000003,60694.62890599999,,,0,298,64,72,1362,10,0,0,0,0,0,0,0,0,0,1,0,0
23,2021-10-24,610.02,64727.0,132870.0,81052812.67,55326.0,77544.0,19865351.98,61187460.69,45482.0,33349.0,-10.25,2553.0,3671.0,840356.69,659.0,3012.0,-4268688.1,5109044.79,2282.0,771.0,4171.855957,61368.34375,,,148,115,235,62,1421,10,0,0,0,0,0,0,0,0,0,1,0,0
24,2021-10-25,599.77,67280.0,136541.0,81893169.36,55985.0,80556.0,15596663.88,66296505.48,47764.0,34120.0,-46.69,-3053.0,-1353.0,-7123125.84,3977.0,-5330.0,3057500.76,-10180626.6,-2145.0,-1571.0,4084.4257810000004,60893.92578099999,15142.919922,93.660004,126,201,290,83,1518,10,0,0,0,0,0,0,0,0,0,1,0,0
25,2021-10-26,553.08,64227.0,135188.0,74770043.52,59962.0,75226.0,18654164.64,56115878.88,45619.0,32549.0,-25.16,65.0,540.0,-3116554.21,166.0,374.0,-27547.54,-3089006.67,972.0,-691.0,4217.337890999999,63032.76171900001,15317.5,93.839996,188,254,43,103,1617,10,0,0,0,0,0,0,0,0,0,1,0,0
26,2021-10-27,527.92,64292.0,135728.0,71653489.31,60128.0,75600.0,18626617.1,53026872.21,46591.0,31858.0,149.25,-3168.0,-7951.0,14872698.26,-3294.0,-4657.0,7461972.31,7410725.95,-2872.0,-1343.0,4132.17334,60352.0,15276.0,93.970001,268,276,144,86,1666,10,0,0,0,0,0,0,0,0,0,1,0,0
27,2021-10-28,677.17,61124.0,127777.0,86526187.57,56834.0,70943.0,26088589.41,60437598.16,43719.0,30515.0,30.03,2619.0,-3311.0,1496186.85,-8821.0,5510.0,-2530615.35,4026802.2,1119.0,1500.0,3924.8154299999997,58470.73046900001,15304.740234,93.879997,69,262,289,579,1701,10,0,0,0,0,0,0,0,0,0,1,0,0
28,2021-10-29,707.2,63743.0,124466.0,88022374.42,48013.0,76453.0,23557974.06,64464400.36,44838.0,32015.0,-90.09,-883.0,-7004.0,-15535920.5,-6288.0,-716.0,-3999749.41,-11536171.09,-2421.0,1912.0,4288.686522999999,60624.87109400001,15323.290038999998,93.360001,312,190,322,1482,1577,10,0,0,0,0,0,0,0,0,0,1,0,0
29,2021-10-30,617.11,62860.0,117462.0,72486453.92,41725.0,75737.0,19558224.65,52928229.27,42417.0,33927.0,-29.75,3414.0,5421.0,-310080.22,1585.0,3836.0,-3050261.87,2740181.65,2340.0,2957.0,4414.243652,62239.36328099999,,,326,198,593,838,1453,10,0,0,0,0,0,0,0,0,0,1,0,0
30,2021-10-31,587.36,66274.0,122883.0,72176373.7,43310.0,79573.0,16507962.78,55668410.92,44757.0,36884.0,-4.39,1161.0,-3173.0,-2388882.03,-2691.0,-482.0,-2131696.19,-257185.84,1428.0,154.0,4322.744140999999,61850.48828099999,,,193,216,200,693,1369,10,0,0,0,0,0,0,0,0,0,1,0,0
31,2021-11-01,582.97,67435.0,119710.0,69787491.67,40619.0,79091.0,14376266.59,55411225.08,46185.0,37038.0,-31.28,11243.0,26750.0,11012909.49,15473.0,11277.0,9253586.84,1759322.66,8645.0,4974.0,4288.217285,61320.44921900001,15541.259766,94.129997,153,235,339,474,1490,11,0,0,0,0,0,0,0,0,0,0,1,0
32,2021-11-02,551.69,78678.0,146460.0,80800401.16,56092.0,90368.0,23629853.43,57170547.74,54830.0,42012.0,21.33,-2892.0,1859.0,4189836.32,3527.0,-1668.0,1656911.1,2532925.2,-2094.0,-1342.0,4322.500977000001,60963.25390599999,15583.980469,93.93,153,391,531,491,1680,11,0,0,0,0,0,0,0,0,0,0,1,0
33,2021-11-03,573.02,75786.0,148319.0,84990237.48,59619.0,88700.0,25286764.53,59703472.94,52736.0,40670.0,2.7,27260.0,8226.0,5135728.66,-17797.0,26023.0,-10781631.3,15917359.97,13429.0,17213.0,4589.68457,63254.335938,15658.519531,94.120003,207,242,257,436,1692,11,0,0,0,0,0,0,0,0,0,0,1,0
34,2021-11-04,575.72,103046.0,156545.0,90125966.14,41822.0,114723.0,14505133.23,75620832.91,66165.0,57883.0,-112.65,15205.0,47610.0,4411416.34,30574.0,17036.0,11294664.19,-6883247.85,13299.0,11446.0,4604.678711,62941.804688,15849.740234,93.860001,174,308,329,408,1849,11,0,0,0,0,0,0,0,0,0,0,1,0
35,2021-11-05,463.07,118251.0,204155.0,94537382.48,72396.0,131759.0,25799797.42,68737585.06,79464.0,69329.0,-1.35,-18678.0,-21114.0,-10024419.44,-313.0,-20801.0,-5791915.91,-4232503.53,-10016.0,-14676.0,4537.42334,61460.078125,16003.55957,94.339996,113,272,146,1615,954,11,0,0,0,0,0,0,0,0,0,0,1,0
36,2021-11-06,461.72,99573.0,183041.0,84512963.04,72083.0,110958.0,20007881.51,64505081.53,69448.0,54653.0,73.83,-5117.0,-12358.0,6895912.58,-7434.0,-4924.0,3351226.9,3544685.68,-2421.0,-5496.0,4482.647949,61068.875,,,229,363,280,1353,851,11,0,0,0,0,0,0,0,0,0,0,1,0
37,2021-11-07,535.55,94456.0,170683.0,91408875.62,64649.0,106034.0,23359108.41,68049767.21,67027.0,49157.0,91.95,-5913.0,11604.0,22976874.58,22065.0,-10461.0,13550491.9,9426382.7,-2068.0,-5444.0,4523.981934,61554.921875,,,361,126,119,1439,888,11,0,0,0,0,0,0,0,0,0,0,1,0
38,2021-11-08,627.5,88543.0,182287.0,114385750.2,86714.0,95573.0,36909600.31,77476149.91,64959.0,43713.0,-136.25,-2660.0,-21378.0,-35338695.21,-21661.0,283.0,-20255867.85,-15082827.38,-3074.0,-794.0,4619.649414,63344.06640599999,15995.719727000002,94.25,161,232,222,1406,941,11,0,0,0,0,0,0,0,0,0,0,1,0
39,2021-11-09,491.25,85883.0,160909.0,79047054.99,65053.0,95856.0,16653732.46,62393322.53,61885.0,42919.0,4.07,16922.0,18814.0,9973467.11,2376.0,16438.0,1907755.67,8065711.43,11345.0,12224.0,4810.071289,67549.734375,16024.129883000001,94.089996,199,383,356,1512,1031,11,0,0,0,0,0,0,0,0,0,0,1,0
40,2021-11-10,495.32,102805.0,179723.0,89020522.1,67429.0,112294.0,18561488.13,70459033.96,73230.0,55143.0,-14.03,-7091.0,-2837.0,-3887058.05,3502.0,-6339.0,195875.33,-4082933.37,-4471.0,-4177.0,4733.362793,66953.335938,15753.839844,93.980003,57,227,138,1550,1034,11,0,0,0,0,0,0,0,0,0,0,1,0
41,2021-11-11,481.29,95714.0,176886.0,85133464.05,70931.0,105955.0,18757363.46,66376100.59,68759.0,50966.0,63.22,-6749.0,-18395.0,1166976.58,-12231.0,-6164.0,-2315562.83,3482539.41,-4939.0,-4096.0,4635.453613000001,64978.890625,15752.080078,94.839996,148,202,139,1480,1089,11,0,0,0,0,0,0,0,0,0,0,1,0
42,2021-11-12,544.51,88965.0,158491.0,86300440.63,58700.0,99791.0,16441800.63,69858640.0,63820.0,46870.0,261.58,5591.0,20220.0,57757062.77,15400.0,4820.0,9575448.62,48181614.1,5310.0,1525.0,4724.306640999999,64863.98046900001,15752.620116999999,95.18,173,189,192,1326,1565,11,0,0,0,0,0,0,0,0,0,0,1,0
43,2021-11-13,806.09,94556.0,178711.0,144057503.4,74100.0,104611.0,26017249.25,118040254.1,69130.0,48395.0,106.21,-4045.0,-22443.0,-1493768.1,-14505.0,-7938.0,-3631486.24,2137718.2,-4752.0,-1559.0,4666.719238000001,64158.12109400001,,,119,103,154,1429,1424,11,0,0,0,0,0,0,0,0,0,0,1,0
44,2021-11-14,912.3,90511.0,156268.0,142563735.3,59595.0,96673.0,22385763.01,120177972.3,64378.0,46836.0,232.26,-11164.0,-36035.0,-4950144.6,-15363.0,-20672.0,3520625.71,-8470770.3,-9014.0,-6945.0,4648.632813,64455.37109400001,,,311,231,182,1349,1443,11,0,0,0,0,0,0,0,0,0,0,1,0
45,2021-11-15,1144.56,79347.0,120233.0,137613590.7,44232.0,76001.0,25906388.72,111707202.0,55364.0,39891.0,-34.0,4780.0,-2484.0,-6846766.9,-2420.0,-64.0,-8351210.22,1504443.3,1889.0,4071.0,4627.09082,65521.289063,15894.820313,95.120003,292,315,121,1375,1551,11,0,0,0,0,0,0,0,0,0,0,1,0
46,2021-11-16,1110.56,84127.0,117749.0,130766823.8,41812.0,75937.0,17555178.5,113211645.3,57253.0,43962.0,-241.94,3675.0,34474.0,1456681.5,28946.0,5528.0,4016647.63,-2559966.1,3401.0,992.0,4570.478027,63721.195313,15840.320313,95.470001,249,243,116,1295,1529,11,0,0,0,0,0,0,0,0,0,0,1,0
47,2021-11-17,868.62,87802.0,152223.0,132223505.3,70758.0,81465.0,21571826.13,110651679.2,60654.0,44954.0,-240.65,12492.0,42022.0,-10243946.4,16618.0,25404.0,103328.22,-10347274.7,9912.0,8531.0,4213.910645,60139.62109400001,15973.620116999999,95.940002,174,388,175,1298,1599,11,0,0,0,0,0,0,0,0,0,0,1,0
48,2021-11-18,627.97,100294.0,194245.0,121979558.9,87376.0,106869.0,21675154.35,100304404.5,70566.0,53485.0,-29.98,-1915.0,-7691.0,-10422882.7,-8792.0,1101.0,-1243597.61,-9179285.02,-1508.0,-2097.0,4287.802246,60360.13671900001,15973.389647999998,95.800003,195,282,150,1455,1674,11,0,0,0,0,0,0,0,0,0,0,1,0
49,2021-11-19,597.99,98379.0,186554.0,111556676.2,78584.0,107970.0,20431556.74,91125119.48,69058.0,51388.0,5.85,-3755.0,-756.0,635383.1,3831.0,-4587.0,3884327.65,-3248944.53,-3426.0,-3123.0,3995.7294920000004,56896.12890599999,16042.160156,95.589996,153,489,279,1445,1803,11,0,0,0,0,0,0,0,0,0,0,1,0
50,2021-11-20,603.84,94624.0,185798.0,112192059.3,82415.0,103383.0,24315884.39,87876174.95,65632.0,48265.0,90.56,-6823.0,-22849.0,959371.9,-18817.0,-4032.0,-7186459.85,8145831.72,-4730.0,-3388.0,4298.350586,58115.08203099999,,,228,390,232,1182,1675,11,0,0,0,0,0,0,0,0,0,0,1,0
51,2021-11-21,694.4,87801.0,162949.0,113151431.2,63598.0,99351.0,17129424.54,96022006.67,60902.0,44877.0,34.4,7465.0,25772.0,24387848.7,19199.0,6573.0,19049493.05,5338355.63,6965.0,3998.0,4412.195313,59730.507813,,,144,207,172,1287,1590,11,0,0,0,0,0,0,0,0,0,0,1,0
52,2021-11-22,728.8,95266.0,188721.0,137539279.9,82797.0,105924.0,36178917.59,101360362.3,67867.0,48875.0,-148.27,-7888.0,-13438.0,-35782155.0,-3900.0,-9538.0,-10677544.6,-25104610.34,-5561.0,-5105.0,4266.509277,58706.84765599999,16120.919922,96.07,84,370,388,1184,1584,11,0,0,0,0,0,0,0,0,0,0,1,0
53,2021-11-23,580.53,87378.0,175283.0,101757124.9,78897.0,96386.0,25501372.99,76255751.96,62306.0,43770.0,64.29,2406.0,1406.0,12174788.9,-3225.0,4631.0,252288.95,11922499.92,1616.0,2139.0,4089.68042,56304.554688,15809.5,96.459999,134,290,374,1239,1676,11,0,0,0,0,0,0,0,0,0,0,1,0
54,2021-11-24,644.82,89784.0,176689.0,113931913.8,75672.0,101017.0,25753661.94,88178251.88,63922.0,45909.0,33.0,-3995.0,-11132.0,-1714122.1,-3510.0,-7622.0,9409711.04,-11123833.18,-2095.0,-3792.0,4340.036133,57565.851563,15677.879883000001,96.529999,317,274,516,1398,1647,11,0,0,0,0,0,0,0,0,0,0,1,0
55,2021-11-25,677.82,85789.0,165557.0,112217791.7,72162.0,93395.0,35163372.98,77054418.7,61827.0,42117.0,-100.71,-6494.0,-20264.0,-28367043.32,-16504.0,-3760.0,-18024321.53,-10342721.77,-6670.0,-1502.0,4271.394531,57165.41796900001,,,263,122,172,1788,1824,11,0,0,0,0,0,0,0,0,0,0,1,0
56,2021-11-26,577.11,79295.0,145293.0,83850748.38,55658.0,89635.0,17139051.45,66711696.93,55157.0,40615.0,16.55,4051.0,27434.0,18689749.22,21918.0,5516.0,3578269.11,15111480.13,5519.0,1786.0,4522.208984000001,58960.28515599999,15664.379883000001,96.720001,55,359,289,1401,1302,11,0,0,0,0,0,0,0,0,0,0,1,0
57,2021-11-27,593.66,83346.0,172727.0,102540497.6,77576.0,95151.0,20717320.56,81823177.06,60676.0,42401.0,6.11,1101.0,6581.0,5003755.9,4242.0,2339.0,8636328.58,-3632572.69,1322.0,-984.0,4042.999023,53736.429688,,,199,225,260,1289,1197,11,0,0,0,0,0,0,0,0,0,0,1,0
58,2021-11-28,599.77,84447.0,179308.0,107544253.5,81818.0,97490.0,29353649.14,78190604.37,61998.0,41417.0,128.9,114.0,-10283.0,15619414.6,-11099.0,816.0,4335863.35,11283551.21,-1746.0,1362.0,4101.648926,54813.023438,,,219,572,505,1495,1379,11,0,0,0,0,0,0,0,0,0,0,1,0
59,2021-11-29,728.67,84561.0,169025.0,123163668.1,70719.0,98306.0,33689512.49,89474155.58,60252.0,42779.0,-75.37,-1004.0,-6837.0,-17205531.8,-1056.0,-5781.0,-4825003.87,-12380527.87,-24.0,-2916.0,4296.946777,57291.90625,15719.419922,96.139999,220,312,117,1498,1504,11,0,0,0,0,0,0,0,0,0,0,1,0
60,2021-11-30,653.3,83557.0,162188.0,105958136.3,69663.0,92525.0,28864508.62,77093627.71,60228.0,39863.0,63.02,3740.0,5526.0,14178919.9,-863.0,6389.0,-3333529.18,17512449.08,4592.0,1658.0,4447.768066,57830.11328099999,15716.5,96.220001,150,404,262,1440,1516,11,0,0,0,0,0,0,0,0,0,0,1,0
61,2021-12-01,716.32,87297.0,167714.0,120137056.2,68800.0,98914.0,25530979.44,94606076.79,64820.0,41521.0,-80.62,-3413.0,-10741.0,-20349289.29,-6126.0,-4615.0,-2934751.96,-17414537.35,-5673.0,76.0,4623.679688,56907.96484400001,15752.269531,95.940002,338,537,250,1509,1708,12,0,0,0,0,0,0,0,0,0,0,0,1
62,2021-12-02,635.7,83884.0,156973.0,99787766.91,62674.0,94299.0,22596227.48,77191539.44,59147.0,41597.0,117.39,-6637.0,-21694.0,2089933.59,-13974.0,-7720.0,-2258951.76,4348885.37,-6493.0,-1917.0,4586.333008,57217.37109400001,15181.820313,96.07,60,346,267,1496,1649,12,0,0,0,0,0,0,0,0,0,0,0,1
63,2021-12-03,753.09,77247.0,135279.0,101877700.5,48700.0,86579.0,20337275.72,81540424.81,52654.0,39680.0,-257.96,816.0,25001.0,-22518267.38,29177.0,-4176.0,-675344.78,-21842922.63,3698.0,-3268.0,4514.355957,56509.164063,15428.709961000002,96.120003,228,492,108,1760,1574,12,0,0,0,0,0,0,0,0,0,0,0,1
64,2021-12-04,495.13,78063.0,160280.0,79359433.12,77877.0,82403.0,19661930.94,59697502.18,56352.0,36412.0,109.23,-816.0,-14033.0,9027006.97,-12621.0,-1412.0,5142211.82,3884795.16,-256.0,-540.0,4227.762207,53727.87890599999,,,135,347,221,1370,1443,12,0,0,0,0,0,0,0,0,0,0,0,1
