DateTime,Average USD,Active market wallets,Number of sales,Sales USD,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
2021-10-05 00:00:00,878.27,85559,155357,136446134.5,53989,101368,21701218.75,114744915.8,57873,50616
2021-10-06 00:00:00,780.52,79080,155473,121349591.9,71591,83882,27649208.7,93700383.17,54135,44119
2021-10-07 00:00:00,783.59,78206,177956,139444770.6,89148,88808,25503136.56,113941634,58135,39960
2021-10-08 00:00:00,701.53,81173,185412,130071221.6,96291,89121,27069886.7,103001334.9,60383,39076
2021-10-09 00:00:00,612.41,73986,151595,92837882.81,65699,85896,17606994.84,75230887.97,51693,38345
2021-10-10 00:00:00,604.98,74476,166542,100754425.3,81889,84653,24908173.49,75846251.76,54313,37537
2021-10-11 00:00:00,551.99,73348,164836,90987053.15,83722,81114,21245932.16,69741120.99,54313,35535
2021-10-12 00:00:00,564.97,74314,169201,95594079.1,82878,86323,20596931.53,74997147.58,54457,36566
2021-10-13 00:00:00,725.21,77841,176154,127748810.9,97998,78156,31903420.97,95845389.88,60229,35119
2021-10-14 00:00:00,728.98,67114,141570,103201913,74074,67496,27827006.94,75374906.09,49424,31283
2021-10-15 00:00:00,882.79,69401,129514,114334159.6,57274,72240,31049183.42,83284976.13,48955,34501
2021-10-16 00:00:00,651.19,75708,157370,102477177.7,82134,75236,33902037.34,68575140.32,55293,35925
2021-10-17 00:00:00,666.69,75580,163674,109119890.2,86908,76766,33381204.92,75738685.27,56163,35874
2021-10-18 00:00:00,701.57,75026,184296,129296513.1,101020,83276,44147618.39,85148894.71,56836,35778
2021-10-19 00:00:00,611.2,67344,139777,85431899.7,60752,79025,17810741.65,67621158.04,47593,33611
2021-10-20 00:00:00,553.95,68884,145507,80603709.89,70120,75387,17323740.58,63279969.31,49428,33272
2021-10-21 00:00:00,642.7,72269,149374,96003186.71,74314,75060,29116780.8,66886405.91,55331,32720
2021-10-22 00:00:00,650.82,73012,168745,109823132.1,86511,82234,33066779.7,76756352.42,55252,34425
2021-10-23 00:00:00,642.15,73525,164883,105879007,79195,85688,20999230.76,84879776.21,53657,36553
2021-10-24 00:00:00,610.02,64727,132870,81052812.67,55326,77544,19865351.98,61187460.69,45482,33349
2021-10-25 00:00:00,599.77,67280,136541,81893169.36,55985,80556,15596663.88,66296505.48,47764,34120
2021-10-26 00:00:00,553.08,64227,135188,74770043.52,59962,75226,18654164.64,56115878.88,45619,32549
2021-10-27 00:00:00,527.92,64292,135728,71653489.31,60128,75600,18626617.1,53026872.21,46591,31858
2021-10-28 00:00:00,677.17,61124,127777,86526187.57,56834,70943,26088589.41,60437598.16,43719,30515
2021-10-29 00:00:00,707.2,63743,124466,88022374.42,48013,76453,23557974.06,64464400.36,44838,32015
2021-10-30 00:00:00,617.11,62860,117462,72486453.92,41725,75737,19558224.65,52928229.27,42417,33927
2021-10-31 00:00:00,587.36,66274,122883,72176373.7,43310,79573,16507962.78,55668410.92,44757,36884
2021-11-01 00:00:00,582.97,67435,119710,69787491.67,40619,79091,14376266.59,55411225.08,46185,37038
2021-11-02 00:00:00,551.69,78678,146460,80800401.16,56092,90368,23629853.43,57170547.74,54830,42012
2021-11-03 00:00:00,573.02,75786,148319,84990237.48,59619,88700,25286764.53,59703472.94,52736,40670
2021-11-04 00:00:00,575.72,103046,156545,90125966.14,41822,114723,14505133.23,75620832.91,66165,57883
2021-11-05 00:00:00,463.07,118251,204155,94537382.48,72396,131759,25799797.42,68737585.06,79464,69329
