"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2022","30,365.00","29,583.00","30,399.00","29,500.00","176.36K","2.80%"
"10/03/2022","29,538.00","28,767.00","29,702.00","28,635.00","194.80K","2.56%"
"09/30/2022","28,801.00","29,264.00","29,549.00","28,767.00","217.65K","-1.65%"
"09/29/2022","29,285.00","29,754.00","29,783.00","29,047.00","191.74K","-1.56%"
"09/28/2022","29,750.00","29,250.00","29,883.00","28,886.00","232.85K","1.87%"
"09/27/2022","29,203.00","29,339.00","29,729.00","29,019.00","200.40K","-0.48%"
"09/26/2022","29,343.00","29,645.00","29,736.00","29,227.00","210.69K","-1.10%"
"09/23/2022","29,669.00","30,216.00","30,240.00","29,315.00","217.03K","-1.59%"
"09/22/2022","30,149.00","30,228.00","30,494.00","30,048.00","206.73K","-0.44%"
"09/21/2022","30,282.00","30,836.00","31,132.00","30,202.00","246.93K","-1.69%"
"09/20/2022","30,801.00","31,145.00","31,256.00","30,558.00","180.45K","-1.02%"
"09/19/2022","31,117.00","30,948.00","31,183.00","30,590.00","155.41K","1.54%"
"09/16/2022","30,645.20","30,834.00","30,855.00","30,535.00","3.59K","-1.06%"
"09/15/2022","30,974.00","31,190.00","31,281.00","30,882.00","34.96K","-0.56%"
"09/14/2022","31,149.00","31,159.00","31,285.00","30,892.00","52.59K","0.15%"
"09/13/2022","31,103.00","32,434.00","32,667.00","31,020.00","85.20K","-3.96%"
"09/12/2022","32,386.00","32,210.00","32,505.00","32,137.00","73.22K","0.69%"
"09/09/2022","32,164.00","31,807.00","32,233.00","31,769.00","101.78K","1.25%"
"09/08/2022","31,766.00","31,574.00","31,809.00","31,303.00","172.33K","0.60%"
"09/07/2022","31,577.00","31,153.00","31,644.00","30,975.00","142.79K","1.32%"
"09/06/2022","31,166.00","31,345.00","31,592.00","31,042.00","238.78K","-0.88%"
"09/05/2022","31,444.00","31,385.00","31,484.00","31,318.00","33.15K","0.18%"
"09/04/2022","31,387.00","31,359.00","31,392.00","31,277.00","3.26K","0.24%"
"09/02/2022","31,312.00","31,646.00","32,029.00","31,182.00","205.42K","-1.11%"
"09/01/2022","31,663.00","31,555.00","31,678.00","31,221.00","209.86K","0.42%"
"08/31/2022","31,532.00","31,792.00","32,002.00","31,501.00","194.24K","-0.76%"
"08/30/2022","31,775.00","32,105.00","32,347.00","31,616.00","189.78K","-0.94%"
"08/29/2022","32,075.00","32,040.00","32,301.00","31,926.00","182.59K","-0.58%"
"08/26/2022","32,263.00","33,236.00","33,444.00","32,156.00","202.97K","-3.04%"
"08/25/2022","33,273.00","32,955.00","33,290.00","32,872.00","166.90K","0.96%"
"08/24/2022","32,958.00","32,901.00","33,084.00","32,753.00","146.03K","0.17%"
"08/23/2022","32,901.00","33,103.00","33,177.00","32,844.00","152.94K","-0.47%"
"08/22/2022","33,056.00","33,620.00","33,654.00","33,001.00","145.28K","-1.93%"
"08/19/2022","33,706.00","34,003.00","34,009.00","33,616.00","139.45K","-0.81%"
"08/18/2022","33,981.00","33,994.00","34,056.00","33,823.00","123.71K","0.05%"
"08/17/2022","33,963.00","34,127.00","34,177.00","33,804.00","163.82K","-0.45%"
"08/16/2022","34,118.00","33,849.00","34,246.00","33,786.00","138.29K","0.72%"
"08/15/2022","33,873.00","33,708.00","33,924.00","33,485.00","128.49K","0.46%"
"08/12/2022","33,718.00","33,360.00","33,728.00","33,295.00","136.09K","1.24%"
"08/11/2022","33,304.00","33,299.00","33,625.00","33,255.00","172.62K","0.13%"
"08/10/2022","33,260.00","32,768.00","33,331.00","32,678.00","176.37K","1.60%"
"08/09/2022","32,737.00","32,857.00","32,881.00","32,662.00","145.11K","-0.17%"
"08/08/2022","32,792.00","32,750.00","33,065.00","32,665.00","181.50K","0.11%"
"08/05/2022","32,757.00","32,688.00","32,786.00","32,431.00","175.48K","0.23%"
"08/04/2022","32,681.00","32,746.00","32,866.00","32,601.00","132.26K","-0.27%"
"08/03/2022","32,770.00","32,420.00","32,873.00","32,342.00","161.49K","1.25%"
"08/02/2022","32,365.00","32,766.00","32,781.00","32,350.00","228.06K","-1.23%"
"08/01/2022","32,767.00","32,827.00","32,938.00","32,602.00","191.68K","-0.18%"
"07/29/2022","32,825.00","32,567.00","32,887.00","32,458.00","162.74K","1.03%"
"07/28/2022","32,490.00","32,144.00","32,609.00","31,944.00","206.84K","0.99%"
"07/27/2022","32,172.00","31,762.00","32,315.00","31,761.00","210.16K","1.39%"
"07/26/2022","31,732.00","31,840.00","31,916.00","31,665.00","166.36K","-0.74%"
"07/25/2022","31,967.00","31,872.00","32,065.00","31,773.00","137.10K","0.29%"
"07/22/2022","31,875.00","31,982.00","32,193.00","31,704.00","155.95K","-0.41%"
"07/21/2022","32,007.00","31,791.00","32,032.00","31,504.00","158.14K","0.48%"
"07/20/2022","31,853.00","31,809.00","31,980.00","31,621.00","153.53K","0.20%"
"07/19/2022","31,791.00","31,064.00","31,844.00","31,031.00","143.74K","2.40%"
"07/18/2022","31,047.00","31,298.00","31,614.00","30,947.00","147.51K","-0.64%"
"07/15/2022","31,247.00","30,633.00","31,264.00","30,495.00","190.11K","2.10%"
"07/14/2022","30,604.00","30,700.00","30,774.00","30,109.00","172.97K","-0.50%"
"07/13/2022","30,758.00","30,968.00","31,309.00","30,475.00","198.52K","-0.67%"
"07/12/2022","30,966.00","31,177.00","31,328.00","30,828.00","148.98K","-0.56%"
"07/11/2022","31,140.00","31,323.00","31,344.00","31,040.00","130.93K","-0.54%"
"07/08/2022","31,310.00","31,309.00","31,490.00","31,187.00","146.49K","-0.18%"
"07/07/2022","31,367.00","31,054.00","31,404.00","30,898.00","123.74K","1.14%"
"07/06/2022","31,013.00","30,958.00","31,206.00","30,739.00","169.29K","0.25%"
"07/05/2022","30,936.00","31,051.00","31,220.00","30,331.00","213.59K","-0.76%"
"07/04/2022","31,174.00","30,924.00","31,210.00","30,808.00","33.67K","0.78%"
"07/03/2022","30,933.00","31,043.00","31,051.00","30,919.00","2.09K","-0.41%"
"07/01/2022","31,061.00","30,720.00","31,116.00","30,422.00","180.47K","0.91%"
