date,BAYC,bored ape yacht club,cryptopunks,metaverse,NFT
2021-10-01,300,133,324,303,1243
2021-10-02,335,134,200,210,1215
2021-10-03,155,227,176,423,1253
2021-10-04,179,156,278,495,1340
2021-10-05,221,264,269,374,1441
2021-10-06,121,221,185,644,1494
2021-10-07,416,174,294,539,1559
2021-10-08,161,467,226,619,1255
2021-10-09,224,305,258,398,1278
2021-10-10,230,176,180,445,1205
2021-10-11,94,208,183,415,1262
2021-10-12,260,185,35,448,1344
2021-10-13,247,353,157,510,1583
2021-10-14,389,213,188,586,1633
2021-10-15,125,183,110,121,1538
2021-10-16,258,193,295,106,1343
2021-10-17,107,164,324,152,1353
2021-10-18,114,68,250,513,1369
2021-10-19,124,194,159,350,1587
2021-10-20,77,161,297,1144,1537
2021-10-21,103,65,232,1015,1468
2021-10-22,76,291,99,100,1481
2021-10-23,0,298,64,72,1362
2021-10-24,148,115,235,62,1421
2021-10-25,126,201,290,83,1518
2021-10-26,188,254,43,103,1617
2021-10-27,268,276,144,86,1666
2021-10-28,69,262,289,579,1701
2021-10-29,312,190,322,1482,1577
2021-10-30,326,198,593,838,1453
2021-10-31,193,216,200,693,1369
2021-11-01,153,235,339,474,1490
2021-11-02,153,391,531,491,1680
2021-11-03,207,242,257,436,1692
2021-11-04,174,308,329,408,1849
2021-11-05,113,272,146,1615,954
2021-11-06,229,363,280,1353,851
2021-11-07,361,126,119,1439,888
2021-11-08,161,232,222,1406,941
2021-11-09,199,383,356,1512,1031
2021-11-10,57,227,138,1550,1034
2021-11-11,148,202,139,1480,1089
2021-11-12,173,189,192,1326,1565
2021-11-13,119,103,154,1429,1424
2021-11-14,311,231,182,1349,1443
2021-11-15,292,315,121,1375,1551
2021-11-16,249,243,116,1295,1529
2021-11-17,174,388,175,1298,1599
2021-11-18,195,282,150,1455,1674
2021-11-19,153,489,279,1445,1803
2021-11-20,228,390,232,1182,1675
2021-11-21,144,207,172,1287,1590
2021-11-22,84,370,388,1184,1584
2021-11-23,134,290,374,1239,1676
2021-11-24,317,274,516,1398,1647
2021-11-25,263,122,172,1788,1824
2021-11-26,55,359,289,1401,1302
2021-11-27,199,225,260,1289,1197
2021-11-28,219,572,505,1495,1379
2021-11-29,220,312,117,1498,1504
2021-11-30,150,404,262,1440,1516
2021-12-01,338,537,250,1509,1708
2021-12-02,60,346,267,1496,1649
2021-12-03,228,492,108,1760,1574
2021-12-04,135,347,221,1370,1443
2021-12-05,412,231,59,1376,1450
2021-12-06,220,369,182,1461,1438
2021-12-07,80,382,185,1321,1503
2021-12-08,387,393,354,1396,1725
2021-12-09,95,336,282,1528,1671
2021-12-10,321,325,212,1330,1274
2021-12-11,120,322,400,1342,1203
2021-12-12,228,727,279,1295,1278
2021-12-13,283,467,229,1281,1271
2021-12-14,289,344,307,1480,1479
2021-12-15,218,546,256,1614,1472
2021-12-16,150,623,280,1673,1674
2021-12-17,202,329,204,1738,1762
2021-12-18,169,206,382,1475,1457
2021-12-19,303,230,246,1348,1381
2021-12-20,291,384,162,1305,1364
2021-12-21,289,227,392,1237,1351
2021-12-22,283,331,217,1356,1377
2021-12-23,210,404,29,1354,1316
2021-12-24,199,462,312,1576,1561
2021-12-25,238,410,189,1717,1461
2021-12-26,176,425,198,1719,1510
2021-12-27,462,402,340,1647,1480
2021-12-28,223,245,217,1491,1477
2021-12-29,220,493,218,1562,1447
2021-12-30,273,312,237,1757,1522
2021-12-31,141,217,155,1361,1074
2022-01-01,301,345,141,1525,1357
2022-01-02,176,424,189,1613,1615
2022-01-03,308,491,56,1464,1618
2022-01-04,212,471,40,1571,1702
2022-01-05,237,555,71,1682,1733
2022-01-06,215,461,88,1680,1728
2022-01-07,173,568,288,1547,1413
2022-01-08,270,424,343,1388,1211
2022-01-09,260,464,185,1424,1278
2022-01-10,274,465,339,1695,1169
2022-01-11,211,330,185,1522,1200
2022-01-12,220,463,269,1384,1326
2022-01-13,281,206,140,1331,1600
2022-01-14,323,506,122,1317,1794
2022-01-15,224,624,229,1254,1649
2022-01-16,187,375,135,1347,1714
2022-01-17,374,299,88,1501,1645
2022-01-18,328,432,129,1734,1715
2022-01-19,333,443,204,1544,1736
2022-01-20,224,533,106,1416,1682
2022-01-21,298,770,138,1650,1955
2022-01-22,384,730,308,1443,1823
2022-01-23,164,567,405,1323,1792
