date,BAYC
2017-06-30,413
2017-07-01,343
2017-07-02,244
2017-07-03,224
2017-07-04,335
2017-07-05,57
2017-07-06,257
2017-07-07,215
2017-07-08,163
2017-07-09,115
2017-07-10,100
2017-07-11,87
2017-07-12,85
2017-07-13,89
2017-07-14,87
2017-07-15,79
2017-07-16,223
2017-07-17,272
2017-07-18,222
2017-07-19,160
2017-07-20,391
2017-07-21,141
2017-07-22,199
2017-07-23,248
2017-07-24,243
2017-07-25,64
2017-07-26,169
2017-07-27,258
2017-07-28,311
2017-07-29,117
2017-07-30,117
2017-07-31,157
2017-08-01,68
2017-08-02,124
2017-08-03,249
2017-08-04,176
2017-08-05,33
2017-08-06,270
2017-08-07,210
2017-08-08,100
2017-08-09,60
2017-08-10,135
2017-08-11,294
2017-08-12,302
2017-08-13,320
2017-08-14,95
2017-08-15,274
2017-08-16,39
2017-08-17,326
2017-08-18,147
2017-08-19,225
2017-08-20,233
2017-08-21,126
2017-08-22,155
2017-08-23,326
2017-08-24,78
2017-08-25,311
2017-08-26,155
2017-08-27,137
2017-08-28,213
2017-08-29,90
2017-08-30,146
2017-08-31,179
2017-09-01,133
2017-09-02,136
2017-09-03,181
2017-09-04,38
2017-09-05,217
2017-09-06,315
2017-09-07,135
2017-09-08,88
2017-09-09,26
2017-09-10,135
2017-09-11,97
2017-09-12,125
2017-09-13,108
2017-09-14,167
2017-09-15,227
2017-09-16,281
2017-09-17,171
2017-09-18,225
2017-09-19,304
2017-09-20,201
2017-09-21,251
2017-09-22,87
2017-09-23,0
2017-09-24,218
2017-09-25,232
2017-09-26,32
2017-09-27,86
2017-09-28,173
2017-09-29,419
2017-09-30,476
2017-10-01,228
2017-10-02,227
2017-10-03,127
2017-10-04,22
2017-10-05,138
2017-10-06,337
2017-10-07,196
2017-10-08,298
2017-10-09,271
2017-10-10,262
2017-10-11,204
2017-10-12,335
2017-10-13,443
2017-10-14,401
2017-10-15,205
2017-10-16,299
2017-10-17,187
2017-10-18,285
2017-10-19,111
2017-10-20,104
2017-10-21,120
2017-10-22,170
2017-10-23,33
2017-10-24,167
2017-10-25,237
2017-10-26,199
2017-10-27,0
2017-11-03,251
2017-11-04,16
2017-11-05,187
2017-11-06,140
2017-11-07,228
2017-11-08,136
2017-11-09,170
2017-11-10,43
2017-11-11,432
2017-11-12,215
2017-11-13,121
2017-11-14,269
2017-11-15,378
2017-11-16,126
2017-11-17,130
2017-11-18,71
2017-11-19,34
2017-11-20,76
2017-11-21,63
2017-11-22,145
2017-11-23,50
2017-11-24,115
2017-11-25,176
2017-11-26,68
2017-11-27,22
2017-11-28,116
2017-11-29,132
2017-11-30,82
2017-12-01,204
2017-12-02,207
2017-12-03,168
2017-12-04,372
2017-12-05,184
2017-12-06,128
2017-12-07,228
2017-12-08,195
2017-12-09,100
2017-12-10,321
2017-12-11,79
2017-12-12,179
2017-12-13,173
2017-12-14,91
2017-12-15,125
2017-12-16,105
2017-12-17,347
2017-12-18,74
2017-12-19,160
2017-12-20,168
2017-12-21,176
2017-12-22,300
2017-12-23,196
2017-12-24,128
2017-12-25,248
2017-12-26,224
2017-12-27,119
2017-12-28,225
2017-12-29,221
2017-12-30,153
2017-12-31,336
2018-01-01,171
2018-01-02,206
2018-01-03,129
2018-01-04,106
2018-01-05,133
2018-01-06,168
2018-01-07,90
2018-01-08,53
2018-01-09,150
2018-01-10,80
2018-01-11,108
2018-01-12,191
2018-01-13,166
2018-01-14,172
2018-01-15,72
2018-01-16,134
2018-01-17,169
2018-01-18,250
2018-01-19,131
2018-01-20,100
2018-01-21,393
2018-01-22,238
2018-01-23,322
2018-01-24,300
2018-01-25,116
2018-01-26,235
2018-01-27,211
2018-01-28,208
2018-01-29,189
2018-01-30,344
2018-01-31,383
2018-02-01,144
2018-02-02,79
2018-02-03,142
2018-02-04,218
2018-02-05,82
2018-02-06,178
2018-02-07,210
2018-02-08,215
2018-02-09,0
2018-02-16,212
2018-02-17,172
2018-02-18,192
2018-02-19,484
2018-02-20,329
2018-02-21,60
2018-02-22,150
2018-02-23,0
2018-03-09,309
2018-03-10,211
2018-03-11,63
2018-03-12,73
2018-03-13,197
2018-03-14,103
2018-03-15,208
2018-03-16,0
2018-04-06,244
2018-04-07,216
2018-04-08,105
2018-04-09,328
2018-04-10,128
2018-04-11,91
2018-04-12,295
2018-04-13,37
2018-04-14,131
2018-04-15,15
2018-04-16,51
2018-04-17,76
2018-04-18,104
2018-04-19,64
2018-04-20,0
2018-04-27,301
