date,ENS
2020-02-06,736
2020-02-07,642
2020-02-08,731
2020-02-09,823
2020-02-10,708
2020-02-11,610
2020-02-12,749
2020-02-13,0
2020-02-27,835
2020-02-28,745
2020-02-29,689
2020-03-01,613
2020-03-02,848
2020-03-03,918
2020-03-04,786
2020-03-05,1084
2020-03-06,828
2020-03-07,654
2020-03-08,798
2020-03-09,751
2020-03-10,1085
2020-03-11,1098
2020-03-12,876
2020-03-13,1006
2020-03-14,990
2020-03-15,748
2020-03-16,896
2020-03-17,804
2020-03-18,911
2020-03-19,730
2020-03-20,866
2020-03-21,675
2020-03-22,752
2020-03-23,880
2020-03-24,812
2020-03-25,825
2020-03-26,940
2020-03-27,781
2020-03-28,775
2020-03-29,764
2020-03-30,960
2020-03-31,945
2020-04-01,1036
2020-04-02,25
2020-04-23,597
2020-04-24,624
2020-04-25,604
2020-04-26,539
2020-04-27,648
2020-04-28,629
2020-04-29,509
2020-04-30,703
2020-05-01,717
2020-05-02,714
2020-05-03,523
2020-05-04,708
2020-05-05,758
2020-05-06,605
2020-05-07,836
2020-05-08,702
2020-05-09,755
2020-05-10,569
2020-05-11,717
2020-05-12,871
2020-05-13,897
2020-05-14,57
2020-10-29,959
2020-10-30,893
2020-10-31,888
2020-11-01,777
2020-11-02,723
2020-11-03,729
2020-11-04,811
2020-11-05,32
2021-02-04,962
2021-02-05,848
2021-02-06,646
2021-02-07,727
2021-02-08,1015
2021-02-09,1025
2021-02-10,1292
2021-02-11,915
2021-02-12,662
2021-02-13,568
2021-02-14,690
2021-02-15,583
2021-02-16,731
2021-02-17,848
2021-02-18,29
2021-03-04,884
2021-03-05,962
2021-03-06,681
2021-03-07,862
2021-03-08,825
2021-03-09,710
2021-03-10,929
2021-03-11,18
2021-03-18,587
2021-03-19,636
2021-03-20,591
2021-03-21,416
2021-03-22,737
2021-03-23,618
2021-03-24,576
2021-03-25,15
2021-04-01,624
2021-04-02,475
2021-04-03,492
2021-04-04,471
2021-04-05,461
2021-04-06,563
2021-04-07,542
2021-04-08,58
2021-05-06,802
2021-05-07,803
2021-05-08,718
2021-05-09,607
2021-05-10,800
2021-05-11,783
2021-05-12,899
2021-05-13,882
2021-05-14,883
2021-05-15,881
2021-05-16,571
2021-05-17,858
2021-05-18,896
2021-05-19,921
2021-05-20,31
2021-05-27,778
2021-05-28,931
2021-05-29,698
2021-05-30,774
2021-05-31,772
2021-06-01,853
2021-06-02,1000
2021-06-03,1010
2021-06-04,617
2021-06-05,550
2021-06-06,414
2021-06-07,491
2021-06-08,684
2021-06-09,649
2021-06-10,15
2021-06-17,763
2021-06-18,823
2021-06-19,656
2021-06-20,797
2021-06-21,1052
2021-06-22,950
2021-06-23,964
2021-06-24,22
2021-07-15,923
2021-07-16,800
2021-07-17,694
2021-07-18,500
2021-07-19,696
2021-07-20,622
2021-07-21,832
2021-07-22,961
2021-07-23,956
2021-07-24,767
2021-07-25,824
2021-07-26,967
2021-07-27,875
2021-07-28,994
2021-07-29,925
2021-07-30,856
2021-07-31,728
2021-08-01,757
2021-08-02,653
2021-08-03,608
2021-08-04,858
2021-08-05,0
2021-08-19,105
2021-08-20,71
2021-08-21,75
2021-08-22,77
2021-08-23,106
2021-08-24,167
2021-08-25,99
2021-08-26,0
2021-09-02,710
2021-09-03,697
2021-09-04,524
2021-09-05,545
2021-09-06,666
2021-09-07,723
2021-09-08,796
2021-09-09,662
2021-09-10,797
2021-09-11,618
2021-09-12,640
2021-09-13,853
2021-09-14,821
2021-09-15,1010
2021-09-16,16
2021-10-14,679
2021-10-15,502
2021-10-16,552
2021-10-17,475
2021-10-18,587
2021-10-19,648
2021-10-20,580
2021-10-21,29
2021-11-11,1519
2021-11-12,1112
2021-11-13,892
2021-11-14,1044
2021-11-15,914
2021-11-16,901
2021-11-17,921
2021-11-18,36
2021-11-25,998
2021-11-26,870
2021-11-27,932
2021-11-28,863
2021-11-29,791
2021-11-30,863
2021-12-01,876
2021-12-02,15
2021-12-30,650
2021-12-31,630
2022-01-01,623
2022-01-02,648
2022-01-03,875
2022-01-04,836
2022-01-05,805
2022-01-06,785
2022-01-07,1122
2022-01-08,863
2022-01-09,1038
2022-01-10,1284
2022-01-11,1035
2022-01-12,1266
2022-01-13,1001
2022-01-14,1026
2022-01-15,1016
2022-01-16,969
2022-01-17,1218
2022-01-18,1172
2022-01-19,1017
2022-01-20,0
2022-04-21,966
2022-04-22,936
2022-04-23,955
2022-04-24,816
2022-04-25,1070
2022-04-26,1057
2022-04-27,1507
2022-04-28,88
2022-09-22,1170
2022-09-23,1044
2022-09-24,762
2022-09-25,856
2022-09-26,1310
2022-09-27,1063
2022-09-28,992
2022-09-29,13
2022-11-03,1873
2022-11-04,1821
2022-11-05,51
