date,KnownOrigin
2018-11-10,182
2018-11-11,177
2018-11-12,245
2018-11-13,266
2018-11-14,158
2018-11-15,120
2018-11-16,254
2018-11-17,291
2018-11-18,188
2018-11-19,174
2018-11-20,80
2018-11-21,94
2018-11-22,160
2018-11-23,171
2018-11-24,113
2018-11-25,213
2018-11-26,108
2018-11-27,316
2018-11-28,116
2018-11-29,147
2018-11-30,194
2018-12-01,0
2018-12-15,120
2018-12-16,134
2018-12-17,167
2018-12-18,222
2018-12-19,175
2018-12-20,150
2018-12-21,109
2018-12-22,411
2018-12-23,165
2018-12-24,190
2018-12-25,93
2018-12-26,200
2018-12-27,101
2018-12-28,272
2018-12-29,0
2019-01-26,19
2019-01-27,324
2019-01-28,195
2019-01-29,108
2019-01-30,119
2019-01-31,130
2019-02-01,72
2019-02-02,263
2019-02-03,175
2019-02-04,65
2019-02-05,30
2019-02-06,168
2019-02-07,190
2019-02-08,138
2019-02-09,143
2019-02-10,126
2019-02-11,189
2019-02-12,174
2019-02-13,205
2019-02-14,155
2019-02-15,83
2019-02-16,229
2019-02-17,93
2019-02-18,259
2019-02-19,223
2019-02-20,215
2019-02-21,164
2019-02-22,190
2019-02-23,0
2019-05-11,99
2019-05-12,77
2019-05-13,144
2019-05-14,308
2019-05-15,134
2019-05-16,217
2019-05-17,99
2019-05-18,193
2019-05-19,217
2019-05-20,115
2019-05-21,150
2019-05-22,63
2019-05-23,133
2019-05-24,344
2019-05-25,38
2019-06-15,67
2019-06-16,276
2019-06-17,30
2019-06-18,389
2019-06-19,96
2019-06-20,102
2019-06-21,166
2019-06-22,26
2019-07-06,206
2019-07-07,252
2019-07-08,76
2019-07-09,523
2019-07-10,214
2019-07-11,170
2019-07-12,171
2019-07-13,0
2019-07-20,155
2019-07-21,251
2019-07-22,101
2019-07-23,114
2019-07-24,45
2019-07-25,145
2019-07-26,198
2019-07-27,26
2019-08-03,318
2019-08-04,116
2019-08-05,266
2019-08-06,134
2019-08-07,175
2019-08-08,402
2019-08-09,41
2019-08-10,354
2019-08-11,187
2019-08-12,59
2019-08-13,240
2019-08-14,191
2019-08-15,253
2019-08-16,240
2019-08-17,0
2019-08-24,192
2019-08-25,167
2019-08-26,99
2019-08-27,233
2019-08-28,119
2019-08-29,137
2019-08-30,240
2019-08-31,288
2019-09-01,262
2019-09-02,70
2019-09-03,258
2019-09-04,183
2019-09-05,68
2019-09-06,266
2019-09-07,0
2019-09-14,117
2019-09-15,73
2019-09-16,328
2019-09-17,117
2019-09-18,213
2019-09-19,172
2019-09-20,264
2019-09-21,132
2019-09-22,261
2019-09-23,0
2019-09-24,347
2019-09-25,220
2019-09-26,118
2019-09-27,121
2019-09-28,0
2019-10-19,192
2019-10-20,138
2019-10-21,171
2019-10-22,89
2019-10-23,228
2019-10-24,133
2019-10-25,121
2019-10-26,0
2019-11-02,255
2019-11-03,229
2019-11-04,131
2019-11-05,244
2019-11-06,187
2019-11-07,153
2019-11-08,132
2019-11-09,149
2019-11-10,169
2019-11-11,220
2019-11-12,109
2019-11-13,178
2019-11-14,224
2019-11-15,238
2019-11-16,185
2019-11-17,395
2019-11-18,52
2019-11-19,112
2019-11-20,180
2019-11-21,115
2019-11-22,157
2019-11-23,0
2019-12-07,177
2019-12-08,231
2019-12-09,192
2019-12-10,257
2019-12-11,127
2019-12-12,85
2019-12-13,169
2019-12-14,0
2019-12-21,208
2019-12-22,124
2019-12-23,335
2019-12-24,176
2019-12-25,79
2019-12-26,176
2019-12-27,323
2019-12-28,125
2019-12-29,243
2019-12-30,74
2019-12-31,64
2020-01-01,110
2020-01-02,11
2020-01-03,140
2020-01-04,436
2020-01-05,215
2020-01-06,218
2020-01-07,89
2020-01-08,133
2020-01-09,107
2020-01-10,368
2020-01-11,86
2020-01-12,282
2020-01-13,306
2020-01-14,138
2020-01-15,161
2020-01-16,204
2020-01-17,46
2020-01-18,64
2020-01-19,158
2020-01-20,122
2020-01-21,324
2020-01-22,29
2020-01-23,188
2020-01-24,169
2020-01-25,121
2020-01-26,250
2020-01-27,128
2020-01-28,97
2020-01-29,107
2020-01-30,36
2020-01-31,341
2020-02-01,295
2020-02-02,82
2020-02-03,188
2020-02-04,150
2020-02-05,160
2020-02-06,175
2020-02-07,468
2020-02-08,255
