date,Mutant Ape Yacht Club
2021-09-05,97
2021-09-06,136
2021-09-07,185
2021-09-08,192
2021-09-09,249
2021-09-10,118
2021-09-11,209
2021-09-12,296
2021-09-13,190
2021-09-14,206
2021-09-15,278
2021-09-16,220
2021-09-17,135
2021-09-18,212
2021-09-19,0
2021-10-10,203
2021-10-11,315
2021-10-12,357
2021-10-13,165
2021-10-14,66
2021-10-15,237
2021-10-16,195
2021-10-17,0
2021-11-07,104
2021-11-08,159
2021-11-09,131
2021-11-10,86
2021-11-11,106
2021-11-12,172
2021-11-13,138
2021-11-14,0
2021-11-21,185
2021-11-22,145
2021-11-23,160
2021-11-24,259
2021-11-25,97
2021-11-26,243
2021-11-27,59
2021-11-28,76
2021-11-29,99
2021-11-30,124
2021-12-01,143
2021-12-02,149
2021-12-03,15
2021-12-04,363
2021-12-05,268
2021-12-06,143
2021-12-07,237
2021-12-08,304
2021-12-09,299
2021-12-10,317
2021-12-11,344
2021-12-12,57
2021-12-19,168
2021-12-20,0
2021-12-21,170
2021-12-22,322
2021-12-23,299
2021-12-24,150
2021-12-25,356
2021-12-26,110
2021-12-27,47
2021-12-28,166
2021-12-29,213
2021-12-30,169
2021-12-31,103
2022-01-01,181
2022-01-02,387
2022-01-03,271
2022-01-04,110
2022-01-05,273
2022-01-06,282
2022-01-07,202
2022-01-08,159
2022-01-09,130
2022-01-10,141
2022-01-11,178
2022-01-12,205
2022-01-13,155
2022-01-14,359
2022-01-15,144
2022-01-16,0
2022-01-23,201
2022-01-24,77
2022-01-25,100
2022-01-26,83
2022-01-27,83
2022-01-28,306
2022-01-29,306
2022-01-30,63
2022-01-31,345
2022-02-01,125
2022-02-02,85
2022-02-03,87
2022-02-04,131
2022-02-05,145
2022-02-06,0
2022-02-20,286
2022-02-21,210
2022-02-22,206
2022-02-23,263
2022-02-24,128
2022-02-25,160
2022-02-26,421
2022-02-27,254
2022-02-28,265
2022-03-01,201
2022-03-02,142
2022-03-03,139
2022-03-04,279
2022-03-05,168
2022-03-06,149
2022-03-07,249
2022-03-08,165
2022-03-09,128
2022-03-10,202
2022-03-11,188
2022-03-12,366
2022-03-13,119
2022-03-14,167
2022-03-15,225
2022-03-16,309
2022-03-17,282
2022-03-18,75
2022-03-19,27
2022-03-20,235
2022-03-21,279
2022-03-22,180
2022-03-23,262
2022-03-24,117
2022-03-25,242
2022-03-26,309
2022-03-27,97
2022-03-28,215
2022-03-29,214
2022-03-30,209
2022-03-31,228
2022-04-01,250
2022-04-02,47
2022-04-03,267
2022-04-04,292
2022-04-05,30
2022-04-06,202
2022-04-07,273
2022-04-08,130
2022-04-09,100
2022-04-10,0
2022-04-17,131
2022-04-18,321
2022-04-19,256
2022-04-20,84
2022-04-21,174
2022-04-22,379
2022-04-23,130
2022-04-24,138
2022-04-25,452
2022-04-26,121
2022-04-27,287
2022-04-28,183
2022-04-29,204
2022-04-30,238
2022-05-01,304
2022-05-02,220
2022-05-03,301
2022-05-04,100
2022-05-05,82
2022-05-06,326
2022-05-07,238
2022-05-08,100
2022-05-09,138
2022-05-10,215
2022-05-11,135
2022-05-12,233
2022-05-13,273
2022-05-14,138
2022-05-15,0
2022-05-29,268
2022-05-30,276
2022-05-31,129
2022-06-01,183
2022-06-02,205
2022-06-03,21
2022-06-04,132
2022-06-05,265
2022-06-06,173
2022-06-07,195
2022-06-08,112
2022-06-09,185
2022-06-10,218
2022-06-11,225
2022-06-12,290
2022-06-13,211
2022-06-14,152
2022-06-15,117
2022-06-16,150
2022-06-17,209
2022-06-18,177
2022-06-19,124
2022-06-20,196
2022-06-21,98
2022-06-22,291
2022-06-23,242
2022-06-24,120
2022-06-25,298
2022-06-26,69
2022-06-27,171
2022-06-28,221
2022-06-29,127
2022-06-30,142
2022-07-01,280
2022-07-02,61
2022-07-03,93
2022-07-04,69
2022-07-05,190
2022-07-06,179
2022-07-07,172
2022-07-08,218
2022-07-09,218
2022-07-10,228
2022-07-11,133
2022-07-12,214
2022-07-13,47
2022-07-14,190
2022-07-15,195
2022-07-16,395
2022-07-17,73
2022-07-18,239
2022-07-19,468
2022-07-20,342
2022-07-21,104
2022-07-22,156
2022-07-23,286
2022-07-24,143
2022-07-25,114
2022-07-26,65
2022-07-27,218
2022-07-28,158
2022-07-29,158
2022-07-30,126
2022-07-31,93
2022-08-01,158
2022-08-02,270
2022-08-03,160
2022-08-04,87
2022-08-05,33
2022-08-06,190
2022-08-07,305
2022-08-08,92
2022-08-09,139
2022-08-10,46
2022-08-11,71
2022-08-12,151
2022-08-13,369
2022-08-14,279
2022-08-15,188
2022-08-16,352
2022-08-17,144
2022-08-18,165
2022-08-19,169
2022-08-20,156
2022-08-21,50
2022-08-22,335
2022-08-23,137
2022-08-24,41
2022-08-25,162
2022-08-26,157
2022-08-27,35
2022-08-28,237
2022-08-29,108
2022-08-30,89
2022-08-31,137
2022-09-01,136
2022-09-02,148
2022-09-03,109
