date,NFT
2021-10-01,1243
2021-10-02,1215
2021-10-03,1253
2021-10-04,1340
2021-10-05,1441
2021-10-06,1494
2021-10-07,1559
2021-10-08,1255
2021-10-09,1278
2021-10-10,1205
2021-10-11,1262
2021-10-12,1344
2021-10-13,1583
2021-10-14,1633
2021-10-15,1538
2021-10-16,1343
2021-10-17,1353
2021-10-18,1369
2021-10-19,1587
2021-10-20,1537
2021-10-21,1468
2021-10-22,1481
2021-10-23,1362
2021-10-24,1421
2021-10-25,1518
2021-10-26,1617
2021-10-27,1666
2021-10-28,1701
2021-10-29,1577
2021-10-30,1453
2021-10-31,1369
2021-11-01,1490
2021-11-02,1680
2021-11-03,1692
2021-11-04,1849
2021-11-05,954
2021-11-06,851
2021-11-07,888
2021-11-08,941
2021-11-09,1031
2021-11-10,1034
2021-11-11,1089
2021-11-12,1565
2021-11-13,1424
2021-11-14,1443
2021-11-15,1551
2021-11-16,1529
2021-11-17,1599
2021-11-18,1674
2021-11-19,1803
2021-11-20,1675
2021-11-21,1590
2021-11-22,1584
2021-11-23,1676
2021-11-24,1647
2021-11-25,1824
2021-11-26,1302
2021-11-27,1197
2021-11-28,1379
2021-11-29,1504
2021-11-30,1516
2021-12-01,1708
2021-12-02,1649
2021-12-03,1574
2021-12-04,1443
2021-12-05,1450
2021-12-06,1438
2021-12-07,1503
2021-12-08,1725
2021-12-09,1671
2021-12-10,1274
2021-12-11,1203
2021-12-12,1278
2021-12-13,1271
2021-12-14,1479
2021-12-15,1472
2021-12-16,1674
2021-12-17,1762
2021-12-18,1457
2021-12-19,1381
2021-12-20,1364
2021-12-21,1351
2021-12-22,1377
2021-12-23,1316
2021-12-24,1561
2021-12-25,1461
2021-12-26,1510
2021-12-27,1480
2021-12-28,1477
2021-12-29,1447
2021-12-30,1522
2021-12-31,1074
2022-01-01,1357
2022-01-02,1615
2022-01-03,1618
2022-01-04,1702
2022-01-05,1733
2022-01-06,1728
2022-01-07,1413
2022-01-08,1211
2022-01-09,1278
2022-01-10,1169
2022-01-11,1200
2022-01-12,1326
