date,OpenSea Shared Storefront
2020-12-27,136
2020-12-28,113
2020-12-29,442
2020-12-30,150
2020-12-31,263
2021-01-01,151
2021-01-02,48
2021-01-03,162
2021-01-04,129
2021-01-05,201
2021-01-06,47
2021-01-07,228
2021-01-08,229
2021-01-09,115
2021-01-10,24
2021-02-21,289
2021-02-22,104
2021-02-23,109
2021-02-24,173
2021-02-25,127
2021-02-26,242
2021-02-27,163
2021-02-28,0
2021-03-14,146
2021-03-15,178
2021-03-16,158
2021-03-17,144
2021-03-18,108
2021-03-19,299
2021-03-20,27
2021-03-21,72
2021-03-28,70
2021-03-29,55
2021-03-30,220
2021-03-31,171
2021-04-01,307
2021-04-02,270
2021-04-03,300
2021-04-04,362
2021-04-05,119
2021-04-06,97
2021-04-07,416
2021-04-08,87
2021-04-09,341
2021-04-10,86
2021-04-11,214
2021-04-12,291
2021-04-13,191
2021-04-14,233
2021-04-15,155
2021-04-16,290
2021-04-17,251
2021-04-18,0
2021-04-25,118
2021-04-26,263
2021-04-27,174
2021-04-28,176
2021-04-29,95
2021-04-30,232
2021-05-01,205
2021-05-02,268
2021-05-03,97
2021-05-04,124
2021-05-05,118
2021-05-06,67
2021-05-07,326
2021-05-08,184
2021-05-09,119
2021-05-10,152
2021-05-11,290
2021-05-12,190
2021-05-13,60
2021-05-14,122
2021-05-15,150
2021-05-16,278
2021-05-17,381
2021-05-18,193
2021-05-19,389
2021-05-20,354
2021-05-21,173
2021-05-22,188
2021-05-23,218
2021-05-24,259
2021-05-25,140
2021-05-26,207
2021-05-27,34
2021-05-28,219
2021-05-29,161
2021-05-30,76
2021-05-31,189
2021-06-01,198
2021-06-02,73
2021-06-03,271
2021-06-04,156
2021-06-05,339
2021-06-06,0
2021-06-07,255
2021-06-08,201
2021-06-09,224
2021-06-10,170
2021-06-11,265
2021-06-12,287
2021-06-13,247
2021-06-14,227
2021-06-15,254
2021-06-16,167
2021-06-17,121
2021-06-18,24
2021-06-19,145
2021-06-20,0
2021-06-27,225
2021-06-28,60
2021-06-29,224
2021-06-30,130
2021-07-01,60
2021-07-02,61
2021-07-03,187
2021-07-04,178
2021-07-05,138
2021-07-06,159
2021-07-07,174
2021-07-08,319
2021-07-09,86
2021-07-10,182
2021-07-11,30
2021-07-18,177
2021-07-19,99
2021-07-20,229
2021-07-21,141
2021-07-22,163
2021-07-23,69
2021-07-24,206
2021-07-25,0
2021-08-08,252
2021-08-09,248
2021-08-10,150
2021-08-11,225
2021-08-12,226
2021-08-13,71
2021-08-14,118
2021-08-15,0
2021-09-05,437
2021-09-06,179
2021-09-07,191
2021-09-08,77
2021-09-09,96
2021-09-10,107
2021-09-11,205
2021-09-12,193
2021-09-13,283
2021-09-14,190
2021-09-15,332
2021-09-16,401
2021-09-17,241
2021-09-18,278
2021-09-19,0
2021-10-31,84
2021-11-01,132
2021-11-02,103
2021-11-03,54
2021-11-04,210
2021-11-05,64
2021-11-06,235
2021-11-07,0
2021-11-14,127
2021-11-15,213
2021-11-16,222
2021-11-17,269
