date,Otherdeed
2022-05-01,681
2022-05-02,429
2022-05-03,216
2022-05-04,452
2022-05-05,246
2022-05-06,150
2022-05-07,76
2022-05-08,115
2022-05-09,221
2022-05-10,226
2022-05-11,187
2022-05-12,246
2022-05-13,225
2022-05-14,101
2022-05-15,45
2022-05-29,147
2022-05-30,62
2022-05-31,177
2022-06-01,251
2022-06-02,82
2022-06-03,0
2022-06-04,367
2022-06-05,263
2022-06-06,22
2022-06-07,242
2022-06-08,246
2022-06-09,226
2022-06-10,197
2022-06-11,193
2022-06-12,0
2022-07-17,182
2022-07-18,223
2022-07-19,139
2022-07-20,179
2022-07-21,97
2022-07-22,25
2022-07-23,176
2022-07-24,0
2022-07-31,0
2022-08-01,385
2022-08-02,164
2022-08-03,150
2022-08-04,190
2022-08-05,126
2022-08-06,365
2022-08-07,0
2022-09-04,207
2022-09-05,214
2022-09-06,181
2022-09-07,367
2022-09-08,144
2022-09-09,81
2022-09-10,80
2022-09-11,0
2022-10-02,69
2022-10-03,207
2022-10-04,226
2022-10-05,34
2022-10-06,189
2022-10-07,160
2022-10-08,168
2022-10-09,0
2022-10-16,245
2022-10-17,205
2022-10-18,124
2022-10-19,126
2022-10-20,212
2022-10-21,179
2022-10-22,215
2022-10-23,228
2022-10-24,83
2022-10-25,115
2022-10-26,192
2022-10-27,188
2022-10-28,153
2022-10-29,233
2022-10-30,350
2022-10-31,373
2022-11-01,297
2022-11-02,691
2022-11-03,515
2022-11-04,290
2022-11-05,0
