date,Rarible
2020-07-30,129
2020-07-31,180
2020-08-01,368
2020-08-02,210
2020-08-03,286
2020-08-04,247
2020-08-05,114
2020-08-06,148
2020-08-07,24
2020-08-08,273
2020-08-09,140
2020-08-10,120
2020-08-11,114
2020-08-12,229
2020-08-13,248
2020-08-14,158
2020-08-15,106
2020-08-16,118
2020-08-17,188
2020-08-18,232
2020-08-19,182
2020-08-20,23
2020-10-22,311
2020-10-23,217
2020-10-24,146
2020-10-25,323
2020-10-26,109
2020-10-27,104
2020-10-28,168
2020-10-29,0
2020-11-19,51
2020-11-20,237
2020-11-21,198
2020-11-22,233
2020-11-23,163
2020-11-24,322
2020-11-25,139
2020-11-26,0
2021-01-21,144
2021-01-22,362
2021-01-23,50
2021-01-24,77
2021-01-25,62
2021-01-26,181
2021-01-27,234
2021-01-28,197
2021-01-29,180
2021-01-30,370
2021-01-31,184
2021-02-01,103
2021-02-02,110
2021-02-03,122
2021-02-04,0
2021-03-04,252
2021-03-05,401
2021-03-06,560
2021-03-07,485
2021-03-08,495
2021-03-09,679
2021-03-10,509
2021-03-11,0
2021-03-18,430
2021-03-19,487
2021-03-20,438
2021-03-21,285
2021-03-22,555
2021-03-23,436
2021-03-24,407
2021-03-25,51
2021-04-08,373
2021-04-09,571
2021-04-10,601
2021-04-11,619
2021-04-12,381
2021-04-13,502
2021-04-14,240
2021-04-15,27
2021-04-22,320
2021-04-23,266
2021-04-24,242
2021-04-25,343
2021-04-26,257
2021-04-27,356
2021-04-28,390
2021-04-29,242
2021-04-30,413
2021-05-01,329
2021-05-02,245
2021-05-03,341
2021-05-04,217
2021-05-05,467
2021-05-06,374
2021-05-07,475
2021-05-08,438
2021-05-09,339
2021-05-10,274
2021-05-11,170
2021-05-12,347
2021-05-13,224
2021-05-14,309
2021-05-15,376
2021-05-16,243
2021-05-17,228
2021-05-18,250
2021-05-19,281
2021-05-20,0
2021-06-03,146
2021-06-04,200
2021-06-05,271
2021-06-06,386
2021-06-07,186
2021-06-08,190
2021-06-09,492
2021-06-10,220
2021-06-11,310
2021-06-12,271
2021-06-13,232
2021-06-14,443
2021-06-15,346
2021-06-16,350
2021-06-17,268
2021-06-18,139
2021-06-19,48
2021-06-20,271
2021-06-21,93
2021-06-22,126
2021-06-23,218
2021-06-24,0
2021-07-22,176
2021-07-23,192
2021-07-24,337
2021-07-25,289
2021-07-26,126
2021-07-27,77
2021-07-28,102
2021-07-29,0
2021-08-05,134
2021-08-06,329
2021-08-07,291
2021-08-08,136
2021-08-09,317
2021-08-10,276
2021-08-11,372
2021-08-12,487
2021-08-13,277
2021-08-14,277
2021-08-15,333
2021-08-16,135
2021-08-17,160
2021-08-18,152
2021-08-19,35
2021-09-09,254
2021-09-10,258
2021-09-11,223
2021-09-12,145
2021-09-13,188
2021-09-14,153
2021-09-15,285
2021-09-16,144
2021-09-17,395
2021-09-18,221
2021-09-19,325
2021-09-20,199
2021-09-21,321
2021-09-22,149
2021-09-23,0
2021-10-21,185
2021-10-22,260
2021-10-23,118
2021-10-24,284
2021-10-25,164
2021-10-26,291
2021-10-27,118
2021-10-28,0
2022-02-10,299
2022-02-11,274
2022-02-12,352
2022-02-13,457
2022-02-14,275
2022-02-15,299
2022-02-16,351
2022-02-17,0
2022-04-07,346
2022-04-08,291
2022-04-09,630
2022-04-10,423
2022-04-11,287
2022-04-12,410
2022-04-13,513
2022-04-14,360
2022-04-15,488
2022-04-16,476
2022-04-17,323
2022-04-18,323
2022-04-19,358
2022-04-20,360
2022-04-21,495
2022-04-22,226
2022-04-23,407
2022-04-24,230
2022-04-25,200
2022-04-26,504
2022-04-27,399
2022-04-28,0
2022-05-12,374
2022-05-13,255
2022-05-14,363
2022-05-15,178
2022-05-16,280
2022-05-17,311
2022-05-18,348
2022-05-19,322
2022-05-20,105
2022-05-21,309
2022-05-22,55
2022-05-23,216
2022-05-24,256
2022-05-25,204
2022-05-26,256
2022-05-27,221
2022-05-28,322
2022-05-29,164
2022-05-30,292
2022-05-31,182
2022-06-01,268
2022-06-02,0
2022-06-16,485
2022-06-17,152
2022-06-18,223
2022-06-19,287
2022-06-20,219
2022-06-21,127
2022-06-22,195
2022-06-23,198
2022-06-24,294
2022-06-25,439
2022-06-26,326
2022-06-27,359
2022-06-28,290
2022-06-29,187
2022-06-30,174
2022-07-01,134
2022-07-02,174
2022-07-03,197
2022-07-04,171
2022-07-05,114
2022-07-06,252
2022-07-07,51
2022-07-14,205
2022-07-15,163
2022-07-16,175
2022-07-17,464
2022-07-18,120
2022-07-19,166
2022-07-20,25
2022-07-21,139
2022-07-22,298
2022-07-23,140
2022-07-24,556
2022-07-25,300
2022-07-26,347
2022-07-27,395
2022-07-28,100
2022-08-25,143
2022-08-26,206
2022-08-27,151
2022-08-28,147
2022-08-29,260
2022-08-30,250
2022-08-31,104
2022-09-01,32
2022-09-08,390
2022-09-09,232
2022-09-10,272
2022-09-11,150
2022-09-12,279
2022-09-13,197
2022-09-14,178
2022-09-15,226
2022-09-16,84
2022-09-17,343
2022-09-18,152
2022-09-19,167
2022-09-20,217
2022-09-21,256
2022-09-22,313
2022-09-23,109
2022-09-24,159
2022-09-25,275
2022-09-26,410
2022-09-27,252
2022-09-28,130
2022-09-29,418
2022-09-30,55
2022-10-01,257
2022-10-02,224
2022-10-03,213
2022-10-04,250
2022-10-05,211
2022-10-06,0
2022-10-27,517
2022-10-28,653
2022-10-29,469
2022-10-30,393
2022-10-31,572
2022-11-01,1231
2022-11-02,651
2022-11-03,1280
2022-11-04,1270
2022-11-05,56
