date,Uniswap
2021-05-12,1400
2021-05-13,768
2021-05-14,928
2021-05-15,899
2021-05-16,812
2021-05-17,634
2021-05-18,721
2021-05-19,1360
2021-05-20,1246
2021-05-21,1066
2021-05-22,831
2021-05-23,721
2021-05-24,947
2021-05-25,940
2021-05-26,1299
2021-05-27,1094
2021-05-28,1065
2021-05-29,1113
2021-05-30,940
2021-05-31,841
2021-06-01,832
2021-06-02,1218
2021-06-03,1202
2021-06-04,999
2021-06-05,956
2021-06-06,1041
2021-06-07,1079
2021-06-08,917
2021-06-09,728
2021-06-10,825
2021-06-11,734
2021-06-12,665
2021-06-13,619
2021-06-14,678
2021-06-15,515
2021-06-16,860
2021-06-17,972
2021-06-18,876
2021-06-19,817
2021-06-20,661
2021-06-21,600
2021-06-22,717
2021-06-23,760
2021-06-24,832
2021-06-25,775
2021-06-26,776
2021-06-27,636
2021-06-28,884
2021-06-29,835
2021-06-30,1049
2021-07-01,994
2021-07-02,913
2021-07-03,960
2021-07-04,1033
2021-07-05,953
2021-07-06,1174
2021-07-07,1064
2021-07-08,779
2021-07-09,848
2021-07-10,891
2021-07-11,866
2021-07-12,737
2021-07-13,816
2021-07-14,62
2021-07-28,698
2021-07-29,786
2021-07-30,646
2021-07-31,921
2021-08-01,926
2021-08-02,690
2021-08-03,706
2021-08-04,43
2021-08-25,1012
2021-08-26,635
2021-08-27,765
2021-08-28,951
2021-08-29,681
2021-08-30,695
2021-08-31,777
2021-09-01,686
2021-09-02,517
2021-09-03,779
2021-09-04,637
2021-09-05,804
2021-09-06,591
2021-09-07,592
2021-09-08,42
2021-09-22,736
2021-09-23,786
2021-09-24,649
2021-09-25,833
2021-09-26,907
2021-09-27,1111
2021-09-28,759
2021-09-29,0
2021-10-13,1131
2021-10-14,1101
2021-10-15,983
2021-10-16,1119
2021-10-17,826
2021-10-18,1046
2021-10-19,957
2021-10-20,28
2021-10-27,986
2021-10-28,1242
2021-10-29,1218
2021-10-30,1232
2021-10-31,1072
2021-11-01,965
2021-11-02,1045
2021-11-03,46
2021-11-10,846
2021-11-11,876
2021-11-12,938
2021-11-13,1036
2021-11-14,1112
2021-11-15,769
2021-11-16,688
2021-11-17,1032
2021-11-18,1132
2021-11-19,918
2021-11-20,877
2021-11-21,1024
2021-11-22,809
2021-11-23,971
2021-11-24,1149
2021-11-25,1115
2021-11-26,887
2021-11-27,742
2021-11-28,860
2021-11-29,875
2021-11-30,751
2021-12-01,45
2021-12-08,500
2021-12-09,734
2021-12-10,722
2021-12-11,627
2021-12-12,534
2021-12-13,455
2021-12-14,722
2021-12-15,39
2021-12-22,764
2021-12-23,954
2021-12-24,839
2021-12-25,1035
2021-12-26,893
2021-12-27,957
2021-12-28,992
2021-12-29,743
2021-12-30,768
2021-12-31,804
2022-01-01,1025
2022-01-02,1135
2022-01-03,1100
2022-01-04,1071
2022-01-05,39
2022-02-02,516
2022-02-03,559
