date,Zora
2021-02-06,895
2021-02-07,682
2021-02-08,677
2021-02-09,714
2021-02-10,562
2021-02-11,810
2021-02-12,946
2021-02-13,347
2021-02-14,603
2021-02-15,591
2021-02-16,452
2021-02-17,512
2021-02-18,514
2021-02-19,377
2021-02-20,532
2021-02-21,690
2021-02-22,680
2021-02-23,651
2021-02-24,639
2021-02-25,615
2021-02-26,447
2021-02-27,656
2021-02-28,527
2021-03-01,727
2021-03-02,581
2021-03-03,574
2021-03-04,654
2021-03-05,717
2021-03-06,51
2021-03-20,517
2021-03-21,383
2021-03-22,379
2021-03-23,350
2021-03-24,423
2021-03-25,390
2021-03-26,387
2021-03-27,20
2021-04-10,832
2021-04-11,977
2021-04-12,829
2021-04-13,737
2021-04-14,581
2021-04-15,594
2021-04-16,550
2021-04-17,0
2021-06-12,664
2021-06-13,852
2021-06-14,882
2021-06-15,807
2021-06-16,687
2021-06-17,605
2021-06-18,740
2021-06-19,1017
2021-06-20,1140
2021-06-21,820
2021-06-22,672
2021-06-23,633
2021-06-24,804
2021-06-25,1021
2021-06-26,933
2021-06-27,658
2021-06-28,764
2021-06-29,774
2021-06-30,845
2021-07-01,950
2021-07-02,889
2021-07-03,0
2021-07-17,721
2021-07-18,757
2021-07-19,1099
2021-07-20,679
2021-07-21,653
2021-07-22,627
2021-07-23,731
2021-07-24,1102
2021-07-25,1054
2021-07-26,849
2021-07-27,731
2021-07-28,920
2021-07-29,804
2021-07-30,991
2021-07-31,852
2021-08-01,1003
2021-08-02,849
2021-08-03,696
2021-08-04,782
2021-08-05,796
2021-08-06,609
2021-08-07,832
2021-08-08,907
2021-08-09,727
2021-08-10,815
2021-08-11,546
2021-08-12,680
2021-08-13,748
2021-08-14,675
2021-08-15,732
2021-08-16,725
2021-08-17,691
2021-08-18,784
2021-08-19,774
2021-08-20,679
2021-08-21,633
2021-08-22,556
2021-08-23,584
2021-08-24,398
2021-08-25,664
2021-08-26,776
2021-08-27,629
2021-08-28,256
2021-08-29,254
2021-08-30,342
2021-08-31,290
2021-09-01,281
2021-09-02,350
2021-09-03,429
2021-09-04,702
2021-09-05,896
2021-09-06,620
2021-09-07,611
2021-09-08,661
2021-09-09,483
2021-09-10,638
2021-09-11,0
2021-09-25,841
2021-09-26,997
2021-09-27,677
2021-09-28,837
2021-09-29,907
2021-09-30,752
2021-10-01,813
2021-10-02,692
2021-10-03,614
2021-10-04,792
2021-10-05,785
2021-10-06,621
2021-10-07,730
2021-10-08,796
2021-10-09,709
2021-10-10,827
2021-10-11,576
2021-10-12,659
2021-10-13,887
2021-10-14,689
2021-10-15,779
2021-10-16,465
2021-10-17,766
2021-10-18,555
