"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 05, 2022","111.011","110.075","111.655","109.985","37.55K","0.94%"
"Oct 04, 2022","109.981","111.505","111.825","109.965","51.31K","-1.50%"
"Oct 03, 2022","111.656","112.150","112.530","111.405","39.38K","-0.38%"
"Sep 30, 2022","112.084","111.810","112.700","111.540","54.60K","-0.11%"
"Sep 29, 2022","112.202","112.960","113.720","111.950","56.44K","-0.27%"
"Sep 28, 2022","112.508","114.105","114.745","112.455","99.32K","-1.35%"
"Sep 27, 2022","114.047","113.845","114.425","113.260","55.23K","0.02%"
"Sep 26, 2022","114.020","112.990","114.445","112.665","87.87K","0.94%"
"Sep 23, 2022","112.962","111.005","113.000","110.840","54.78K","1.67%"
"Sep 22, 2022","111.105","111.220","111.580","110.220","55.61K","0.69%"
"Sep 21, 2022","110.346","109.900","111.360","109.860","51.63K","0.37%"
"Sep 20, 2022","109.942","109.290","110.015","109.075","28.29K","0.56%"
"Sep 19, 2022","109.333","109.290","109.900","109.233","-","-0.16%"
"Sep 16, 2022","109.506","109.540","109.995","109.200","46.85K","0.05%"
"Sep 15, 2022","109.452","109.345","109.650","109.150","35.23K","0.07%"
"Sep 14, 2022","109.371","109.520","109.635","108.980","27.36K","-0.14%"
"Sep 13, 2022","109.528","108.030","109.635","107.450","17.95K","1.32%"
"Sep 12, 2022","108.096","108.365","108.605","107.570","15.79K","-0.58%"
"Sep 09, 2022","108.732","109.290","109.290","108.100","3.80K","-0.66%"
"Sep 08, 2022","109.458","109.425","109.970","109.040","2.75K","-0.10%"
"Sep 07, 2022","109.567","110.025","110.480","109.260","1.99K","-0.32%"
"Sep 06, 2022","109.919","109.380","110.255","109.125","1.48K","0.61%"
"Sep 05, 2022","109.255","109.550","110.000","109.445","0.55K","0.00%"
"Sep 02, 2022","109.255","109.300","109.430","108.660","0.88K","-0.14%"
"Sep 01, 2022","109.403","108.520","109.700","108.500","0.78K","0.93%"
"Aug 31, 2022","108.400","108.400","108.875","108.055","0.28K","-0.07%"
"Aug 30, 2022","108.474","108.385","108.800","108.000","0.28K","-0.06%"
"Aug 29, 2022","108.540","108.695","109.200","108.180","0.86K","0.08%"
"Aug 26, 2022","108.451","108.235","108.555","107.265","0.41K","0.29%"
"Aug 25, 2022","108.133","108.105","108.310","107.700","0.48K","-0.18%"
"Aug 24, 2022","108.326","108.240","108.785","108.005","0.23K","0.06%"
"Aug 23, 2022","108.259","108.655","108.900","107.700","0.39K","-0.39%"
"Aug 22, 2022","108.681","107.740","108.705","107.740","0.44K","0.81%"
"Aug 19, 2022","107.803","107.145","107.840","107.130","0.25K","0.65%"
"Aug 18, 2022","107.105","106.145","107.160","106.105","0.17K","0.89%"
"Aug 17, 2022","106.161","106.040","106.410","105.960","0.12K","0.11%"
"Aug 16, 2022","106.043","106.080","106.425","105.935","0.08K","-0.02%"
"Aug 15, 2022","106.068","105.080","106.080","105.080","0.24K","0.88%"
"Aug 12, 2022","105.145","104.765","105.345","104.765","0.11K","0.48%"
"Aug 11, 2022","104.644","104.760","104.995","104.195","0.07K","-0.08%"
"Aug 10, 2022","104.730","105.765","105.825","104.150","0.15K","-1.11%"
"Aug 09, 2022","105.902","105.825","105.855","105.555","0.03K","-0.06%"
"Aug 08, 2022","105.968","106.190","106.340","105.685","0.23K","-0.15%"
"Aug 05, 2022","106.130","105.480","106.460","105.440","0.11K","0.82%"
"Aug 04, 2022","105.266","105.960","105.975","105.265","0.05K","-0.73%"
"Aug 03, 2022","106.037","105.910","106.300","105.550","0.13K","0.26%"
"Aug 02, 2022","105.764","104.965","105.845","104.660","0.10K","0.71%"
"Aug 01, 2022","105.016","105.400","105.405","104.830","0.12K","-0.43%"
"Jul 29, 2022","105.474","105.750","106.170","105.100","0.13K","-0.42%"
"Jul 28, 2022","105.921","105.965","106.520","105.640","0.10K","-0.09%"
"Jul 27, 2022","106.016","106.705","106.920","105.855","0.11K","-0.65%"
