Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,93.830002,94.070000,93.809998,93.980003,93.980003,0
2021-10-06,93.989998,94.449997,93.980003,94.269997,94.269997,0
2021-10-07,94.230003,94.279999,94.080002,94.220001,94.220001,0
2021-10-08,94.209999,94.339996,93.940002,94.070000,94.070000,0
2021-10-10,null,null,null,null,null,null
2021-10-11,94.099998,94.400002,94.029999,94.320000,94.320000,0
2021-10-12,94.370003,94.559998,94.230003,94.519997,94.519997,0
2021-10-13,94.519997,94.529999,94.010002,94.080002,94.080002,0
2021-10-14,94.019997,94.089996,93.760002,93.959999,93.959999,0
2021-10-15,94.029999,94.070000,93.849998,93.940002,93.940002,0
2021-10-17,null,null,null,null,null,null
2021-10-18,93.949997,94.169998,93.870003,93.949997,93.949997,0
2021-10-19,93.949997,93.949997,93.500000,93.790001,93.790001,0
2021-10-20,93.809998,93.879997,93.540001,93.559998,93.559998,0
2021-10-21,93.580002,93.790001,93.500000,93.769997,93.769997,0
2021-10-22,93.750000,93.790001,93.540001,93.610001,93.610001,0
2021-10-24,null,null,null,null,null,null
2021-10-25,93.660004,93.959999,93.480003,93.809998,93.809998,0
2021-10-26,93.839996,94.019997,93.709999,93.949997,93.949997,0
2021-10-27,93.970001,94.010002,93.690002,93.860001,93.860001,0
2021-10-28,93.879997,93.970001,93.279999,93.349998,93.349998,0
2021-10-29,93.360001,94.300003,93.320000,94.120003,94.120003,0
2021-10-31,null,null,null,null,null,null
2021-11-01,94.129997,94.309998,93.860001,93.879997,93.879997,0
2021-11-02,93.930000,94.129997,93.820000,94.089996,94.089996,0
2021-11-03,94.120003,94.209999,93.820000,93.860001,93.860001,0
2021-11-04,93.860001,94.470001,93.830002,94.349998,94.349998,0
2021-11-05,94.339996,94.620003,94.190002,94.320000,94.320000,0
2021-11-07,null,null,null,null,null,null
2021-11-08,94.250000,94.379997,93.989998,94.050003,94.050003,0
2021-11-09,94.089996,94.150002,93.879997,93.959999,93.959999,0
2021-11-10,93.980003,94.900002,93.970001,94.849998,94.849998,0
2021-11-11,94.839996,95.199997,94.839996,95.180000,95.180000,0
2021-11-12,95.180000,95.269997,95.000000,95.129997,95.129997,0
2021-11-14,null,null,null,null,null,null
2021-11-15,95.120003,95.599998,94.970001,95.410004,95.410004,0
2021-11-16,95.470001,95.980003,95.400002,95.919998,95.919998,0
2021-11-17,95.940002,96.239998,95.730003,95.830002,95.830002,0
2021-11-18,95.800003,95.839996,95.519997,95.540001,95.540001,0
2021-11-19,95.589996,96.239998,95.580002,96.070000,96.070000,0
2021-11-21,null,null,null,null,null,null
2021-11-22,96.070000,96.550003,96.040001,96.500000,96.500000,0
2021-11-23,96.459999,96.610001,96.309998,96.489998,96.489998,0
2021-11-24,96.529999,96.940002,96.440002,96.839996,96.839996,0
2021-11-25,null,null,null,null,null,null
2021-11-26,96.720001,96.769997,95.750000,96.089996,96.089996,0
2021-11-28,null,null,null,null,null,null
2021-11-29,96.139999,96.449997,96.139999,96.339996,96.339996,0
2021-11-30,96.220001,96.639999,95.519997,95.989998,95.989998,0
2021-12-01,95.940002,96.139999,95.669998,96.050003,96.050003,0
2021-12-02,96.070000,96.180000,95.830002,96.129997,96.129997,0
2021-12-03,96.120003,96.449997,95.970001,96.120003,96.120003,0
2021-12-05,null,null,null,null,null,null
2021-12-06,96.150002,96.430000,96.129997,96.290001,96.290001,0
2021-12-07,96.300003,96.589996,96.169998,96.370003,96.370003,0
2021-12-08,96.260002,96.379997,95.849998,95.889999,95.889999,0
2021-12-09,95.959999,96.339996,95.959999,96.269997,96.269997,0
2021-12-10,96.220001,96.430000,95.980003,96.050003,96.050003,0
2021-12-12,null,null,null,null,null,null
2021-12-13,96.050003,96.449997,96.050003,96.320000,96.320000,0
2021-12-14,96.349998,96.589996,96.099998,96.570000,96.570000,0
2021-12-15,96.550003,96.910004,96.300003,96.510002,96.510002,0
2021-12-16,96.430000,96.449997,95.849998,96.040001,96.040001,0
