"DateTime","Average USD","Active market wallets"
"2021-10-05 00:00:00",878.27,85559
"2021-10-06 00:00:00",780.52,79080
"2021-10-07 00:00:00",783.59,78206
"2021-10-08 00:00:00",701.53,81173
"2021-10-09 00:00:00",612.41,73986
"2021-10-10 00:00:00",604.98,74476
"2021-10-11 00:00:00",551.99,73348
"2021-10-12 00:00:00",564.97,74314
"2021-10-13 00:00:00",725.21,77841
"2021-10-14 00:00:00",728.98,67114
"2021-10-15 00:00:00",882.79,69401
"2021-10-16 00:00:00",651.19,75708
"2021-10-17 00:00:00",666.69,75580
"2021-10-18 00:00:00",701.57,75026
"2021-10-19 00:00:00",611.2,67344
"2021-10-20 00:00:00",553.95,68884
"2021-10-21 00:00:00",642.7,72269
"2021-10-22 00:00:00",650.82,73012
"2021-10-23 00:00:00",642.15,73525
"2021-10-24 00:00:00",610.02,64727
"2021-10-25 00:00:00",599.77,67280
"2021-10-26 00:00:00",553.08,64227
"2021-10-27 00:00:00",527.92,64292
"2021-10-28 00:00:00",677.17,61124
"2021-10-29 00:00:00",707.2,63743
"2021-10-30 00:00:00",617.11,62860
"2021-10-31 00:00:00",587.36,66274
"2021-11-01 00:00:00",582.97,67435
"2021-11-02 00:00:00",551.69,78678
"2021-11-03 00:00:00",573.02,75786
"2021-11-04 00:00:00",575.72,103046
"2021-11-05 00:00:00",463.07,118251
"2021-11-06 00:00:00",461.72,99573
"2021-11-07 00:00:00",535.55,94456
"2021-11-08 00:00:00",627.5,88543
"2021-11-09 00:00:00",491.25,85883
"2021-11-10 00:00:00",495.32,102805
"2021-11-11 00:00:00",481.29,95714
"2021-11-12 00:00:00",544.51,88965
"2021-11-13 00:00:00",806.09,94556
"2021-11-14 00:00:00",912.3,90511
"2021-11-15 00:00:00",1144.56,79347
"2021-11-16 00:00:00",1110.56,84127
"2021-11-17 00:00:00",868.62,87802
"2021-11-18 00:00:00",627.97,100294
"2021-11-19 00:00:00",597.99,98379
"2021-11-20 00:00:00",603.84,94624
"2021-11-21 00:00:00",694.4,87801
"2021-11-22 00:00:00",728.8,95266
"2021-11-23 00:00:00",580.53,87378
"2021-11-24 00:00:00",644.82,89784
"2021-11-25 00:00:00",677.82,85789
"2021-11-26 00:00:00",577.11,79295
