,Date,Average USD,Active market wallets,Number of sales,Sales USD,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers,ΔAverage USD,ΔActive market wallets,ΔNumber of sales,ΔSales USD,ΔPrimary Sales,ΔSecondary sales,ΔPrimary sales USD,ΔSecondary sales USD,ΔUnique buyers,ΔUnique sellers,ETH_Open,BTC_Open,Nasdaq_Open,USD_Open,Oil_Open,Gold_Open,SVI_NFT,SVI_metaverse,Year_Month,time_2017-06,time_2017-07,time_2017-08,time_2017-09,time_2017-10,time_2017-11,time_2017-12,time_2018-01,time_2018-02,time_2018-03,time_2018-04,time_2018-05,time_2018-06,time_2018-07,time_2018-08,time_2018-09,time_2018-10,time_2018-11,time_2018-12,time_2019-01,time_2019-02,time_2019-03,time_2019-04,time_2019-05,time_2019-06,time_2019-07,time_2019-08,time_2019-09,time_2019-10,time_2019-11,time_2019-12,time_2020-01,time_2020-02,time_2020-03,time_2020-04,time_2020-05,time_2020-06,time_2020-07,time_2020-08,time_2020-09,time_2020-10,time_2020-11,time_2020-12,time_2021-01,time_2021-02,time_2021-03,time_2021-04,time_2021-05,time_2021-06,time_2021-07,time_2021-08,time_2021-09,time_2021-10,time_2021-11,time_2021-12,time_2022-01,time_2022-02,time_2022-03,time_2022-04,time_2022-05,time_2022-06,time_2022-07,time_2022-08,time_2022-09,time_2022-10,time_2022-11,SVI_OpenSea Shared Storefront,avg_price,LOG_avg_price
0,2017-06-23,53.7,8.0,19.0,1020.3,18.0,1.0,953.92,66.38,8.0,2.0,5.39,9.0,2.0,220.54,3.0,-1.0,286.92,-66.38,1.0,8.0,1626.86,21298.7,,,,,,,2017-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1,2017-06-24,59.09,17.0,21.0,1240.84,21.0,0.0,1240.84,0.0,9.0,10.0,-19.28,-7.0,-8.0,-723.29,-10.0,2.0,-838.51,115.22,-2.0,-5.0,1645.03,21145.7,,,,,75.0,68.0,2017-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2,2017-06-25,39.81,10.0,13.0,517.55,11.0,2.0,402.33,115.22,7.0,5.0,-9.48,4.0,1.0,-92.92,3.0,-2.0,22.3,-115.22,-1.0,3.0,1531.06,20206.4,10910.64,112.97,87.9,1631.7,1941.0,1992.0,2017-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3,2017-06-26,30.33,14.0,14.0,424.63,14.0,0.0,424.63,0.0,6.0,8.0,33.09,8.0,19.0,1668.28,18.0,1.0,1625.31,42.98,2.0,7.0,1518.99,20154.0,10769.43,112.17,89.35,1639.1,1865.0,1390.0,2017-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,2017-06-27,63.42,22.0,33.0,2092.91,32.0,1.0,2049.94,42.98,8.0,15.0,19.73,-11.0,-18.0,-845.65,-17.0,-1.0,-802.68,-42.98,-1.0,-10.0,1579.59,20482.9,11300.27,111.54,88.62,1651.4,1775.0,1326.0,2017-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5,2017-06-28,83.15,11.0,15.0,1247.26,15.0,0.0,1247.26,0.0,7.0,5.0,-25.63,9.0,23.0,938.46,19.0,4.0,182.01,756.46,6.0,6.0,1572.89,20496.1,11571.52,111.52,86.43,1636.1,1816.0,1307.0,2017-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,2017-06-29,57.52,20.0,38.0,2185.72,34.0,4.0,1429.27,756.46,13.0,11.0,23.82,-7.0,-17.0,-477.57,-22.0,5.0,-802.95,325.37,-3.0,-5.0,1590.47,20626.0,11465.21,110.67,88.39,1647.2,1844.0,1597.0,2017-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,2017-06-30,81.34,13.0,21.0,1708.15,12.0,9.0,626.32,1081.83,10.0,6.0,232.74,0.0,-11.0,1432.65,-6.0,-5.0,2312.37,-879.72,-5.0,2.0,1619.67,20809.4,,,,,1581.0,1639.0,2017-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
8,2017-07-01,314.08,13.0,10.0,3140.8,6.0,4.0,2938.69,202.11,5.0,8.0,-219.74,8.0,21.0,-216.19,24.0,-3.0,-71.31,-144.88,7.0,3.0,1554.47,20594.2,,,,,1626.0,1444.0,2017-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9,2017-07-02,94.34,21.0,31.0,2924.61,30.0,1.0,2867.38,57.23,12.0,11.0,47.81,3.0,20.0,4325.19,13.0,7.0,3791.79,533.4,-1.0,5.0,1514.14,20293.0,11176.99,110.5,88.67,1667.2,1907.0,2053.0,2017-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
