DateTime,Average USD,Active market wallets,Number of sales,Sales USD,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
2017-06-23 00:00:00,53.7,8,19,1020.3,18,1,953.92,66.38,8,2
2017-06-24 00:00:00,59.09,17,21,1240.84,21,0,1240.84,0,9,10
2017-06-25 00:00:00,39.81,10,13,517.55,11,2,402.33,115.22,7,5
2017-06-26 00:00:00,30.33,14,14,424.63,14,0,424.63,0,6,8
2017-06-27 00:00:00,63.42,22,33,2092.91,32,1,2049.94,42.98,8,15
2017-06-28 00:00:00,83.15,11,15,1247.26,15,0,1247.26,0,7,5
2017-06-29 00:00:00,57.52,20,38,2185.72,34,4,1429.27,756.46,13,11
2017-06-30 00:00:00,81.34,13,21,1708.15,12,9,626.32,1081.83,10,6
2017-07-01 00:00:00,314.08,13,10,3140.8,6,4,2938.69,202.11,5,8
2017-07-02 00:00:00,94.34,21,31,2924.61,30,1,2867.38,57.23,12,11
2017-07-03 00:00:00,142.15,24,51,7249.8,43,8,6659.17,590.63,11,16
2017-07-04 00:00:00,232.86,28,58,13505.93,51,7,10525.34,2980.59,14,18
2017-07-05 00:00:00,102.24,12,18,1840.28,16,2,1654.13,186.16,7,7
2017-07-06 00:00:00,305.31,15,23,7022.18,21,2,6808.2,213.98,9,11
2017-07-07 00:00:00,191.42,19,37,7082.51,30,7,5993.45,1089.06,6,15
2017-07-08 00:00:00,107.6,18,30,3227.88,22,8,2255.33,972.55,9,12
2017-07-09 00:00:00,80.76,16,12,969.1,11,1,897.48,71.63,8,8
2017-07-10 00:00:00,288.83,22,17,4910.06,14,3,4495.2,414.86,11,11
2017-07-11 00:00:00,132.78,20,43,5709.37,34,9,5034.25,675.12,9,16
2017-07-12 00:00:00,104.63,17,17,1778.73,14,3,1534.38,244.35,7,10
2017-07-13 00:00:00,171,24,31,5300.97,25,6,3024.23,2276.74,12,16
2017-07-14 00:00:00,64.06,6,7,448.4,5,2,191.04,257.36,4,3
2017-07-15 00:00:00,109.94,7,5,549.69,3,2,140.86,408.83,4,3
