DateTime,Average USD,Active market wallets,Number of sales,Sales USD,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers,ΔAverage USD,ΔActive market wallets,ΔNumber of sales,ΔSales USD,ΔPrimary Sales,ΔSecondary sales,ΔPrimary sales USD,ΔSecondary sales USD,ΔUnique buyers,ΔUnique sellers
2017-06-23 00:00:00,53.7,8,19,1020.3,18,1,953.92,66.38,8,2,5.39,9,2,220.54,3,-1,286.92,-66.38,1,8
2017-06-24 00:00:00,59.09,17,21,1240.84,21,0,1240.84,0,9,10,-19.28,-7,-8,-723.29,-10,2,-838.51,115.22,-2,-5
2017-06-25 00:00:00,39.81,10,13,517.55,11,2,402.33,115.22,7,5,-9.48,4,1,-92.92,3,-2,22.3,-115.22,-1,3
2017-06-26 00:00:00,30.33,14,14,424.63,14,0,424.63,0,6,8,33.09,8,19,1668.28,18,1,1625.31,42.98,2,7
2017-06-27 00:00:00,63.42,22,33,2092.91,32,1,2049.94,42.98,8,15,19.73,-11,-18,-845.65,-17,-1,-802.68,-42.98,-1,-10
2017-06-28 00:00:00,83.15,11,15,1247.26,15,0,1247.26,0,7,5,-25.63,9,23,938.46,19,4,182.01,756.46,6,6
2017-06-29 00:00:00,57.52,20,38,2185.72,34,4,1429.27,756.46,13,11,23.82,-7,-17,-477.57,-22,5,-802.95,325.37,-3,-5
2017-06-30 00:00:00,81.34,13,21,1708.15,12,9,626.32,1081.83,10,6,232.74,0,-11,1432.65,-6,-5,2312.37,-879.72,-5,2
2017-07-01 00:00:00,314.08,13,10,3140.8,6,4,2938.69,202.11,5,8,-219.74,8,21,-216.19,24,-3,-71.31,-144.88,7,3
2017-07-02 00:00:00,94.34,21,31,2924.61,30,1,2867.38,57.23,12,11,47.81,3,20,4325.19,13,7,3791.79,533.4,-1,5
2017-07-03 00:00:00,142.15,24,51,7249.8,43,8,6659.17,590.63,11,16,90.71,4,7,6256.13,8,-1,3866.17,2389.96,3,2
