"DateTime","Primary Sales","Secondary sales"
"2017-06-23 00:00:00",18,1
"2017-06-24 00:00:00",21,0
"2017-06-25 00:00:00",11,2
"2017-06-26 00:00:00",14,0
"2017-06-27 00:00:00",32,1
"2017-06-28 00:00:00",15,0
"2017-06-29 00:00:00",34,4
"2017-06-30 00:00:00",12,9
"2017-07-01 00:00:00",6,4
"2017-07-02 00:00:00",30,1
"2017-07-03 00:00:00",43,8
"2017-07-04 00:00:00",51,7
"2017-07-05 00:00:00",16,2
"2017-07-06 00:00:00",21,2
"2017-07-07 00:00:00",30,7
"2017-07-08 00:00:00",22,8
"2017-07-09 00:00:00",11,1
"2017-07-10 00:00:00",14,3
"2017-07-11 00:00:00",34,9
"2017-07-12 00:00:00",14,3
"2017-07-13 00:00:00",25,6
"2017-07-14 00:00:00",5,2
"2017-07-15 00:00:00",3,2
"2017-07-16 00:00:00",3,0
"2017-07-17 00:00:00",3,2
"2017-07-18 00:00:00",29,1
"2017-07-19 00:00:00",27,4
"2017-07-20 00:00:00",14,7
"2017-07-21 00:00:00",21,0
"2017-07-22 00:00:00",11,2
"2017-07-23 00:00:00",5,1
"2017-07-24 00:00:00",13,2
"2017-07-25 00:00:00",5,3
"2017-07-26 00:00:00",4,1
"2017-07-27 00:00:00",2,0
"2017-07-28 00:00:00",5,0
"2017-07-29 00:00:00",7,1
"2017-07-30 00:00:00",13,3
"2017-07-31 00:00:00",1,1
"2017-08-01 00:00:00",2,0
"2017-08-02 00:00:00",1,0
"2017-08-03 00:00:00",19,2
"2017-08-04 00:00:00",0,0
"2017-08-05 00:00:00",0,2
"2017-08-06 00:00:00",0,0
"2017-08-07 00:00:00",1,0
"2017-08-08 00:00:00",3,2
"2017-08-09 00:00:00",1,2
"2017-08-10 00:00:00",2,0
"2017-08-11 00:00:00",6,2
"2017-08-12 00:00:00",4,13
"2017-08-13 00:00:00",3,4
"2017-08-14 00:00:00",2,1
"2017-08-15 00:00:00",2,2
"2017-08-16 00:00:00",2,0
"2017-08-17 00:00:00",2,0
"2017-08-18 00:00:00",1,0
"2017-08-19 00:00:00",0,1
"2017-08-20 00:00:00",1,0
"2017-08-21 00:00:00",8,0
"2017-08-22 00:00:00",1,0
"2017-08-23 00:00:00",1,1
"2017-08-24 00:00:00",0,0
"2017-08-25 00:00:00",1,2
"2017-08-26 00:00:00",1,0
"2017-08-27 00:00:00",0,0
"2017-08-28 00:00:00",6,3
"2017-08-29 00:00:00",1,0
"2017-08-30 00:00:00",1,1
"2017-08-31 00:00:00",1,0
"2017-09-01 00:00:00",5,0
"2017-09-02 00:00:00",2,1
"2017-09-03 00:00:00",0,0
"2017-09-04 00:00:00",3,0
"2017-09-05 00:00:00",0,0
"2017-09-06 00:00:00",0,0
"2017-09-07 00:00:00",0,0
"2017-09-08 00:00:00",1,0
"2017-09-09 00:00:00",0,0
"2017-09-10 00:00:00",1,2
"2017-09-11 00:00:00",1,1
"2017-09-12 00:00:00",2,0
"2017-09-13 00:00:00",0,0
"2017-09-14 00:00:00",0,0
"2017-09-15 00:00:00",0,0
"2017-09-16 00:00:00",1,0
"2017-09-17 00:00:00",2,0
"2017-09-18 00:00:00",0,1
"2017-09-19 00:00:00",4,0
"2017-09-20 00:00:00",1,2
"2017-09-21 00:00:00",3,1
"2017-09-22 00:00:00",1,0
"2017-09-23 00:00:00",2,2
"2017-09-24 00:00:00",1,0
"2017-09-25 00:00:00",0,0
"2017-09-26 00:00:00",0,0
"2017-09-27 00:00:00",3,1
"2017-09-28 00:00:00",1,0
"2017-09-29 00:00:00",4,3
"2017-09-30 00:00:00",10,0
"2017-10-01 00:00:00",1,0
"2017-10-02 00:00:00",0,0
"2017-10-03 00:00:00",0,0
"2017-10-04 00:00:00",0,1
"2017-10-05 00:00:00",0,0
"2017-10-06 00:00:00",0,0
"2017-10-07 00:00:00",0,0
"2017-10-08 00:00:00",1,0
"2017-10-09 00:00:00",0,1
"2017-10-10 00:00:00",0,0
"2017-10-11 00:00:00",0,1
"2017-10-12 00:00:00",1,0
"2017-10-13 00:00:00",2,2
"2017-10-14 00:00:00",2,2
"2017-10-15 00:00:00",1,2
"2017-10-16 00:00:00",2,0
"2017-10-17 00:00:00",0,0
"2017-10-18 00:00:00",0,0
"2017-10-19 00:00:00",0,1
"2017-10-20 00:00:00",0,1
"2017-10-21 00:00:00",0,1
"2017-10-22 00:00:00",0,0
"2017-10-23 00:00:00",0,0
"2017-10-24 00:00:00",0,0
"2017-10-25 00:00:00",0,1
"2017-10-26 00:00:00",6,1
"2017-10-27 00:00:00",6,0
"2017-10-28 00:00:00",6,0
"2017-10-29 00:00:00",0,1
"2017-10-30 00:00:00",2,1
"2017-10-31 00:00:00",3,3
"2017-11-01 00:00:00",4,0
"2017-11-02 00:00:00",2,1
"2017-11-03 00:00:00",0,0
"2017-11-04 00:00:00",3,0
"2017-11-05 00:00:00",0,0
"2017-11-06 00:00:00",0,0
"2017-11-07 00:00:00",0,1
"2017-11-08 00:00:00",0,0
"2017-11-09 00:00:00",0,2
"2017-11-10 00:00:00",0,0
"2017-11-11 00:00:00",0,0
"2017-11-12 00:00:00",1,0
"2017-11-13 00:00:00",1,1
"2017-11-14 00:00:00",0,1
"2017-11-15 00:00:00",1,1
"2017-11-16 00:00:00",0,0
"2017-11-17 00:00:00",0,0
"2017-11-18 00:00:00",0,0
"2017-11-19 00:00:00",1,0
"2017-11-20 00:00:00",4,0
"2017-11-21 00:00:00",84,5
"2017-11-22 00:00:00",24,6
"2017-11-23 00:00:00",684,118
"2017-11-24 00:00:00",2494,299
"2017-11-25 00:00:00",1817,128
"2017-11-26 00:00:00",1113,75
"2017-11-27 00:00:00",807,131
"2017-11-28 00:00:00",1021,468
"2017-11-29 00:00:00",3402,1341
"2017-11-30 00:00:00",6049,1447
"2017-12-01 00:00:00",5568,1735
"2017-12-02 00:00:00",8472,3758
"2017-12-03 00:00:00",15356,10172
"2017-12-04 00:00:00",22109,11618
"2017-12-05 00:00:00",25528,13701
"2017-12-06 00:00:00",20287,10933
"2017-12-07 00:00:00",21456,14597
"2017-12-08 00:00:00",26580,16587
"2017-12-09 00:00:00",30308,18410
"2017-12-10 00:00:00",31736,19040
"2017-12-11 00:00:00",27437,18264
"2017-12-12 00:00:00",24363,12787
"2017-12-13 00:00:00",17028,11831
"2017-12-14 00:00:00",19949,10573
"2017-12-15 00:00:00",14681,8130
"2017-12-16 00:00:00",13837,8338
"2017-12-17 00:00:00",11237,7294
"2017-12-18 00:00:00",10159,7359
"2017-12-19 00:00:00",7597,4896
"2017-12-20 00:00:00",5470,10494
"2017-12-21 00:00:00",5131,5266
"2017-12-22 00:00:00",6018,3569
"2017-12-23 00:00:00",7172,3908
"2017-12-24 00:00:00",6683,3852
"2017-12-25 00:00:00",5090,3210
"2017-12-26 00:00:00",4104,2895
"2017-12-27 00:00:00",5178,3405
