"DateTime","Primary sales USD","Secondary sales USD"
"2017-06-23 00:00:00",953.92,66.38
"2017-06-24 00:00:00",1240.84,0
"2017-06-25 00:00:00",402.33,115.22
"2017-06-26 00:00:00",424.63,0
"2017-06-27 00:00:00",2049.94,42.98
"2017-06-28 00:00:00",1247.26,0
"2017-06-29 00:00:00",1429.27,756.46
"2017-06-30 00:00:00",626.32,1081.83
"2017-07-01 00:00:00",2938.69,202.11
"2017-07-02 00:00:00",2867.38,57.23
"2017-07-03 00:00:00",6659.17,590.63
"2017-07-04 00:00:00",10525.34,2980.59
"2017-07-05 00:00:00",1654.13,186.16
"2017-07-06 00:00:00",6808.2,213.98
"2017-07-07 00:00:00",5993.45,1089.06
"2017-07-08 00:00:00",2255.33,972.55
"2017-07-09 00:00:00",897.48,71.63
"2017-07-10 00:00:00",4495.2,414.86
"2017-07-11 00:00:00",5034.25,675.12
"2017-07-12 00:00:00",1534.38,244.35
"2017-07-13 00:00:00",3024.23,2276.74
"2017-07-14 00:00:00",191.04,257.36
"2017-07-15 00:00:00",140.86,408.83
"2017-07-16 00:00:00",319.2,0
"2017-07-17 00:00:00",651.7,800.5
"2017-07-18 00:00:00",2012.23,909.44
"2017-07-19 00:00:00",2730.2,706.55
"2017-07-20 00:00:00",969.82,1382.89
"2017-07-21 00:00:00",2135,0
"2017-07-22 00:00:00",947.69,97.08
"2017-07-23 00:00:00",331.01,90.69
"2017-07-24 00:00:00",953.63,173.18
"2017-07-25 00:00:00",1125.05,644.42
"2017-07-26 00:00:00",250.41,64.11
"2017-07-27 00:00:00",111.75,0
"2017-07-28 00:00:00",374,0
"2017-07-29 00:00:00",719.08,287.72
"2017-07-30 00:00:00",591.6,887.4
"2017-07-31 00:00:00",91.48,121.97
"2017-08-01 00:00:00",109,0
"2017-08-02 00:00:00",525.74,0
"2017-08-03 00:00:00",2576.09,2023.81
"2017-08-04 00:00:00",0,0
"2017-08-05 00:00:00",0,1518.93
"2017-08-06 00:00:00",0,0
"2017-08-07 00:00:00",76.52,0
"2017-08-08 00:00:00",749.67,247.92
"2017-08-09 00:00:00",103.97,163.39
"2017-08-10 00:00:00",181.03,0
"2017-08-11 00:00:00",416.98,242.39
"2017-08-12 00:00:00",291.65,746.87
"2017-08-13 00:00:00",585.39,219.9
"2017-08-14 00:00:00",414.96,88.92
"2017-08-15 00:00:00",119.55,141.34
"2017-08-16 00:00:00",210.03,0
"2017-08-17 00:00:00",150.29,0
"2017-08-18 00:00:00",88.83,0
"2017-08-19 00:00:00",0,118.65
"2017-08-20 00:00:00",162.34,0
"2017-08-21 00:00:00",792.62,0
"2017-08-22 00:00:00",87.41,0
"2017-08-23 00:00:00",82.37,72.86
"2017-08-24 00:00:00",0,0
"2017-08-25 00:00:00",82.26,174.38
"2017-08-26 00:00:00",98.96,0
"2017-08-27 00:00:00",0,0
"2017-08-28 00:00:00",357.97,787.88
"2017-08-29 00:00:00",91.7,0
"2017-08-30 00:00:00",0,174.3
"2017-08-31 00:00:00",103.39,0
"2017-09-01 00:00:00",506.11,0
"2017-09-02 00:00:00",0,69.28
"2017-09-03 00:00:00",0,0
"2017-09-04 00:00:00",314.7,0
"2017-09-05 00:00:00",0,0
"2017-09-06 00:00:00",0,0
"2017-09-07 00:00:00",0,0
"2017-09-08 00:00:00",76.12,0
"2017-09-09 00:00:00",0,0
"2017-09-10 00:00:00",73.19,128.82
"2017-09-11 00:00:00",74.12,65.22
"2017-09-12 00:00:00",81.36,0
"2017-09-13 00:00:00",0,0
"2017-09-14 00:00:00",0,0
"2017-09-15 00:00:00",0,0
"2017-09-16 00:00:00",70.99,0
"2017-09-17 00:00:00",133.72,0
"2017-09-18 00:00:00",0,63.35
"2017-09-19 00:00:00",378.6,0
"2017-09-20 00:00:00",50.85,321.89
"2017-09-21 00:00:00",169.93,38.62
"2017-09-22 00:00:00",71.14,0
"2017-09-23 00:00:00",101.96,141.61
"2017-09-24 00:00:00",56.14,0
"2017-09-25 00:00:00",0,0
"2017-09-26 00:00:00",0,0
"2017-09-27 00:00:00",377.69,45.32
"2017-09-28 00:00:00",36.2,0
"2017-09-29 00:00:00",176.05,138.3
"2017-09-30 00:00:00",160.53,0
"2017-10-01 00:00:00",449.51,0
"2017-10-02 00:00:00",0,0
"2017-10-03 00:00:00",0,0
"2017-10-04 00:00:00",0,58.61
"2017-10-05 00:00:00",0,0
"2017-10-06 00:00:00",0,0
"2017-10-07 00:00:00",0,0
"2017-10-08 00:00:00",93.04,0
"2017-10-09 00:00:00",0,26.63
"2017-10-10 00:00:00",0,0
"2017-10-11 00:00:00",0,66.71
"2017-10-12 00:00:00",39.26,0
"2017-10-13 00:00:00",199.39,155.46
"2017-10-14 00:00:00",100.6,154.26
"2017-10-15 00:00:00",43.6,134.16
"2017-10-16 00:00:00",179.26,0
"2017-10-17 00:00:00",0,0
"2017-10-18 00:00:00",0,0
"2017-10-19 00:00:00",0,27.76
"2017-10-20 00:00:00",0,96.75
"2017-10-21 00:00:00",0,78.18
"2017-10-22 00:00:00",0,0
"2017-10-23 00:00:00",0,0
"2017-10-24 00:00:00",0,0
"2017-10-25 00:00:00",0,44.77
"2017-10-26 00:00:00",216.19,52.73
"2017-10-27 00:00:00",178.76,0
"2017-10-28 00:00:00",177.88,0
"2017-10-29 00:00:00",0,21.26
"2017-10-30 00:00:00",101.06,116.37
"2017-10-31 00:00:00",91.06,130.52
"2017-11-01 00:00:00",111.09,0
"2017-11-02 00:00:00",68.9,43.06
"2017-11-03 00:00:00",0,0
"2017-11-04 00:00:00",86.99,0
"2017-11-05 00:00:00",0,0
"2017-11-06 00:00:00",0,0
"2017-11-07 00:00:00",0,265.71
"2017-11-08 00:00:00",0,0
"2017-11-09 00:00:00",0,148.27
"2017-11-10 00:00:00",0,0
"2017-11-11 00:00:00",0,0
"2017-11-12 00:00:00",91.11,0
"2017-11-13 00:00:00",31.53,31.53
"2017-11-14 00:00:00",0,67.79
"2017-11-15 00:00:00",33.43,103.63
