"DateTime","Number of sales","Sales USD"
"2021-10-05 00:00:00",155357,136446134.5
"2021-10-06 00:00:00",155473,121349591.86
"2021-10-07 00:00:00",177956,139444770.56
"2021-10-08 00:00:00",185412,130071221.56
"2021-10-09 00:00:00",151595,92837882.81
"2021-10-10 00:00:00",166542,100754425.25
"2021-10-11 00:00:00",164836,90987053.15
"2021-10-12 00:00:00",169201,95594079.1
"2021-10-13 00:00:00",176154,127748810.85
"2021-10-14 00:00:00",141570,103201913.03
"2021-10-15 00:00:00",129514,114334159.55
"2021-10-16 00:00:00",157370,102477177.66
"2021-10-17 00:00:00",163674,109119890.2
"2021-10-18 00:00:00",184296,129296513.1
"2021-10-19 00:00:00",139777,85431899.7
"2021-10-20 00:00:00",145507,80603709.89
"2021-10-21 00:00:00",149374,96003186.71
"2021-10-22 00:00:00",168745,109823132.12
"2021-10-23 00:00:00",164883,105879006.97
"2021-10-24 00:00:00",132870,81052812.67
"2021-10-25 00:00:00",136541,81893169.36
"2021-10-26 00:00:00",135188,74770043.52
"2021-10-27 00:00:00",135728,71653489.31
"2021-10-28 00:00:00",127777,86526187.57
"2021-10-29 00:00:00",124466,88022374.42
"2021-10-30 00:00:00",117462,72486453.92
"2021-10-31 00:00:00",122883,72176373.7
"2021-11-01 00:00:00",119710,69787491.67
"2021-11-02 00:00:00",146460,80800401.16
"2021-11-03 00:00:00",148319,84990237.48
"2021-11-04 00:00:00",156545,90125966.14
"2021-11-05 00:00:00",204155,94537382.48
"2021-11-06 00:00:00",183041,84512963.04
"2021-11-07 00:00:00",170683,91408875.62
"2021-11-08 00:00:00",182287,114385750.22
"2021-11-09 00:00:00",160909,79047054.99
"2021-11-10 00:00:00",179723,89020522.1
"2021-11-11 00:00:00",176886,85133464.05
"2021-11-12 00:00:00",158491,86300440.63
"2021-11-13 00:00:00",178711,144057503.37
"2021-11-14 00:00:00",156268,142563735.29
"2021-11-15 00:00:00",120233,137613590.67
"2021-11-16 00:00:00",117749,130766823.79
"2021-11-17 00:00:00",152223,132223505.34
"2021-11-18 00:00:00",194245,121979558.88
"2021-11-19 00:00:00",186554,111556676.23
"2021-11-20 00:00:00",185798,112192059.34
