"DateTime","Primary Sales","Secondary sales"
"2021-10-05 00:00:00",53989,101368
"2021-10-06 00:00:00",71591,83882
"2021-10-07 00:00:00",89148,88808
"2021-10-08 00:00:00",96291,89121
"2021-10-09 00:00:00",65699,85896
"2021-10-10 00:00:00",81889,84653
"2021-10-11 00:00:00",83722,81114
"2021-10-12 00:00:00",82878,86323
"2021-10-13 00:00:00",97998,78156
"2021-10-14 00:00:00",74074,67496
"2021-10-15 00:00:00",57274,72240
"2021-10-16 00:00:00",82134,75236
"2021-10-17 00:00:00",86908,76766
"2021-10-18 00:00:00",101020,83276
"2021-10-19 00:00:00",60752,79025
"2021-10-20 00:00:00",70120,75387
"2021-10-21 00:00:00",74314,75060
"2021-10-22 00:00:00",86511,82234
"2021-10-23 00:00:00",79195,85688
"2021-10-24 00:00:00",55326,77544
"2021-10-25 00:00:00",55985,80556
"2021-10-26 00:00:00",59962,75226
"2021-10-27 00:00:00",60128,75600
"2021-10-28 00:00:00",56834,70943
"2021-10-29 00:00:00",48013,76453
"2021-10-30 00:00:00",41725,75737
"2021-10-31 00:00:00",43310,79573
"2021-11-01 00:00:00",40619,79091
"2021-11-02 00:00:00",56092,90368
"2021-11-03 00:00:00",59619,88700
"2021-11-04 00:00:00",41822,114723
"2021-11-05 00:00:00",72396,131759
"2021-11-06 00:00:00",72083,110958
"2021-11-07 00:00:00",64649,106034
"2021-11-08 00:00:00",86714,95573
"2021-11-09 00:00:00",65053,95856
"2021-11-10 00:00:00",67429,112294
"2021-11-11 00:00:00",70931,105955
"2021-11-12 00:00:00",58700,99791
"2021-11-13 00:00:00",74100,104611
"2021-11-14 00:00:00",59595,96673
"2021-11-15 00:00:00",44232,76001
"2021-11-16 00:00:00",41812,75937
"2021-11-17 00:00:00",70758,81465
"2021-11-18 00:00:00",87376,106869
"2021-11-19 00:00:00",78584,107970
"2021-11-20 00:00:00",82415,103383
"2021-11-21 00:00:00",63598,99351
"2021-11-22 00:00:00",82797,105924
"2021-11-23 00:00:00",78897,96386
"2021-11-24 00:00:00",75672,101017
"2021-11-25 00:00:00",72162,93395
"2021-11-26 00:00:00",55658,89635
"2021-11-27 00:00:00",77576,95151
"2021-11-28 00:00:00",81818,97490
"2021-11-29 00:00:00",70719,98306
"2021-11-30 00:00:00",69663,92525
"2021-12-01 00:00:00",68800,98914
"2021-12-02 00:00:00",62674,94299
"2021-12-03 00:00:00",48700,86579
"2021-12-04 00:00:00",77877,82403
"2021-12-05 00:00:00",65256,80991
"2021-12-06 00:00:00",60834,78733
"2021-12-07 00:00:00",57788,79644
"2021-12-08 00:00:00",83166,98617
"2021-12-09 00:00:00",37228,80453
"2021-12-10 00:00:00",34615,79492
"2021-12-11 00:00:00",50459,74021
"2021-12-12 00:00:00",39995,73628
"2021-12-13 00:00:00",29876,77579
"2021-12-14 00:00:00",24402,80381
"2021-12-15 00:00:00",26064,79112
"2021-12-16 00:00:00",39839,67489
"2021-12-17 00:00:00",37340,61739
"2021-12-18 00:00:00",34793,60290
"2021-12-19 00:00:00",30511,55977
"2021-12-20 00:00:00",31039,59137
"2021-12-21 00:00:00",25162,54753
"2021-12-22 00:00:00",40611,55889
