"DateTime","Unique buyers","Unique sellers"
"2021-10-05 00:00:00",57873,50616
"2021-10-06 00:00:00",54135,44119
"2021-10-07 00:00:00",58135,39960
"2021-10-08 00:00:00",60383,39076
"2021-10-09 00:00:00",51693,38345
"2021-10-10 00:00:00",54313,37537
"2021-10-11 00:00:00",54313,35535
"2021-10-12 00:00:00",54457,36566
"2021-10-13 00:00:00",60229,35119
"2021-10-14 00:00:00",49424,31283
"2021-10-15 00:00:00",48955,34501
"2021-10-16 00:00:00",55293,35925
"2021-10-17 00:00:00",56163,35874
"2021-10-18 00:00:00",56836,35778
"2021-10-19 00:00:00",47593,33611
"2021-10-20 00:00:00",49428,33272
"2021-10-21 00:00:00",55331,32720
"2021-10-22 00:00:00",55252,34425
"2021-10-23 00:00:00",53657,36553
"2021-10-24 00:00:00",45482,33349
"2021-10-25 00:00:00",47764,34120
"2021-10-26 00:00:00",45619,32549
"2021-10-27 00:00:00",46591,31858
"2021-10-28 00:00:00",43719,30515
"2021-10-29 00:00:00",44838,32015
"2021-10-30 00:00:00",42417,33927
"2021-10-31 00:00:00",44757,36884
"2021-11-01 00:00:00",46185,37038
"2021-11-02 00:00:00",54830,42012
"2021-11-03 00:00:00",52736,40670
"2021-11-04 00:00:00",66165,57883
"2021-11-05 00:00:00",79464,69329
"2021-11-06 00:00:00",69448,54653
"2021-11-07 00:00:00",67027,49157
"2021-11-08 00:00:00",64959,43713
"2021-11-09 00:00:00",61885,42919
"2021-11-10 00:00:00",73230,55143
"2021-11-11 00:00:00",68759,50966
"2021-11-12 00:00:00",63820,46870
"2021-11-13 00:00:00",69130,48395
"2021-11-14 00:00:00",64378,46836
"2021-11-15 00:00:00",55364,39891
"2021-11-16 00:00:00",57253,43962
"2021-11-17 00:00:00",60654,44954
"2021-11-18 00:00:00",70566,53485
"2021-11-19 00:00:00",69058,51388
"2021-11-20 00:00:00",65632,48265
"2021-11-21 00:00:00",60902,44877
"2021-11-22 00:00:00",67867,48875
"2021-11-23 00:00:00",62306,43770
"2021-11-24 00:00:00",63922,45909
"2021-11-25 00:00:00",61827,42117
"2021-11-26 00:00:00",55157,40615
"2021-11-27 00:00:00",60676,42401
"2021-11-28 00:00:00",61998,41417
"2021-11-29 00:00:00",60252,42779
"2021-11-30 00:00:00",60228,39863
"2021-12-01 00:00:00",64820,41521
"2021-12-02 00:00:00",59147,41597
"2021-12-03 00:00:00",52654,39680
"2021-12-04 00:00:00",56352,36412
"2021-12-05 00:00:00",56096,35872
"2021-12-06 00:00:00",50530,33441
"2021-12-07 00:00:00",52610,34571
"2021-12-08 00:00:00",59583,44147
"2021-12-09 00:00:00",52012,39161
"2021-12-10 00:00:00",49298,35190
"2021-12-11 00:00:00",58746,33356
"2021-12-12 00:00:00",52813,32822
"2021-12-13 00:00:00",52834,33848
"2021-12-14 00:00:00",52301,36776
"2021-12-15 00:00:00",50242,37474
"2021-12-16 00:00:00",54290,35156
"2021-12-17 00:00:00",49245,33089
"2021-12-18 00:00:00",45686,32592
"2021-12-19 00:00:00",41662,31238
"2021-12-20 00:00:00",42294,31569
"2021-12-21 00:00:00",39787,31418
"2021-12-22 00:00:00",44550,31822
"2021-12-23 00:00:00",50206,33597
"2021-12-24 00:00:00",41720,30025
"2021-12-25 00:00:00",32405,25996
"2021-12-26 00:00:00",42662,32992
