date, CryptoNinja Partners
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,218
2022-05-21,286
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,92
2022-05-26,311
2022-05-27,166
2022-05-28,63
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,67
2022-06-02,308
2022-06-03,258
2022-06-04,174
2022-06-05,594
2022-06-06,150
2022-06-07,249
2022-06-08,279
2022-06-09,275
2022-06-10,334
2022-06-11,158
2022-06-12,119
2022-06-13,15
2022-06-14,210
2022-06-15,133
2022-06-16,88
2022-06-17,170
2022-06-18,141
2022-06-19,102
2022-06-20,102
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,139
2022-06-25,316
2022-06-26,240
2022-06-27,71
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,90
2022-07-02,193
2022-07-03,261
2022-07-04,19
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,34
2022-07-09,275
2022-07-10,479
2022-07-11,209
2022-07-12,300
2022-07-13,257
2022-07-14,86
2022-07-15,58
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,304
2022-07-20,161
2022-07-21,180
2022-07-22,101
2022-07-23,0
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,119
2022-07-28,194
2022-07-29,320
2022-07-30,239
2022-07-31,245
2022-08-01,30
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,164
2022-08-08,166
2022-08-09,510
2022-08-10,231
2022-08-11,191
2022-08-12,225
2022-08-13,0
2022-08-14,0
2022-08-21,269
2022-08-22,51
2022-08-23,195
2022-08-24,212
2022-08-25,116
2022-08-26,151
2022-08-27,244
2022-08-28,0
2022-09-18,263
2022-09-19,205
2022-09-20,129
2022-09-21,167
2022-09-22,215
2022-09-23,253
2022-09-24,164
2022-09-25,0
2022-10-30,87
2022-10-31,215
2022-11-01,244
2022-11-02,22
2022-11-03,198
2022-11-04,33
2022-11-05,0
