date,Art Blocks
2021-03-17,0
2021-03-18,100
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,0
2021-05-26,0
2021-05-27,0
2021-05-28,0
2021-05-29,183
2021-05-30,114
2021-05-31,98
2021-06-01,223
2021-06-02,0
2022-01-05,0
2022-01-06,0
2022-01-07,28
2022-01-08,0
2022-01-09,132
2022-01-10,57
2022-01-11,0
2022-01-12,0
2022-01-19,0
2022-01-20,100
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-04-27,87
2022-04-28,94
2022-04-29,245
2022-04-30,193
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,0
2022-05-05,0
2022-05-06,32
2022-05-07,76
2022-05-08,278
2022-05-09,158
2022-05-10,201
2022-05-11,128
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,100
2022-06-07,0
2022-06-08,76
2022-06-09,0
2022-06-10,0
2022-06-11,105
2022-06-12,322
2022-06-13,81
2022-06-14,43
2022-06-15,144
2022-06-16,249
2022-06-17,166
2022-06-18,138
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-06-22,0
2022-07-20,261
2022-07-21,149
2022-07-22,140
2022-07-23,159
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,0
2022-07-28,0
2022-07-29,0
2022-07-30,100
2022-07-31,0
2022-08-01,0
2022-08-02,0
2022-08-03,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-20,0
2022-08-21,324
2022-08-22,92
2022-08-23,291
2022-08-24,0
2022-08-25,0
2022-08-26,0
2022-08-27,249
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-14,0
2022-09-15,0
2022-09-16,0
2022-09-17,0
2022-09-18,183
2022-09-19,116
2022-09-20,167
2022-09-21,355
2022-09-22,227
2022-09-23,225
2022-09-24,161
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-10-26,0
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,0
2022-10-31,100
2022-11-01,0
2022-11-02,0
