date,Azuki
2022-01-12,257
2022-01-13,333
2022-01-14,227
2022-01-15,215
2022-01-16,167
2022-01-17,367
2022-01-18,280
2022-01-19,377
2022-01-20,576
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-02-16,381
2022-02-17,365
2022-02-18,445
2022-02-19,273
2022-02-20,443
2022-02-21,347
2022-02-22,516
2022-02-23,0
2022-04-27,366
2022-04-28,460
2022-04-29,441
2022-04-30,143
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,266
2022-05-05,404
2022-05-06,183
2022-05-07,275
2022-05-08,86
2022-05-09,301
2022-05-10,791
2022-05-11,158
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-25,266
2022-05-26,421
2022-05-27,226
2022-05-28,271
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,278
2022-06-02,376
2022-06-03,298
2022-06-04,243
2022-06-05,315
2022-06-06,415
2022-06-07,280
2022-06-08,265
2022-06-09,413
2022-06-10,339
2022-06-11,460
2022-06-12,313
2022-06-13,420
2022-06-14,270
2022-06-15,373
2022-06-16,524
2022-06-17,277
2022-06-18,299
2022-06-19,30
2022-06-20,0
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-06-25,0
2022-06-26,100
2022-06-27,0
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,100
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,0
2022-07-09,0
2022-07-10,100
2022-07-11,0
2022-07-12,0
2022-07-13,0
2022-07-14,100
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,88
2022-07-19,0
2022-07-20,210
2022-07-21,85
2022-07-22,430
2022-07-23,97
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,286
2022-07-28,403
2022-07-29,235
2022-07-30,242
2022-07-31,0
2022-08-01,17
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,352
2022-08-08,241
2022-08-09,268
2022-08-10,405
2022-08-11,228
2022-08-12,211
2022-08-13,211
2022-08-14,0
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-20,0
2022-08-21,217
2022-08-22,109
2022-08-23,42
2022-08-24,228
2022-08-25,154
2022-08-26,420
2022-08-27,458
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-14,0
2022-09-15,0
2022-09-16,0
2022-09-17,0
2022-09-18,574
2022-09-19,437
2022-09-20,246
2022-09-21,656
2022-09-22,269
2022-09-23,359
2022-09-24,442
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-10-26,0
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,297
2022-10-31,345
2022-11-01,224
2022-11-02,190
2022-11-03,343
2022-11-04,320
2022-11-05,0
