date,BAYC
2021-04-30,264
2021-05-01,97
2021-05-02,206
2021-05-03,131
2021-05-04,141
2021-05-05,181
2021-05-06,151
2021-05-07,250
2021-05-08,151
2021-05-09,177
2021-05-10,113
2021-05-11,106
2021-05-12,298
2021-05-13,219
2021-05-14,415
2021-05-15,147
2021-05-16,195
2021-05-17,229
2021-05-18,306
2021-05-19,238
2021-05-20,249
2021-05-21,332
2021-05-22,225
2021-05-23,131
2021-05-24,151
2021-05-25,214
2021-05-26,211
2021-05-27,66
2021-05-28,190
2021-05-29,218
2021-05-30,466
2021-05-31,209
2021-06-01,126
2021-06-02,367
2021-06-03,376
2021-06-04,134
2021-06-05,185
2021-06-06,221
2021-06-07,232
2021-06-08,172
2021-06-09,186
2021-06-10,140
2021-06-11,137
2021-06-12,0
2021-06-13,0
2021-06-14,124
2021-06-15,116
2021-06-16,335
2021-06-17,349
2021-06-18,0
2021-06-25,56
2021-06-26,96
2021-06-27,376
2021-06-28,51
2021-06-29,299
2021-06-30,216
2021-07-01,224
2021-07-02,186
2021-07-03,84
2021-07-04,247
2021-07-05,52
2021-07-06,69
2021-07-07,203
2021-07-08,79
2021-07-09,222
2021-07-10,141
2021-07-11,53
2021-07-12,252
2021-07-13,301
2021-07-14,137
2021-07-15,76
2021-07-16,94
2021-07-17,85
2021-07-18,157
2021-07-19,243
2021-07-20,84
2021-07-21,66
2021-07-22,46
2021-07-23,191
2021-07-24,103
2021-07-25,200
2021-07-26,307
2021-07-27,58
2021-07-28,171
2021-07-29,44
2021-07-30,452
2021-07-31,289
2021-08-01,183
2021-08-02,301
2021-08-03,182
2021-08-04,84
2021-08-05,197
2021-08-06,122
2021-08-07,17
2021-08-08,453
2021-08-09,205
2021-08-10,238
2021-08-11,92
2021-08-12,34
2021-08-13,155
2021-08-14,245
2021-08-15,373
2021-08-16,473
2021-08-17,243
2021-08-18,183
2021-08-19,89
2021-08-20,0
2021-08-21,0
2021-08-22,0
2021-08-23,6
2021-08-24,155
2021-08-25,4
2021-08-26,11
2021-08-27,78
2021-08-28,196
2021-08-29,132
2021-08-30,145
2021-08-31,257
2021-09-01,313
2021-09-02,304
2021-09-03,360
2021-09-04,466
2021-09-05,101
2021-09-06,74
2021-09-07,195
2021-09-08,339
2021-09-09,99
2021-09-10,359
2021-09-11,146
2021-09-12,408
2021-09-13,173
2021-09-14,211
2021-09-15,214
2021-09-16,134
2021-09-17,248
2021-09-18,381
2021-09-19,131
2021-09-20,97
2021-09-21,239
2021-09-22,303
2021-09-23,394
2021-09-24,205
2021-09-25,106
2021-09-26,295
2021-09-27,147
2021-09-28,152
2021-09-29,141
2021-09-30,168
2021-10-01,243
2021-10-02,265
2021-10-03,167
2021-10-04,152
2021-10-05,250
2021-10-06,222
2021-10-07,244
2021-10-08,81
2021-10-09,195
2021-10-10,134
2021-10-11,103
2021-10-12,102
2021-10-13,264
2021-10-14,275
2021-10-15,277
2021-10-16,84
2021-10-17,204
2021-10-18,160
2021-10-19,61
2021-10-20,98
2021-10-21,96
2021-10-22,99
2021-10-23,183
2021-10-24,98
2021-10-25,233
2021-10-26,288
2021-10-27,162
2021-10-28,275
2021-10-29,278
2021-10-30,446
2021-10-31,144
2021-11-01,258
2021-11-02,236
2021-11-03,211
2021-11-04,192
2021-11-05,94
2021-11-06,120
2021-11-07,138
2021-11-08,250
2021-11-09,221
2021-11-10,280
2021-11-11,310
2021-11-12,309
2021-11-13,646
2021-11-14,259
2021-11-15,172
2021-11-16,238
2021-11-17,148
2021-11-18,146
2021-11-19,220
2021-11-20,59
2021-11-21,227
2021-11-22,360
2021-11-23,181
2021-11-24,410
2021-11-25,335
2021-11-26,173
2021-11-27,188
2021-11-28,269
2021-11-29,197
2021-11-30,288
2021-12-01,209
2021-12-02,286
2021-12-03,179
2021-12-04,226
2021-12-05,132
2021-12-06,117
2021-12-07,163
2021-12-08,315
2021-12-09,130
2021-12-10,104
2021-12-11,284
2021-12-12,371
2021-12-13,264
2021-12-14,331
2021-12-15,147
2021-12-16,295
2021-12-17,203
2021-12-18,246
2021-12-19,138
2021-12-20,339
2021-12-21,302
2021-12-22,61
2021-12-23,210
2021-12-24,321
2021-12-25,169
2021-12-26,202
2021-12-27,152
2021-12-28,200
2021-12-29,187
2021-12-30,321
2021-12-31,317
2022-01-01,180
2022-01-02,397
2022-01-03,610
2022-01-04,455
2022-01-05,345
2022-01-06,331
2022-01-07,276
2022-01-08,158
2022-01-09,293
2022-01-10,476
2022-01-11,255
2022-01-12,199
2022-01-13,188
2022-01-14,354
2022-01-15,289
2022-01-16,393
2022-01-17,157
2022-01-18,317
2022-01-19,94
2022-01-20,124
2022-01-21,579
2022-01-22,306
2022-01-23,373
2022-01-24,454
2022-01-25,180
2022-01-26,172
2022-01-27,340
2022-01-28,276
2022-01-29,243
2022-01-30,306
2022-01-31,200
2022-02-01,215
2022-02-02,348
2022-02-03,290
2022-02-04,223
2022-02-05,587
2022-02-06,335
2022-02-07,415
2022-02-08,404
2022-02-09,246
2022-02-10,324
2022-02-11,180
2022-02-12,348
2022-02-13,468
2022-02-14,211
2022-02-15,199
2022-02-16,283
2022-02-17,242
2022-02-18,0
2022-02-25,488
2022-02-26,154
2022-02-27,130
2022-02-28,252
2022-03-01,344
2022-03-02,391
2022-03-03,185
2022-03-04,92
2022-03-05,413
2022-03-06,276
2022-03-07,250
2022-03-08,180
2022-03-09,185
2022-03-10,161
2022-03-11,252
2022-03-12,151
2022-03-13,154
2022-03-14,110
2022-03-15,190
2022-03-16,249
2022-03-17,770
2022-03-18,706
2022-03-19,578
2022-03-20,338
2022-03-21,276
2022-03-22,168
2022-03-23,269
2022-03-24,398
2022-03-25,505
2022-03-26,275
2022-03-27,197
2022-03-28,379
2022-03-29,314
2022-03-30,247
2022-03-31,290
