date,Bored Ape Kennel Club
2021-06-18,384
2021-06-19,88
2021-06-20,156
2021-06-21,201
2021-06-22,179
2021-06-23,176
2021-06-24,88
2021-06-25,69
2021-06-26,58
2021-06-27,161
2021-06-28,236
2021-06-29,169
2021-06-30,90
2021-07-01,99
2021-07-02,0
2021-07-03,0
2021-07-04,0
2021-07-05,118
2021-07-06,80
2021-07-07,53
2021-07-08,129
2021-07-09,63
2021-07-10,107
2021-07-11,182
2021-07-12,68
2021-07-13,168
2021-07-14,165
2021-07-15,326
2021-07-16,114
2021-07-17,152
2021-07-18,157
2021-07-19,146
2021-07-20,173
2021-07-21,106
2021-07-22,0
2021-07-23,0
2021-07-24,0
2021-07-25,75
2021-07-26,208
2021-07-27,53
2021-07-28,224
2021-07-29,179
2021-07-30,134
2021-07-31,85
2021-08-01,313
2021-08-02,98
2021-08-03,122
2021-08-04,87
2021-08-05,22
2021-08-06,178
2021-08-07,29
2021-08-08,320
2021-08-09,207
2021-08-10,131
2021-08-11,265
2021-08-12,254
2021-08-13,199
2021-08-14,158
2021-08-15,162
2021-08-16,264
2021-08-17,248
2021-08-18,211
2021-08-19,195
2021-08-20,13
2021-08-21,0
2021-08-22,60
2021-08-23,20
2021-08-24,113
2021-08-25,12
2021-08-26,10
2021-08-27,83
2021-08-28,290
2021-08-29,166
2021-08-30,0
2021-08-31,0
2021-09-01,0
2021-09-02,0
2021-09-03,189
2021-09-04,588
2021-09-05,131
2021-09-06,188
2021-09-07,277
2021-09-08,101
2021-09-09,0
2021-09-10,0
2021-09-11,0
2021-09-12,78
2021-09-13,154
2021-09-14,240
2021-09-15,168
2021-09-16,404
2021-09-17,38
2021-09-18,279
2021-09-19,70
2021-09-20,47
2021-09-21,0
2021-09-22,124
2021-09-23,79
2021-09-24,39
2021-09-25,134
2021-09-26,273
2021-09-27,183
2021-09-28,136
2021-09-29,134
2021-09-30,215
2021-10-01,19
2021-10-02,124
2021-10-03,238
2021-10-04,244
2021-10-05,331
2021-10-06,215
2021-10-07,192
2021-10-08,208
2021-10-09,263
2021-10-10,288
2021-10-11,47
2021-10-12,295
2021-10-13,95
2021-10-14,81
2021-10-15,186
2021-10-16,159
2021-10-17,94
2021-10-18,141
2021-10-19,98
2021-10-20,30
2021-10-21,135
2021-10-22,173
2021-10-23,164
2021-10-24,127
2021-10-25,128
2021-10-26,130
2021-10-27,331
2021-10-28,354
2021-10-29,155
2021-10-30,250
2021-10-31,90
2021-11-01,331
2021-11-02,53
2021-11-03,250
2021-11-04,242
2021-11-05,259
2021-11-06,37
2021-11-07,178
2021-11-08,135
2021-11-09,75
2021-11-10,175
2021-11-11,174
2021-11-12,128
2021-11-13,154
2021-11-14,84
2021-11-15,141
2021-11-16,118
2021-11-17,249
2021-11-18,135
2021-11-19,113
2021-11-20,183
2021-11-21,171
2021-11-22,144
2021-11-23,89
2021-11-24,245
2021-11-25,331
2021-11-26,335
2021-11-27,55
2021-11-28,294
2021-11-29,105
2021-11-30,182
2021-12-01,217
2021-12-02,161
2021-12-03,150
2021-12-04,209
2021-12-05,65
2021-12-06,81
2021-12-07,73
2021-12-08,369
2021-12-09,192
2021-12-10,192
2021-12-11,134
2021-12-12,81
2021-12-13,131
2021-12-14,147
2021-12-15,73
2021-12-16,51
2021-12-17,335
2021-12-18,237
2021-12-19,188
2021-12-20,231
2021-12-21,169
2021-12-22,240
2021-12-23,142
2021-12-24,204
2021-12-25,120
2021-12-26,354
2021-12-27,249
2021-12-28,131
2021-12-29,164
2021-12-30,181
2021-12-31,192
2022-01-01,32
2022-01-02,247
2022-01-03,54
2022-01-04,233
2022-01-05,185
2022-01-06,107
2022-01-07,289
2022-01-08,168
2022-01-09,124
2022-01-10,304
2022-01-11,59
2022-01-12,220
2022-01-13,156
2022-01-14,367
2022-01-15,117
2022-01-16,105
2022-01-17,82
2022-01-18,210
2022-01-19,94
2022-01-20,180
2022-01-21,133
2022-01-22,88
2022-01-23,336
2022-01-24,86
2022-01-25,81
2022-01-26,253
2022-01-27,201
2022-01-28,173
2022-01-29,237
2022-01-30,178
2022-01-31,163
2022-02-01,118
2022-02-02,225
2022-02-03,160
2022-02-04,170
2022-02-05,173
2022-02-06,147
2022-02-07,156
2022-02-08,115
2022-02-09,382
2022-02-10,518
2022-02-11,192
2022-02-12,39
2022-02-13,179
2022-02-14,19
2022-02-15,30
2022-02-16,85
2022-02-17,17
2022-02-18,224
2022-02-19,361
2022-02-20,85
2022-02-21,88
2022-02-22,278
2022-02-23,133
2022-02-24,89
2022-02-25,115
