date,CloneX
2021-12-30,0
2021-12-31,0
2022-01-01,384
2022-01-02,302
2022-01-03,193
2022-01-04,153
2022-01-05,259
2022-01-06,340
2022-01-07,229
2022-01-08,195
2022-01-09,212
2022-01-10,51
2022-01-11,185
2022-01-12,70
2022-01-13,183
2022-01-14,144
2022-01-15,197
2022-01-16,293
2022-01-17,147
2022-01-18,147
2022-01-19,141
2022-01-20,222
2022-01-21,116
2022-01-22,111
2022-01-23,238
2022-01-24,173
2022-01-25,187
2022-01-26,221
2022-01-27,149
2022-01-28,376
2022-01-29,232
2022-01-30,273
2022-01-31,211
2022-02-01,183
2022-02-02,223
2022-02-03,0
