date,CryptoKitties
2017-11-23,397
2017-11-24,51
2017-11-25,0
2017-11-26,152
2017-11-27,152
2017-11-28,128
2017-11-29,162
2017-11-30,8
2017-12-01,86
2017-12-02,84
2017-12-03,370
2017-12-04,889
2017-12-05,1212
2017-12-06,1085
2017-12-07,1259
2017-12-08,821
2017-12-09,668
2017-12-10,552
2017-12-11,511
2017-12-12,406
2017-12-13,525
2017-12-14,446
2017-12-15,388
2017-12-16,247
2017-12-17,245
2017-12-18,241
2017-12-19,401
2017-12-20,132
2017-12-21,315
2017-12-22,214
2017-12-23,379
2017-12-24,266
2017-12-25,350
2017-12-26,402
2017-12-27,120
2017-12-28,315
2017-12-29,427
2017-12-30,202
2017-12-31,250
2018-01-01,307
2018-01-02,324
2018-01-03,392
2018-01-04,369
2018-01-05,499
2018-01-06,260
2018-01-07,264
2018-01-08,464
2018-01-09,355
2018-01-10,339
2018-01-11,162
2018-01-12,201
2018-01-13,192
2018-01-14,211
2018-01-15,234
2018-01-16,382
2018-01-17,191
2018-01-18,190
2018-01-19,183
2018-01-20,235
2018-01-21,158
2018-01-22,282
2018-01-23,151
2018-01-24,197
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,193
2018-01-29,171
2018-01-30,267
2018-01-31,323
2018-02-01,91
2018-02-02,358
2018-02-03,132
2018-02-04,224
2018-02-05,321
2018-02-06,58
2018-02-07,248
2018-02-08,90
2018-02-09,110
2018-02-10,193
2018-02-11,198
2018-02-12,118
2018-02-13,114
2018-02-14,193
2018-02-15,107
2018-02-16,253
2018-02-17,38
2018-02-18,162
2018-02-19,43
2018-02-20,64
2018-02-21,78
2018-02-22,206
2018-02-23,145
2018-02-24,457
2018-02-25,162
2018-02-26,218
2018-02-27,239
2018-02-28,307
2018-03-01,257
2018-03-02,34
2018-03-03,423
2018-03-04,418
2018-03-05,168
2018-03-06,312
2018-03-07,58
2018-03-08,184
2018-03-09,425
2018-03-10,235
2018-03-11,124
2018-03-12,100
2018-03-13,60
2018-03-14,259
2018-03-15,0
2018-03-16,217
2018-03-17,45
2018-03-18,179
2018-03-19,267
2018-03-20,230
2018-03-21,349
2018-03-22,194
2018-03-23,162
2018-03-24,110
2018-03-25,186
2018-03-26,211
2018-03-27,257
2018-03-28,243
2018-03-29,141
2018-03-30,80
2018-03-31,218
2018-04-01,168
2018-04-02,245
2018-04-03,102
2018-04-04,48
2018-04-05,275
2018-04-06,68
2018-04-07,328
2018-04-08,172
2018-04-09,238
2018-04-10,185
2018-04-11,116
2018-04-12,94
2018-04-13,296
2018-04-14,229
2018-04-15,193
2018-04-16,76
2018-04-17,110
2018-04-18,96
2018-04-19,328
2018-04-20,270
2018-04-21,307
2018-04-22,211
2018-04-23,15
2018-04-24,106
2018-04-25,174
2018-04-26,106
2018-04-27,363
2018-04-28,199
2018-04-29,276
2018-04-30,175
2018-05-01,251
2018-05-02,173
2018-05-03,106
2018-05-04,243
2018-05-05,215
2018-05-06,331
2018-05-07,228
2018-05-08,118
2018-05-09,153
2018-05-10,165
2018-05-11,224
2018-05-12,278
2018-05-13,203
2018-05-14,76
2018-05-15,227
2018-05-16,120
2018-05-17,160
2018-05-18,112
2018-05-19,0
2018-05-20,167
2018-05-21,179
2018-05-22,112
2018-05-23,129
2018-05-24,196
2018-05-25,394
2018-05-26,305
2018-05-27,265
2018-05-28,183
2018-05-29,86
2018-05-30,111
2018-05-31,749
2018-06-01,208
2018-06-02,122
2018-06-03,125
2018-06-04,351
2018-06-05,382
2018-06-06,108
2018-06-07,343
2018-06-08,297
2018-06-09,167
2018-06-10,309
2018-06-11,424
2018-06-12,86
2018-06-13,249
2018-06-14,163
2018-06-15,107
2018-06-16,458
2018-06-17,236
2018-06-18,156
2018-06-19,192
2018-06-20,173
2018-06-21,293
2018-06-22,93
2018-06-23,200
2018-06-24,187
2018-06-25,345
2018-06-26,223
2018-06-27,105
2018-06-28,135
2018-06-29,403
2018-06-30,288
2018-07-01,68
2018-07-02,425
2018-07-03,372
2018-07-04,295
2018-07-05,218
2018-07-06,141
2018-07-07,367
2018-07-08,264
2018-07-09,161
2018-07-10,101
2018-07-11,140
2018-07-12,62
2018-07-13,163
2018-07-14,129
2018-07-15,423
2018-07-16,141
2018-07-17,246
2018-07-18,89
2018-07-19,294
2018-07-20,154
2018-07-21,377
2018-07-22,320
2018-07-23,311
2018-07-24,333
2018-07-25,194
2018-07-26,184
2018-07-27,181
2018-07-28,267
2018-07-29,102
2018-07-30,316
2018-07-31,141
2018-08-01,104
2018-08-02,160
2018-08-03,38
2018-08-04,168
2018-08-05,436
2018-08-06,210
2018-08-07,203
2018-08-08,112
2018-08-09,220
2018-08-10,202
2018-08-11,132
2018-08-12,468
2018-08-13,129
2018-08-14,22
2018-08-15,219
2018-08-16,105
2018-08-17,253
2018-08-18,74
2018-08-19,313
2018-08-20,107
2018-08-21,68
2018-08-22,67
2018-08-23,75
2018-08-24,56
2018-08-25,253
2018-08-26,100
2018-08-27,174
2018-08-28,211
2018-08-29,86
2018-08-30,25
2018-08-31,91
2018-09-01,72
2018-09-02,191
2018-09-03,87
2018-09-04,71
2018-09-05,322
2018-09-06,351
2018-09-07,213
2018-09-08,313
2018-09-09,93
2018-09-10,152
2018-09-11,118
2018-09-12,288
2018-09-13,143
2018-09-14,253
2018-09-15,118
2018-09-16,308
2018-09-17,137
2018-09-18,455
2018-09-19,202
2018-09-20,187
2018-09-21,133
2018-09-22,246
2018-09-23,232
2018-09-24,181
2018-09-25,99
2018-09-26,131
2018-09-27,271
2018-09-28,293
2018-09-29,261
2018-09-30,168
2018-10-01,187
2018-10-02,252
2018-10-03,253
2018-10-04,155
2018-10-05,365
2018-10-06,226
2018-10-07,33
2018-10-08,99
2018-10-09,27
2018-10-10,18
2018-10-11,66
2018-10-12,228
2018-10-13,144
2018-10-14,134
2018-10-15,0
2018-10-16,0
2018-10-17,0
2018-10-18,198
2018-10-19,86
2018-10-20,53
2018-10-21,127
2018-10-22,129
2018-10-23,53
2018-10-24,22
2018-10-25,120
2018-10-26,219
2018-10-27,384
2018-10-28,299
2018-10-29,155
2018-10-30,171
2018-10-31,273
2018-11-01,436
2018-11-02,285
2018-11-03,244
2018-11-04,253
2018-11-05,259
2018-11-06,251
2018-11-07,178
2018-11-08,221
2018-11-09,155
2018-11-10,252
2018-11-11,113
2018-11-12,294
2018-11-13,400
2018-11-14,62
2018-11-15,81
2018-11-16,99
2018-11-17,282
2018-11-18,198
2018-11-19,59
2018-11-20,121
2018-11-21,119
2018-11-22,146
2018-11-23,152
2018-11-24,183
2018-11-25,224
2018-11-26,134
2018-11-27,0
2018-11-28,0
2018-11-29,0
2018-11-30,284
2018-12-01,178
2018-12-02,433
2018-12-03,182
2018-12-04,0
2018-12-05,0
2018-12-06,0
2018-12-07,250
2018-12-08,281
2018-12-09,0
2018-12-10,0
2018-12-11,0
2018-12-12,0
2018-12-13,0
2018-12-14,0
2018-12-15,0
2018-12-16,0
2018-12-17,0
2018-12-18,0
2018-12-19,139
2018-12-20,188
2018-12-21,115
2018-12-22,367
2018-12-23,316
2018-12-24,223
2018-12-25,193
2018-12-26,0
2018-12-27,0
2018-12-28,47
2018-12-29,170
2018-12-30,178
2018-12-31,0
2019-01-01,0
2019-01-02,0
2019-01-03,185
2019-01-04,207
2019-01-05,339
2019-01-06,0
2019-01-07,0
2019-01-08,0
2019-01-09,43
2019-01-10,107
2019-01-11,59
2019-01-12,355
2019-01-13,167
2019-01-14,196
2019-01-15,113
2019-01-16,196
2019-01-17,100
2019-01-18,291
2019-01-19,250
2019-01-20,68
2019-01-21,112
2019-01-22,194
2019-01-23,198
2019-01-24,279
2019-01-25,97
2019-01-26,169
2019-01-27,316
2019-01-28,356
2019-01-29,233
2019-01-30,360
2019-01-31,0
2019-02-07,0
2019-02-08,0
2019-02-09,0
2019-02-10,249
2019-02-11,0
2019-02-12,0
2019-02-13,0
2019-02-14,102
2019-02-15,218
2019-02-16,213
2019-02-17,124
2019-02-18,0
2019-02-19,0
2019-02-20,0
2019-02-21,165
2019-02-22,136
2019-02-23,151
2019-02-24,53
2019-02-25,154
2019-02-26,112
2019-02-27,72
2019-02-28,303
2019-03-01,146
2019-03-02,304
2019-03-03,283
2019-03-04,30
2019-03-05,216
2019-03-06,172
2019-03-07,304
2019-03-08,249
2019-03-09,176
2019-03-10,0
2019-03-11,0
2019-03-12,0
2019-03-13,112
2019-03-14,363
2019-03-15,178
2019-03-16,212
2019-03-17,239
2019-03-18,293
2019-03-19,103
2019-03-20,426
2019-03-21,277
2019-03-22,96
2019-03-23,38
2019-03-24,16
2019-03-25,126
2019-03-26,140
2019-03-27,48
2019-03-28,205
2019-03-29,217
2019-03-30,163
2019-03-31,70
2019-04-01,260
2019-04-02,276
2019-04-03,151
2019-04-04,149
2019-04-05,63
2019-04-06,235
2019-04-07,284
2019-04-08,240
2019-04-09,220
2019-04-10,17
2019-04-11,213
2019-04-12,234
2019-04-13,200
2019-04-14,0
2019-04-15,0
2019-04-16,0
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,0
2019-04-21,535
2019-04-22,361
2019-04-23,369
2019-04-24,238
2019-04-25,136
2019-04-26,120
