date,CryptoPunks
2017-06-23,224
2017-06-24,100
2017-06-25,108
2017-06-26,160
2017-06-27,345
2017-06-28,210
2017-06-29,245
2017-06-30,76
2017-07-01,128
2017-07-02,216
2017-07-03,220
2017-07-04,75
2017-07-05,172
2017-07-06,207
2017-07-07,99
2017-07-08,232
2017-07-09,249
2017-07-10,274
2017-07-11,203
2017-07-12,136
2017-07-13,62
2017-07-14,132
2017-07-15,99
2017-07-16,325
2017-07-17,113
2017-07-18,214
2017-07-19,128
2017-07-20,332
2017-07-21,218
2017-07-22,374
2017-07-23,264
2017-07-24,147
2017-07-25,272
2017-07-26,293
2017-07-27,136
2017-07-28,0
2017-08-04,93
2017-08-05,149
2017-08-06,98
2017-08-07,92
2017-08-08,189
2017-08-09,279
2017-08-10,82
2017-08-11,428
2017-08-12,242
2017-08-13,357
2017-08-14,105
2017-08-15,239
2017-08-16,104
2017-08-17,439
2017-08-18,163
2017-08-19,0
2017-08-20,0
2017-08-21,0
2017-08-22,0
2017-08-23,0
2017-08-24,0
2017-08-25,172
2017-08-26,20
2017-08-27,342
2017-08-28,170
2017-08-29,215
2017-08-30,252
2017-08-31,278
2017-09-01,35
2017-09-02,208
2017-09-03,403
2017-09-04,156
2017-09-05,0
2017-09-06,0
2017-09-07,0
2017-09-08,69
2017-09-09,183
2017-09-10,175
2017-09-11,322
2017-09-12,99
2017-09-13,145
2017-09-14,194
2017-09-15,148
2017-09-16,0
2017-09-17,150
2017-09-18,19
2017-09-19,172
2017-09-20,117
2017-09-21,153
2017-09-22,67
2017-09-23,295
2017-09-24,190
2017-09-25,157
2017-09-26,232
2017-09-27,0
2017-09-28,97
2017-09-29,375
2017-09-30,137
2017-10-01,316
2017-10-02,74
2017-10-03,157
2017-10-04,181
2017-10-05,144
2017-10-06,192
2017-10-07,141
2017-10-08,192
2017-10-09,85
2017-10-10,100
2017-10-11,84
2017-10-12,264
2017-10-13,170
2017-10-14,264
2017-10-15,210
2017-10-16,90
2017-10-17,145
2017-10-18,150
2017-10-19,212
2017-10-20,235
2017-10-21,284
2017-10-22,97
2017-10-23,101
2017-10-24,184
2017-10-25,152
2017-10-26,90
2017-10-27,236
2017-10-28,183
2017-10-29,173
2017-10-30,110
2017-10-31,240
2017-11-01,260
2017-11-02,162
2017-11-03,268
2017-11-04,122
2017-11-05,344
2017-11-06,83
2017-11-07,323
2017-11-08,214
2017-11-09,259
2017-11-10,44
2017-11-11,509
2017-11-12,222
2017-11-13,289
2017-11-14,119
2017-11-15,277
2017-11-16,102
2017-11-17,18
2017-11-18,258
2017-11-19,40
2017-11-20,183
2017-11-21,274
2017-11-22,177
2017-11-23,138
2017-11-24,376
2017-11-25,202
2017-11-26,210
2017-11-27,88
2017-11-28,115
2017-11-29,206
2017-11-30,117
2017-12-01,181
2017-12-02,139
2017-12-03,267
2017-12-04,35
2017-12-05,342
2017-12-06,170
2017-12-07,204
2017-12-08,166
2017-12-09,229
2017-12-10,111
2017-12-11,141
2017-12-12,122
2017-12-13,93
2017-12-14,74
2017-12-15,98
2017-12-16,170
2017-12-17,166
2017-12-18,52
2017-12-19,113
2017-12-20,147
2017-12-21,181
2017-12-22,86
2017-12-23,233
2017-12-24,330
2017-12-25,245
2017-12-26,126
2017-12-27,111
2017-12-28,224
2017-12-29,226
2017-12-30,69
2017-12-31,163
2018-01-01,224
2018-01-02,150
2018-01-03,68
2018-01-04,61
2018-01-05,162
2018-01-06,240
2018-01-07,300
2018-01-08,89
2018-01-09,119
2018-01-10,146
2018-01-11,149
2018-01-12,158
2018-01-13,168
2018-01-14,122
2018-01-15,26
2018-01-16,111
2018-01-17,178
2018-01-18,153
2018-01-19,294
2018-01-20,187
2018-01-21,418
2018-01-22,263
2018-01-23,333
2018-01-24,81
2018-01-25,91
2018-01-26,179
2018-01-27,320
2018-01-28,20
2018-01-29,30
2018-01-30,138
2018-01-31,160
2018-02-01,314
2018-02-02,371
2018-02-03,332
2018-02-04,311
2018-02-05,281
2018-02-06,201
2018-02-07,354
2018-02-08,102
2018-02-09,56
2018-02-10,165
2018-02-11,46
2018-02-12,11
2018-02-13,69
2018-02-14,182
2018-02-15,96
2018-02-16,157
2018-02-17,155
2018-02-18,94
2018-02-19,110
2018-02-20,122
2018-02-21,274
2018-02-22,394
2018-02-23,76
2018-02-24,157
2018-02-25,123
2018-02-26,173
2018-02-27,94
2018-02-28,117
2018-03-01,197
2018-03-02,264
2018-03-03,110
2018-03-04,30
2018-03-05,0
2018-03-06,235
2018-03-07,324
2018-03-08,64
2018-03-09,621
2018-03-10,0
2018-03-11,91
2018-03-12,365
2018-03-13,65
2018-03-14,310
2018-03-15,357
2018-03-16,109
2018-03-17,354
2018-03-18,236
2018-03-19,62
2018-03-20,137
2018-03-21,56
2018-03-22,275
2018-03-23,170
2018-03-24,330
2018-03-25,109
2018-03-26,107
2018-03-27,194
2018-03-28,226
2018-03-29,328
2018-03-30,123
2018-03-31,132
2018-04-01,125
2018-04-02,193
2018-04-03,84
2018-04-04,219
2018-04-05,29
2018-04-06,258
2018-04-07,394
2018-04-08,90
2018-04-09,48
2018-04-10,0
2018-04-11,0
2018-04-12,0
2018-04-13,0
2018-04-14,0
2018-04-15,0
2018-04-16,84
2018-04-17,235
2018-04-18,102
2018-04-19,369
2018-04-20,624
2018-04-21,271
2018-04-22,132
2018-04-23,191
2018-04-24,144
2018-04-25,105
2018-04-26,268
2018-04-27,154
2018-04-28,211
2018-04-29,66
2018-04-30,133
2018-05-01,176
2018-05-02,126
2018-05-03,118
2018-05-04,0
2018-05-05,0
2018-05-06,0
2018-05-07,59
2018-05-08,245
2018-05-09,190
2018-05-10,262
2018-05-11,292
2018-05-12,144
2018-05-13,206
2018-05-14,187
2018-05-15,156
2018-05-16,128
2018-05-17,60
2018-05-18,150
2018-05-19,151
2018-05-20,195
2018-05-21,184
2018-05-22,255
2018-05-23,127
2018-05-24,61
2018-05-25,160
2018-05-26,153
2018-05-27,157
2018-05-28,212
2018-05-29,139
2018-05-30,233
2018-05-31,279
2018-06-01,165
2018-06-02,323
2018-06-03,205
2018-06-04,194
2018-06-05,144
2018-06-06,169
2018-06-07,109
2018-06-08,95
2018-06-09,231
2018-06-10,64
2018-06-11,120
2018-06-12,50
2018-06-13,137
2018-06-14,194
2018-06-15,30
2018-06-16,310
2018-06-17,252
2018-06-18,129
2018-06-19,126
2018-06-20,53
2018-06-21,64
2018-06-22,48
2018-06-23,308
2018-06-24,229
2018-06-25,56
2018-06-26,64
2018-06-27,69
2018-06-28,256
2018-06-29,174
2018-06-30,37
2018-07-01,187
2018-07-02,80
2018-07-03,107
2018-07-04,114
2018-07-05,67
2018-07-06,0
2018-07-07,312
2018-07-08,216
2018-07-09,51
2018-07-10,247
2018-07-11,211
2018-07-12,105
2018-07-13,263
2018-07-14,233
2018-07-15,322
2018-07-16,44
2018-07-17,114
2018-07-18,170
2018-07-19,320
2018-07-20,186
2018-07-21,28
2018-07-22,204
2018-07-23,72
2018-07-24,203
2018-07-25,157
2018-07-26,224
2018-07-27,0
2018-08-03,343
2018-08-04,199
2018-08-05,114
2018-08-06,230
2018-08-07,370
2018-08-08,100
2018-08-09,281
2018-08-10,183
2018-08-11,197
2018-08-12,292
2018-08-13,287
2018-08-14,67
2018-08-15,171
2018-08-16,129
2018-08-17,119
2018-08-18,234
2018-08-19,147
2018-08-20,84
2018-08-21,0
2018-08-22,101
2018-08-23,248
2018-08-24,379
2018-08-25,170
2018-08-26,168
2018-08-27,252
2018-08-28,167
2018-08-29,225
2018-08-30,171
2018-08-31,0
2018-09-07,0
2018-09-08,0
2018-09-09,0
2018-09-10,18
2018-09-11,151
2018-09-12,309
2018-09-13,153
2018-09-14,0
2018-09-21,245
2018-09-22,247
2018-09-23,99
2018-09-24,71
2018-09-25,80
2018-09-26,292
2018-09-27,156
2018-09-28,36
2018-09-29,175
2018-09-30,22
2018-10-01,131
2018-10-02,225
2018-10-03,77
2018-10-04,208
2018-10-05,287
2018-10-06,320
2018-10-07,202
2018-10-08,131
2018-10-09,366
2018-10-10,121
2018-10-11,175
2018-10-12,0
2018-10-19,292
2018-10-20,249
2018-10-21,329
2018-10-22,118
2018-10-23,212
2018-10-24,95
2018-10-25,247
2018-10-26,260
2018-10-27,144
2018-10-28,83
2018-10-29,85
2018-10-30,84
2018-10-31,64
2018-11-01,55
2018-11-02,314
2018-11-03,257
2018-11-04,205
2018-11-05,439
2018-11-06,100
2018-11-07,203
2018-11-08,232
2018-11-09,0
2018-11-10,0
2018-11-11,0
2018-11-12,0
2018-11-13,47
2018-11-14,109
2018-11-15,202
2018-11-16,43
2018-11-17,153
2018-11-18,485
2018-11-19,54
2018-11-20,0
2018-11-21,0
2018-11-22,0
2018-11-23,162
2018-11-24,57
2018-11-25,195
2018-11-26,320
2018-11-27,113
2018-11-28,114
2018-11-29,102
2018-11-30,0
2018-12-01,0
2018-12-02,0
2018-12-03,0
2018-12-04,393
2018-12-05,249
2018-12-06,202
2018-12-07,68
2018-12-08,116
2018-12-09,166
2018-12-10,145
2018-12-11,0
2018-12-12,0
2018-12-13,0
2018-12-14,171
2018-12-15,205
2018-12-16,337
2018-12-17,390
2018-12-18,128
2018-12-19,206
2018-12-20,241
2018-12-21,340
2018-12-22,316
2018-12-23,285
2018-12-24,167
2018-12-25,0
2018-12-26,0
2018-12-27,0
2018-12-28,195
2018-12-29,46
2018-12-30,234
2018-12-31,19
2019-01-01,406
2019-01-02,333
2019-01-03,161
2019-01-04,298
2019-01-05,138
2019-01-06,155
2019-01-07,298
2019-01-08,148
2019-01-09,136
2019-01-10,108
2019-01-11,141
2019-01-12,0
2019-01-13,0
2019-01-14,60
2019-01-15,171
2019-01-16,186
2019-01-17,168
2019-01-18,127
2019-01-19,61
2019-01-20,227
2019-01-21,240
2019-01-22,81
2019-01-23,324
2019-01-24,224
2019-01-25,180
2019-01-26,97
2019-01-27,134
2019-01-28,67
2019-01-29,89
2019-01-30,66
2019-01-31,81
2019-02-01,158
2019-02-02,172
2019-02-03,180
2019-02-04,133
2019-02-05,169
2019-02-06,125
2019-02-07,329
2019-02-08,52
2019-02-09,316
2019-02-10,111
2019-02-11,0
2019-02-12,240
2019-02-13,28
2019-02-14,242
2019-02-15,33
2019-02-16,209
2019-02-17,174
2019-02-18,66
2019-02-19,119
2019-02-20,219
2019-02-21,180
2019-02-22,164
2019-02-23,196
2019-02-24,268
2019-02-25,83
2019-02-26,55
2019-02-27,142
2019-02-28,207
2019-03-01,68
2019-03-02,0
2019-03-03,126
2019-03-04,148
2019-03-05,218
2019-03-06,81
2019-03-07,91
2019-03-08,217
2019-03-09,231
2019-03-10,203
2019-03-11,196
2019-03-12,371
2019-03-13,264
2019-03-14,145
2019-03-15,59
2019-03-16,372
2019-03-17,42
2019-03-18,87
2019-03-19,105
2019-03-20,57
2019-03-21,172
2019-03-22,169
2019-03-23,167
2019-03-24,290
2019-03-25,251
2019-03-26,94
2019-03-27,90
2019-03-28,282
2019-03-29,116
2019-03-30,226
2019-03-31,16
2019-04-01,338
2019-04-02,146
2019-04-03,118
2019-04-04,96
2019-04-05,128
2019-04-06,0
2019-04-07,0
2019-04-08,0
2019-04-09,0
2019-04-10,0
2019-04-11,0
2019-04-12,132
2019-04-13,109
2019-04-14,162
2019-04-15,140
2019-04-16,336
2019-04-17,144
2019-04-18,172
2019-04-19,51
2019-04-20,193
2019-04-21,240
2019-04-22,38
2019-04-23,120
2019-04-24,137
2019-04-25,169
2019-04-26,22
2019-04-27,123
2019-04-28,148
2019-04-29,257
2019-04-30,306
2019-05-01,95
2019-05-02,137
2019-05-03,0
2019-05-04,0
2019-05-05,0
2019-05-06,136
2019-05-07,266
2019-05-08,56
2019-05-09,400
2019-05-10,463
2019-05-11,281
2019-05-12,126
2019-05-13,114
2019-05-14,203
2019-05-15,55
2019-05-16,207
2019-05-17,203
2019-05-18,89
2019-05-19,104
2019-05-20,208
2019-05-21,76
2019-05-22,93
2019-05-23,42
2019-05-24,264
2019-05-25,368
2019-05-26,211
2019-05-27,177
2019-05-28,0
2019-05-29,0
2019-05-30,0
2019-05-31,109
2019-06-01,152
2019-06-02,188
2019-06-03,98
2019-06-04,229
2019-06-05,93
2019-06-06,199
2019-06-07,140
2019-06-08,69
2019-06-09,295
2019-06-10,147
2019-06-11,159
2019-06-12,257
2019-06-13,102
2019-06-14,256
2019-06-15,59
2019-06-16,190
2019-06-17,51
2019-06-18,123
2019-06-19,210
2019-06-20,167
2019-06-21,318
2019-06-22,119
2019-06-23,110
2019-06-24,109
2019-06-25,11
2019-06-26,92
2019-06-27,125
2019-06-28,20
2019-06-29,535
2019-06-30,280
2019-07-01,192
2019-07-02,141
2019-07-03,37
2019-07-04,209
2019-07-05,220
2019-07-06,139
2019-07-07,234
2019-07-08,86
2019-07-09,56
2019-07-10,71
2019-07-11,73
2019-07-12,66
2019-07-13,104
2019-07-14,91
2019-07-15,117
2019-07-16,299
2019-07-17,81
2019-07-18,170
2019-07-19,0
2019-07-20,0
2019-07-21,0
2019-07-22,34
2019-07-23,139
2019-07-24,136
2019-07-25,233
2019-07-26,173
2019-07-27,239
2019-07-28,243
2019-07-29,149
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,110
2019-08-03,82
2019-08-04,241
2019-08-05,416
2019-08-06,250
2019-08-07,190
2019-08-08,197
2019-08-09,394
2019-08-10,412
2019-08-11,58
2019-08-12,189
2019-08-13,206
2019-08-14,160
2019-08-15,188
2019-08-16,0
2019-08-17,0
2019-08-18,0
2019-08-19,43
2019-08-20,125
2019-08-21,46
2019-08-22,120
2019-08-23,120
2019-08-24,156
2019-08-25,170
2019-08-26,116
2019-08-27,221
2019-08-28,56
2019-08-29,33
2019-08-30,191
2019-08-31,169
2019-09-01,239
2019-09-02,32
2019-09-03,0
2019-09-04,0
2019-09-05,0
2019-09-06,84
2019-09-07,121
2019-09-08,126
2019-09-09,168
2019-09-10,112
2019-09-11,206
2019-09-12,127
2019-09-13,21
2019-09-14,64
2019-09-15,223
2019-09-16,116
2019-09-17,40
2019-09-18,62
2019-09-19,41
2019-09-20,250
2019-09-21,342
2019-09-22,191
2019-09-23,110
2019-09-24,155
2019-09-25,226
2019-09-26,272
2019-09-27,128
2019-09-28,213
2019-09-29,238
2019-09-30,104
2019-10-01,0
2019-10-02,0
2019-10-03,0
2019-10-04,279
2019-10-05,145
2019-10-06,0
2019-10-07,184
2019-10-08,0
2019-10-09,118
2019-10-10,50
2019-10-11,133
2019-10-12,157
2019-10-13,240
2019-10-14,183
2019-10-15,279
2019-10-16,126
2019-10-17,21
2019-10-18,292
2019-10-19,220
2019-10-20,317
2019-10-21,193
2019-10-22,130
2019-10-23,135
2019-10-24,74
2019-10-25,275
2019-10-26,237
2019-10-27,263
2019-10-28,232
2019-10-29,378
2019-10-30,201
2019-10-31,229
2019-11-01,0
2019-11-08,136
2019-11-09,163
2019-11-10,111
2019-11-11,235
2019-11-12,178
2019-11-13,191
2019-11-14,174
2019-11-15,0
2019-11-22,67
2019-11-23,351
2019-11-24,187
2019-11-25,268
2019-11-26,258
2019-11-27,169
2019-11-28,114
2019-11-29,55
2019-11-30,85
2019-12-01,163
2019-12-02,97
2019-12-03,206
2019-12-04,101
2019-12-05,141
2019-12-06,331
2019-12-07,250
2019-12-08,185
2019-12-09,329
2019-12-10,142
2019-12-11,150
2019-12-12,272
2019-12-13,375
2019-12-14,219
2019-12-15,178
