date,Decentraland LAND
2018-12-14,0
2018-12-15,0
2018-12-16,0
2018-12-17,0
2018-12-18,0
2018-12-19,116
2018-12-20,328
2018-12-21,0
2019-01-04,392
2019-01-05,191
2019-01-06,0
2019-01-07,0
2019-01-08,0
2019-01-09,81
2019-01-10,175
2019-01-11,121
2019-01-12,211
2019-01-13,260
2019-01-14,189
2019-01-15,152
2019-01-16,231
2019-01-17,175
2019-01-18,145
2019-01-19,241
2019-01-20,79
2019-01-21,116
2019-01-22,125
2019-01-23,47
2019-01-24,157
2019-01-25,143
2019-01-26,216
2019-01-27,174
2019-01-28,61
2019-01-29,72
2019-01-30,52
2019-01-31,254
2019-02-01,176
2019-02-02,230
2019-02-03,208
2019-02-04,98
2019-02-05,102
2019-02-06,36
2019-02-07,0
2019-02-08,0
2019-02-09,0
2019-02-10,166
2019-02-11,452
2019-02-12,223
2019-02-13,308
2019-02-14,252
2019-02-15,201
2019-02-16,242
2019-02-17,214
2019-02-18,211
2019-02-19,74
2019-02-20,156
2019-02-21,125
2019-02-22,346
2019-02-23,76
2019-02-24,123
2019-02-25,336
2019-02-26,315
2019-02-27,34
2019-02-28,0
2019-03-01,0
2019-03-02,0
2019-03-03,53
2019-03-04,173
2019-03-05,301
2019-03-06,203
2019-03-07,277
2019-03-08,105
2019-03-09,0
2019-03-10,0
2019-03-11,0
2019-03-12,0
2019-03-13,0
2019-03-14,297
2019-03-15,315
2019-03-16,99
2019-03-17,72
2019-03-18,74
2019-03-19,171
2019-03-20,232
2019-03-21,115
2019-03-22,120
2019-03-23,176
2019-03-24,71
2019-03-25,160
2019-03-26,171
2019-03-27,99
2019-03-28,191
2019-03-29,225
2019-03-30,121
2019-03-31,188
2019-04-01,108
2019-04-02,196
2019-04-03,80
2019-04-04,158
2019-04-05,233
2019-04-06,173
2019-04-07,149
2019-04-08,192
2019-04-09,61
2019-04-10,269
2019-04-11,32
2019-04-12,343
2019-04-13,129
2019-04-14,0
2019-04-15,0
2019-04-16,0
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,0
2019-04-21,235
2019-04-22,194
2019-04-23,333
2019-04-24,186
2019-04-25,28
2019-04-26,182
2019-04-27,134
2019-04-28,261
2019-04-29,309
2019-04-30,294
2019-05-01,70
2019-05-02,0
2019-05-03,0
2019-05-04,0
2019-05-05,0
2019-05-06,100
2019-05-07,0
2019-05-08,0
2019-05-09,0
2019-05-10,0
2019-05-17,0
2019-05-18,0
2019-05-19,342
2019-05-20,82
2019-05-21,308
2019-05-22,249
2019-05-23,280
2019-05-24,124
2019-05-25,333
2019-05-26,308
2019-05-27,177
2019-05-28,146
2019-05-29,216
2019-05-30,239
2019-05-31,203
2019-06-01,188
2019-06-02,118
2019-06-03,60
2019-06-04,147
2019-06-05,424
2019-06-06,105
2019-06-07,197
2019-06-08,216
2019-06-09,213
