date,Doodles
2021-10-17,1028
2021-10-18,969
2021-10-19,796
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,832
2021-10-28,954
2021-10-29,1049
2021-10-30,910
2021-10-31,1120
2021-11-01,1016
2021-11-02,981
2021-11-03,0
2021-11-04,0
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,0
2021-11-10,718
2021-11-11,894
2021-11-12,1124
2021-11-13,373
2021-11-14,0
2021-11-15,0
2021-11-16,0
2021-11-17,566
2021-11-18,828
2021-11-19,725
2021-11-20,750
2021-11-21,987
2021-11-22,1120
2021-11-23,979
2021-11-24,0
2021-11-25,0
2021-11-26,0
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,592
2021-12-02,830
2021-12-03,729
2021-12-04,673
2021-12-05,884
2021-12-06,1155
2021-12-07,1342
2021-12-08,0
2021-12-09,0
2021-12-10,0
2021-12-11,0
2021-12-12,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,591
2021-12-23,963
2021-12-24,811
2021-12-25,876
2021-12-26,766
2021-12-27,782
2021-12-28,701
2021-12-29,785
2021-12-30,580
2021-12-31,834
2022-01-01,816
2022-01-02,815
2022-01-03,834
2022-01-04,667
2022-01-05,952
2022-01-06,884
2022-01-07,926
2022-01-08,856
2022-01-09,856
2022-01-10,784
2022-01-11,760
2022-01-12,673
2022-01-13,612
2022-01-14,744
2022-01-15,736
2022-01-16,960
2022-01-17,717
2022-01-18,817
2022-01-19,793
2022-01-20,987
2022-01-21,38
2022-01-22,0
2022-01-23,0
2022-01-30,0
2022-01-31,426
2022-02-01,937
2022-02-02,918
2022-02-03,742
2022-02-04,995
2022-02-05,855
2022-02-06,990
2022-02-07,968
2022-02-08,883
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,0
2022-02-15,0
2022-02-16,936
2022-02-17,925
2022-02-18,1088
2022-02-19,898
2022-02-20,1104
2022-02-21,991
2022-02-22,745
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-02-26,0
2022-02-27,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,647
2022-04-28,957
2022-04-29,1165
2022-04-30,412
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,902
2022-05-05,1043
2022-05-06,1097
2022-05-07,951
2022-05-08,1011
2022-05-09,1058
2022-05-10,950
2022-05-11,100
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,928
2022-05-21,785
2022-05-22,100
2022-05-23,0
2022-05-24,0
2022-05-25,1046
2022-05-26,1068
2022-05-27,1004
2022-05-28,390
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,844
2022-06-02,848
2022-06-03,806
2022-06-04,891
2022-06-05,984
2022-06-06,988
2022-06-07,786
2022-06-08,912
2022-06-09,949
2022-06-10,806
2022-06-11,791
2022-06-12,1095
2022-06-13,906
2022-06-14,1001
2022-06-15,1010
2022-06-16,995
2022-06-17,999
2022-06-18,901
2022-06-19,972
2022-06-20,342
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,858
2022-06-25,925
2022-06-26,1102
2022-06-27,343
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,834
2022-07-02,682
2022-07-03,1008
2022-07-04,341
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,873
2022-07-09,895
2022-07-10,849
2022-07-11,869
2022-07-12,844
2022-07-13,838
2022-07-14,685
2022-07-15,52
2022-07-16,0
2022-07-17,0
2022-07-18,560
2022-07-19,583
2022-07-20,820
2022-07-21,685
2022-07-22,762
2022-07-23,423
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,846
2022-07-28,1034
2022-07-29,993
2022-07-30,1019
2022-07-31,925
2022-08-01,336
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,739
2022-08-08,858
2022-08-09,913
2022-08-10,894
2022-08-11,867
2022-08-12,914
2022-08-13,851
2022-08-14,0
2022-08-21,693
2022-08-22,822
2022-08-23,929
2022-08-24,857
2022-08-25,830
2022-08-26,1107
2022-08-27,856
2022-08-28,154
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-04,0
2022-09-18,932
2022-09-19,942
2022-09-20,987
2022-09-21,1124
2022-09-22,1125
2022-09-23,1000
2022-09-24,866
2022-09-25,0
2022-10-30,703
2022-10-31,1123
2022-11-01,1381
2022-11-02,1220
2022-11-03,958
2022-11-04,1075
2022-11-05,43
