date,ENS
2020-02-06,962
2020-02-07,871
2020-02-08,653
2020-02-09,733
2020-02-10,921
2020-02-11,639
2020-02-12,950
2020-02-13,806
2020-02-14,715
2020-02-15,436
2020-02-16,500
2020-02-17,669
2020-02-18,843
2020-02-19,622
2020-02-20,778
2020-02-21,752
2020-02-22,598
2020-02-23,827
2020-02-24,741
2020-02-25,985
2020-02-26,876
2020-02-27,692
2020-02-28,849
2020-02-29,604
2020-03-01,589
2020-03-02,781
2020-03-03,684
2020-03-04,733
2020-03-05,983
2020-03-06,667
2020-03-07,713
2020-03-08,857
2020-03-09,578
2020-03-10,992
2020-03-11,894
2020-03-12,874
2020-03-13,974
2020-03-14,807
2020-03-15,628
2020-03-16,692
2020-03-17,733
2020-03-18,804
2020-03-19,558
2020-03-20,798
2020-03-21,547
2020-03-22,541
2020-03-23,749
2020-03-24,815
2020-03-25,721
2020-03-26,601
2020-03-27,517
2020-03-28,318
2020-03-29,482
2020-03-30,603
2020-03-31,524
2020-04-01,688
2020-04-02,1090
2020-04-03,871
2020-04-04,1054
2020-04-05,825
2020-04-06,1156
2020-04-07,984
2020-04-08,844
2020-04-09,1055
2020-04-10,950
2020-04-11,989
2020-04-12,883
2020-04-13,904
2020-04-14,1068
2020-04-15,1207
2020-04-16,1104
2020-04-17,985
2020-04-18,859
2020-04-19,705
2020-04-20,809
2020-04-21,965
2020-04-22,845
2020-04-23,1046
2020-04-24,899
2020-04-25,946
2020-04-26,435
2020-04-27,0
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,0
2020-05-02,0
2020-05-03,270
2020-05-04,726
2020-05-05,683
2020-05-06,725
2020-05-07,710
2020-05-08,610
2020-05-09,525
2020-05-10,575
2020-05-11,644
2020-05-12,801
2020-05-13,728
2020-05-14,118
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,891
2020-05-22,815
2020-05-23,680
2020-05-24,373
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,647
2020-05-29,633
2020-05-30,569
2020-05-31,473
2020-06-01,611
2020-06-02,885
2020-06-03,581
2020-06-04,1020
2020-06-05,994
2020-06-06,743
2020-06-07,286
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,646
2020-06-12,879
2020-06-13,567
2020-06-14,576
2020-06-15,739
2020-06-16,691
2020-06-17,710
2020-06-18,1019
2020-06-19,908
2020-06-20,769
2020-06-21,688
2020-06-22,1042
2020-06-23,855
2020-06-24,1036
2020-06-25,1094
2020-06-26,996
2020-06-27,619
2020-06-28,795
2020-06-29,828
2020-06-30,920
2020-07-01,850
2020-07-02,1048
2020-07-03,823
2020-07-04,945
2020-07-05,700
2020-07-06,918
2020-07-07,1016
2020-07-08,1015
2020-07-09,679
2020-07-10,593
2020-07-11,497
2020-07-12,615
2020-07-13,633
2020-07-14,587
2020-07-15,711
2020-07-16,911
2020-07-17,913
2020-07-18,641
2020-07-19,787
2020-07-20,832
2020-07-21,767
2020-07-22,821
2020-07-23,937
2020-07-24,901
2020-07-25,806
2020-07-26,760
2020-07-27,1001
2020-07-28,812
2020-07-29,915
2020-07-30,1342
2020-07-31,1209
2020-08-01,1037
2020-08-02,448
2020-08-03,0
2020-08-04,0
2020-08-05,0
2020-08-06,822
2020-08-07,701
2020-08-08,537
2020-08-09,723
2020-08-10,793
2020-08-11,935
2020-08-12,986
2020-08-13,0
2020-08-20,774
2020-08-21,709
2020-08-22,613
2020-08-23,618
2020-08-24,889
2020-08-25,638
2020-08-26,760
2020-08-27,973
2020-08-28,933
2020-08-29,724
2020-08-30,779
2020-08-31,1018
2020-09-01,1325
2020-09-02,1087
2020-09-03,866
2020-09-04,727
2020-09-05,597
2020-09-06,693
2020-09-07,911
2020-09-08,839
2020-09-09,816
2020-09-10,817
2020-09-11,755
2020-09-12,610
2020-09-13,721
2020-09-14,724
