date,KnownOrigin
2018-11-10,204
2018-11-11,256
2018-11-12,200
2018-11-13,121
2018-11-14,154
2018-11-15,84
2018-11-16,250
2018-11-17,163
2018-11-18,63
2018-11-19,176
2018-11-20,32
2018-11-21,331
2018-11-22,43
2018-11-23,44
2018-11-24,364
2018-11-25,185
2018-11-26,137
2018-11-27,0
2018-11-28,0
2018-11-29,0
2018-11-30,0
2018-12-01,394
2018-12-02,170
2018-12-03,336
2018-12-04,44
2018-12-05,0
2018-12-06,0
2018-12-07,0
2018-12-08,240
2018-12-09,0
2018-12-10,0
2018-12-11,0
2018-12-12,0
2018-12-13,0
2018-12-14,0
2018-12-15,0
2018-12-22,100
2018-12-23,227
2018-12-24,162
2018-12-25,129
2018-12-26,0
2018-12-27,0
2018-12-28,100
2018-12-29,257
2018-12-30,188
2018-12-31,331
2019-01-01,242
2019-01-02,283
2019-01-03,105
2019-01-04,203
2019-01-05,291
2019-01-06,0
2019-01-07,0
2019-01-08,0
2019-01-09,79
2019-01-10,174
2019-01-11,138
2019-01-12,255
2019-01-13,299
2019-01-14,98
2019-01-15,145
2019-01-16,153
2019-01-17,231
2019-01-18,167
2019-01-19,163
2019-01-20,92
2019-01-21,174
2019-01-22,102
2019-01-23,101
2019-01-24,175
2019-01-25,188
2019-01-26,174
2019-01-27,200
2019-01-28,236
2019-01-29,159
2019-01-30,123
2019-01-31,97
2019-02-01,207
2019-02-02,74
2019-02-03,134
2019-02-04,155
2019-02-05,231
2019-02-06,74
2019-02-07,0
2019-02-08,0
2019-02-09,0
2019-02-10,215
2019-02-11,327
2019-02-12,293
2019-02-13,164
2019-02-14,282
2019-02-15,97
2019-02-16,174
2019-02-17,469
2019-02-18,188
2019-02-19,270
2019-02-20,201
2019-02-21,287
2019-02-22,21
2019-02-23,274
2019-02-24,311
2019-02-25,151
2019-02-26,374
2019-02-27,166
2019-02-28,0
2019-03-01,0
2019-03-02,0
2019-03-03,263
2019-03-04,243
2019-03-05,295
2019-03-06,243
2019-03-07,194
2019-03-08,182
2019-03-09,138
2019-03-10,0
2019-03-11,0
2019-03-12,0
2019-03-13,52
2019-03-14,260
2019-03-15,108
2019-03-16,450
2019-03-17,243
2019-03-18,140
2019-03-19,196
2019-03-20,245
2019-03-21,134
2019-03-22,153
2019-03-23,54
2019-03-24,49
2019-03-25,43
2019-03-26,70
2019-03-27,148
2019-03-28,160
2019-03-29,179
2019-03-30,296
2019-03-31,73
2019-04-01,255
2019-04-02,207
2019-04-03,148
2019-04-04,261
2019-04-05,382
2019-04-06,45
2019-04-07,245
2019-04-08,41
2019-04-09,197
2019-04-10,366
2019-04-11,293
2019-04-12,282
2019-04-13,276
2019-04-14,0
2019-04-15,0
2019-04-16,0
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,0
2019-04-21,191
2019-04-22,227
2019-04-23,65
2019-04-24,110
2019-04-25,61
2019-04-26,152
2019-04-27,411
2019-04-28,331
2019-04-29,293
2019-04-30,100
2019-05-01,66
2019-05-02,0
2019-05-03,0
2019-05-04,0
2019-05-18,0
2019-05-19,153
2019-05-20,134
2019-05-21,100
2019-05-22,52
2019-05-23,299
2019-05-24,285
2019-05-25,103
2019-05-26,100
2019-05-27,146
2019-05-28,99
2019-05-29,235
2019-05-30,51
2019-05-31,337
2019-06-01,172
2019-06-02,81
2019-06-03,94
2019-06-04,209
2019-06-05,96
2019-06-06,98
2019-06-07,123
2019-06-08,269
2019-06-09,151
2019-06-10,193
2019-06-11,166
2019-06-12,186
2019-06-13,123
2019-06-14,132
2019-06-15,155
2019-06-16,68
2019-06-17,271
2019-06-18,222
2019-06-19,34
2019-06-20,0
2019-06-21,0
2019-06-22,0
2019-06-23,236
2019-06-24,237
2019-06-25,219
2019-06-26,129
