date,Moonbirds
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,291
2022-04-28,170
2022-04-29,317
2022-04-30,139
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,238
2022-05-05,308
2022-05-06,513
2022-05-07,186
2022-05-08,154
2022-05-09,196
2022-05-10,309
2022-05-11,0
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,237
2022-05-21,82
2022-05-22,86
2022-05-23,0
2022-05-24,0
2022-05-25,277
2022-05-26,213
2022-05-27,76
2022-05-28,69
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,128
2022-06-02,323
2022-06-03,316
2022-06-04,505
2022-06-05,132
2022-06-06,81
2022-06-07,110
2022-06-08,153
2022-06-09,175
2022-06-10,133
2022-06-11,246
2022-06-12,252
2022-06-13,143
2022-06-14,177
2022-06-15,127
2022-06-16,328
2022-06-17,52
2022-06-18,119
2022-06-19,292
2022-06-20,264
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,144
2022-06-25,222
2022-06-26,254
2022-06-27,108
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,389
2022-07-02,255
2022-07-03,131
2022-07-04,236
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,170
2022-07-09,453
2022-07-10,314
2022-07-11,221
2022-07-12,406
2022-07-13,211
2022-07-14,325
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,53
2022-07-19,162
2022-07-20,178
2022-07-21,92
2022-07-22,224
2022-07-23,39
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,238
2022-07-28,266
2022-07-29,295
2022-07-30,251
2022-07-31,214
2022-08-01,137
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,178
2022-08-08,243
2022-08-09,88
2022-08-10,82
2022-08-11,107
2022-08-12,53
2022-08-13,356
2022-08-14,0
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-20,0
2022-08-21,177
2022-08-22,165
2022-08-23,355
2022-08-24,85
2022-08-25,221
2022-08-26,155
2022-08-27,100
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-17,0
2022-09-18,185
2022-09-19,165
2022-09-20,83
2022-09-21,222
2022-09-22,197
2022-09-23,118
2022-09-24,196
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-01,0
2022-10-29,0
2022-10-30,405
2022-10-31,427
2022-11-01,233
2022-11-02,255
2022-11-03,269
2022-11-04,378
2022-11-05,0
