date,Mutant Ape Yacht Club
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,107
2017-07-18,100
2017-07-19,151
2017-07-20,74
2017-07-21,228
2017-07-22,147
2017-07-23,119
2017-07-24,53
2017-07-25,346
2017-07-26,124
2017-07-27,179
2017-07-28,177
2017-07-29,263
2017-07-30,113
2017-07-31,180
2017-08-01,220
2017-08-02,169
2017-08-03,118
2017-08-04,204
2017-08-05,245
2017-08-06,157
2017-08-07,117
2017-08-08,136
2017-08-09,120
2017-08-10,0
2017-08-11,204
2017-08-12,121
2017-08-13,169
2017-08-14,64
2017-08-15,173
2017-08-16,186
2017-08-17,274
2017-08-18,86
2017-08-19,194
2017-08-20,225
2017-08-21,39
2017-08-22,59
2017-08-23,282
2017-08-24,92
2017-08-25,388
2017-08-26,417
2017-08-27,170
2017-08-28,338
2017-08-29,169
2017-08-30,153
2017-08-31,96
2017-09-01,315
2017-09-02,208
2017-09-03,140
2017-09-04,203
2017-09-05,230
2017-09-06,207
2017-09-07,125
2017-09-08,172
2017-09-09,131
2017-09-10,107
2017-09-11,311
2017-09-12,87
2017-09-13,79
2017-09-14,111
2017-09-15,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,64
2017-10-17,43
2017-10-18,239
2017-10-19,78
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,99
2017-10-25,187
2017-10-26,169
2017-10-27,324
2017-10-28,158
2017-10-29,239
2017-10-30,98
2017-10-31,148
2017-11-01,130
2017-11-02,84
2017-11-03,50
2017-11-04,101
2017-11-05,186
2017-11-06,81
2017-11-07,168
2017-11-08,34
2017-11-09,146
2017-11-10,200
2017-11-11,263
2017-11-12,361
2017-11-13,66
2017-11-14,151
2017-11-15,132
2017-11-16,440
2017-11-17,321
2017-11-18,145
2017-11-19,173
2017-11-20,257
2017-11-21,170
2017-11-22,239
2017-11-23,214
2017-11-24,241
2017-11-25,255
2017-11-26,50
2017-11-27,152
2017-11-28,89
2017-11-29,116
2017-11-30,126
2017-12-01,118
2017-12-02,274
2017-12-03,405
2017-12-04,161
2017-12-05,150
2017-12-06,302
2017-12-07,39
2017-12-08,0
2018-02-16,184
2018-02-17,234
2018-02-18,54
2018-02-19,203
2018-02-20,95
2018-02-21,183
2018-02-22,255
2018-02-23,22
2018-02-24,224
2018-02-25,242
2018-02-26,63
2018-02-27,155
2018-02-28,107
2018-03-01,109
2018-03-02,60
2018-03-03,53
2018-03-04,35
2018-03-05,81
2018-03-06,192
2018-03-07,191
2018-03-08,182
2018-03-09,250
2018-03-10,112
2018-03-11,59
2018-03-12,45
2018-03-13,0
2018-03-14,61
2018-03-15,116
2018-03-16,61
2018-03-17,48
2018-03-18,75
2018-03-19,321
2018-03-20,151
2018-03-21,66
2018-03-22,171
2018-03-23,149
2018-03-24,85
2018-03-25,285
2018-03-26,198
2018-03-27,164
2018-03-28,165
2018-03-29,99
2018-03-30,166
2018-03-31,176
2018-04-01,189
2018-04-02,265
2018-04-03,248
2018-04-04,115
2018-04-05,106
2018-04-06,132
2018-04-07,151
2018-04-08,175
2018-04-09,0
2018-04-10,159
2018-04-11,124
2018-04-12,204
2018-04-13,78
2018-04-14,327
2018-04-15,229
2018-04-16,106
2018-04-17,241
2018-04-18,141
2018-04-19,125
2018-04-20,243
2018-04-21,75
2018-04-22,285
2018-04-23,80
2018-04-24,207
2018-04-25,130
2018-04-26,170
2018-04-27,118
2018-04-28,357
2018-04-29,228
2018-04-30,144
2018-05-01,105
2018-05-02,103
2018-05-03,169
2018-05-04,269
2018-05-05,133
2018-05-06,172
2018-05-07,176
2018-05-08,240
2018-05-09,45
2018-05-10,0
2018-05-11,0
2018-06-22,65
2018-06-23,398
2018-06-24,157
2018-06-25,231
2018-06-26,260
2018-06-27,154
2018-06-28,155
2018-06-29,0
2018-07-13,329
2018-07-14,125
2018-07-15,314
2018-07-16,227
2018-07-17,99
2018-07-18,234
2018-07-19,311
2018-07-20,60
2018-07-21,119
2018-07-22,244
2018-07-23,122
2018-07-24,62
2018-07-25,41
2018-07-26,85
2018-07-27,269
2018-07-28,220
2018-07-29,172
2018-07-30,184
2018-07-31,105
2018-08-01,144
2018-08-02,148
2018-08-03,60
2018-08-04,129
2018-08-05,292
2018-08-06,276
2018-08-07,219
2018-08-08,112
2018-08-09,200
2018-08-10,200
2018-08-11,79
2018-08-12,327
2018-08-13,229
2018-08-14,113
2018-08-15,141
2018-08-16,69
2018-08-17,199
2018-08-18,255
2018-08-19,129
2018-08-20,166
2018-08-21,60
2018-08-22,228
2018-08-23,209
2018-08-24,48
2018-08-25,160
2018-08-26,276
2018-08-27,0
2018-08-28,0
2018-08-29,0
2018-08-30,0
2018-08-31,254
2018-09-01,195
2018-09-02,225
2018-09-03,123
2018-09-04,391
2018-09-05,199
2018-09-06,156
2018-09-07,0
2018-10-05,176
2018-10-06,90
2018-10-07,349
2018-10-08,190
2018-10-09,0
2018-10-10,0
2018-10-11,0
2018-10-12,0
2018-10-19,256
2018-10-20,169
2018-10-21,251
2018-10-22,0
