date,My Curio Cards
2021-05-28,0
2021-05-29,136
2021-05-30,96
2021-05-31,191
2021-06-01,270
2021-06-02,0
2021-06-03,0
2021-06-04,0
2021-07-09,0
2021-07-10,0
2021-07-11,0
2021-07-12,0
2021-07-13,0
2021-07-14,223
2021-07-15,234
2021-07-16,103
2021-07-17,135
2021-07-18,198
2021-07-19,122
2021-07-20,297
2021-07-21,0
2021-07-22,0
2021-07-23,0
2021-07-30,128
2021-07-31,241
2021-08-01,115
2021-08-02,204
2021-08-03,138
2021-08-04,133
2021-08-05,28
2021-08-06,0
2021-08-20,26
2021-08-21,31
2021-08-22,30
2021-08-23,21
2021-08-24,138
2021-08-25,11
2021-08-26,4
2021-08-27,0
2021-09-10,0
2021-09-11,59
2021-09-12,60
2021-09-13,151
2021-09-14,49
2021-09-15,140
2021-09-16,175
2021-09-17,0
2021-09-24,145
2021-09-25,286
2021-09-26,85
2021-09-27,201
2021-09-28,99
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-15,196
2021-10-16,229
2021-10-17,368
2021-10-18,170
2021-10-19,189
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,271
2021-10-28,357
2021-10-29,0
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,0
2021-11-10,342
2021-11-11,139
2021-11-12,283
2021-11-13,230
2021-11-14,0
2021-11-15,0
2021-11-16,0
2021-11-17,112
2021-11-18,197
2021-11-19,244
2021-11-20,286
2021-11-21,58
2021-11-22,223
2021-11-23,232
2021-11-24,0
2021-11-25,0
2021-11-26,0
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,147
2021-12-02,186
2021-12-03,343
2021-12-04,104
2021-12-05,336
2021-12-06,293
2021-12-07,241
2021-12-08,0
2021-12-09,0
2021-12-10,0
2021-12-17,0
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,0
2021-12-22,243
2021-12-23,307
2021-12-24,273
2021-12-25,310
2021-12-26,186
2021-12-27,66
2021-12-28,120
2021-12-29,345
2021-12-30,233
2021-12-31,0
2022-01-01,153
2022-01-02,146
2022-01-03,126
2022-01-04,192
2022-01-05,242
2022-01-06,138
2022-01-07,206
2022-01-08,100
2022-01-09,318
2022-01-10,224
2022-01-11,45
2022-01-12,174
2022-01-13,71
2022-01-14,398
2022-01-15,292
2022-01-16,147
2022-01-17,144
2022-01-18,113
2022-01-19,281
2022-01-20,333
2022-01-21,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,141
2022-02-01,224
2022-02-02,17
2022-02-03,181
2022-02-04,61
2022-02-05,139
2022-02-06,241
2022-02-07,177
2022-02-08,102
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-18,281
2022-02-19,228
2022-02-20,167
2022-02-21,183
2022-02-22,180
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-04-29,136
2022-04-30,65
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,70
2022-05-05,212
2022-05-06,125
2022-05-07,384
2022-05-08,71
2022-05-09,248
2022-05-10,68
2022-05-11,98
2022-05-12,0
2022-05-13,0
2022-05-20,0
2022-05-21,0
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,249
2022-05-26,142
2022-05-27,327
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,388
2022-06-02,270
2022-06-03,167
2022-06-04,169
2022-06-05,122
2022-06-06,353
2022-06-07,39
2022-06-08,194
2022-06-09,147
2022-06-10,94
2022-06-11,0
2022-06-12,445
2022-06-13,218
2022-06-14,266
2022-06-15,208
2022-06-16,298
2022-06-17,317
2022-06-18,104
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,0
2022-07-20,319
2022-07-21,256
2022-07-22,281
2022-07-23,124
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,449
2022-07-28,148
2022-07-29,181
2022-07-30,0
2022-07-31,0
2022-08-01,0
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,358
2022-08-08,245
2022-08-09,83
2022-08-10,257
2022-08-11,92
2022-08-12,270
2022-08-13,142
2022-08-14,0
2022-08-15,0
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-26,337
2022-08-27,143
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-16,0
2022-09-17,0
2022-09-18,216
2022-09-19,195
2022-09-20,144
2022-09-21,431
2022-09-22,341
2022-09-23,0
2022-10-28,0
2022-10-29,0
2022-10-30,167
2022-10-31,238
2022-11-01,343
2022-11-02,126
2022-11-03,228
2022-11-04,284
2022-11-05,0
