date,OpenSea Shared Storefront
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,22
2017-07-18,398
2017-07-19,301
2017-07-20,171
2017-07-21,120
2017-07-22,27
2017-07-23,324
2017-07-24,187
2017-07-25,266
2017-07-26,45
2017-07-27,303
2017-07-28,151
2017-07-29,144
2017-07-30,170
2017-07-31,156
2017-08-01,67
2017-08-02,136
2017-08-03,69
2017-08-04,151
2017-08-05,350
2017-08-06,208
2017-08-07,242
2017-08-08,108
2017-08-09,138
2017-08-10,248
2017-08-11,143
2017-08-12,261
2017-08-13,200
2017-08-14,337
2017-08-15,40
2017-08-16,292
2017-08-17,214
2017-08-18,179
2017-08-19,303
2017-08-20,195
2017-08-21,206
2017-08-22,214
2017-08-23,94
2017-08-24,318
2017-08-25,319
2017-08-26,126
2017-08-27,394
2017-08-28,53
2017-08-29,231
2017-08-30,185
2017-08-31,122
2017-09-01,296
2017-09-02,99
2017-09-03,71
2017-09-04,103
2017-09-05,55
2017-09-06,150
2017-09-07,53
2017-09-08,180
2017-09-09,193
2017-09-10,108
2017-09-11,363
2017-09-12,114
2017-09-13,224
2017-09-14,102
2017-09-15,201
2017-09-16,187
2017-09-17,286
2017-09-18,288
2017-09-19,61
2017-09-20,190
2017-09-21,64
2017-09-22,135
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-10-13,80
2017-10-14,194
2017-10-15,452
2017-10-16,293
2017-10-17,114
2017-10-18,75
2017-10-19,319
2017-10-20,157
2017-10-21,267
2017-10-22,16
2017-10-23,69
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,134
2017-10-28,343
2017-10-29,183
2017-10-30,322
2017-10-31,248
2017-11-01,230
2017-11-02,262
2017-11-03,180
2017-11-04,195
2017-11-05,70
2017-11-06,122
2017-11-07,123
2017-11-08,218
2017-11-09,127
2017-11-10,165
2017-11-11,212
2017-11-12,260
2017-11-13,496
2017-11-14,328
2017-11-15,150
2017-11-16,248
2017-11-17,353
2017-11-18,419
2017-11-19,191
2017-11-20,165
2017-11-21,162
2017-11-22,162
2017-11-23,356
2017-11-24,218
2017-11-25,124
2017-11-26,328
2017-11-27,0
2017-11-28,243
2017-11-29,332
2017-11-30,251
2017-12-01,160
2017-12-02,249
2017-12-03,148
2017-12-04,430
2017-12-05,97
2017-12-06,183
2017-12-07,273
2017-12-08,160
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,0
2017-12-13,0
2017-12-14,0
2017-12-15,0
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,0
2018-02-13,79
2018-02-14,110
2018-02-15,296
2018-02-16,200
2018-02-17,0
2018-02-18,0
2018-02-19,17
2018-02-20,115
2018-02-21,82
2018-02-22,77
2018-02-23,123
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,310
2018-03-03,165
2018-03-04,89
2018-03-05,0
2018-03-06,234
2018-03-07,153
2018-03-08,78
2018-03-09,364
2018-03-10,147
2018-03-11,54
2018-03-12,194
2018-03-13,131
2018-03-14,179
2018-03-15,167
2018-03-16,21
2018-03-17,286
2018-03-18,96
2018-03-19,13
2018-03-20,131
2018-03-21,271
2018-03-22,32
2018-03-23,341
2018-03-24,254
2018-03-25,49
2018-03-26,123
2018-03-27,203
2018-03-28,177
2018-03-29,90
2018-03-30,251
2018-03-31,283
2018-04-01,231
2018-04-02,150
2018-04-03,81
2018-04-04,139
2018-04-05,23
2018-04-06,140
2018-04-07,58
2018-04-08,171
2018-04-09,134
2018-04-10,234
2018-04-11,43
2018-04-12,106
2018-04-13,44
2018-04-14,72
2018-04-15,144
2018-04-16,109
2018-04-17,358
2018-04-18,28
2018-04-19,247
2018-04-20,398
2018-04-21,398
2018-04-22,88
2018-04-23,182
2018-04-24,54
2018-04-25,176
2018-04-26,194
2018-04-27,80
2018-04-28,202
2018-04-29,219
2018-04-30,205
2018-05-01,199
2018-05-02,212
2018-05-03,293
2018-05-04,93
2018-05-05,147
2018-05-06,154
2018-05-07,201
2018-05-08,24
2018-05-09,99
2018-05-10,286
2018-05-11,96
2018-05-12,273
2018-05-13,145
2018-05-14,0
2018-05-15,0
2018-05-16,0
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,123
2018-05-22,101
2018-05-23,314
2018-05-24,166
2018-05-25,0
2018-06-29,0
2018-06-30,0
2018-07-01,0
2018-07-02,103
2018-07-03,126
2018-07-04,262
2018-07-05,190
2018-07-06,237
2018-07-07,135
2018-07-08,311
2018-07-09,110
2018-07-10,185
2018-07-11,145
2018-07-12,206
2018-07-13,22
2018-07-14,195
2018-07-15,250
2018-07-16,58
2018-07-17,35
2018-07-18,186
2018-07-19,274
2018-07-20,280
2018-07-21,141
2018-07-22,385
2018-07-23,65
2018-07-24,141
2018-07-25,138
2018-07-26,95
2018-07-27,107
2018-07-28,138
2018-07-29,280
2018-07-30,235
2018-07-31,235
2018-08-01,144
2018-08-02,137
