date,Otherdeed
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,131
2017-07-18,173
2017-07-19,273
2017-07-20,236
2017-07-21,486
2017-07-22,136
2017-07-23,31
2017-07-24,178
2017-07-25,193
2017-07-26,257
2017-07-27,320
2017-07-28,254
2017-07-29,154
2017-07-30,146
2017-07-31,70
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,35
2017-08-05,171
2017-08-06,236
2017-08-07,117
2017-08-08,141
2017-08-09,13
2017-08-10,225
2017-08-11,88
2017-08-12,184
2017-08-13,152
2017-08-14,180
2017-08-15,135
2017-08-16,85
2017-08-17,92
2017-08-18,26
2017-08-19,110
2017-08-20,235
2017-08-21,107
2017-08-22,78
2017-08-23,93
2017-08-24,141
2017-08-25,122
2017-08-26,267
2017-08-27,167
2017-08-28,79
2017-08-29,95
2017-08-30,104
2017-08-31,76
2017-09-01,300
2017-09-02,170
2017-09-03,147
2017-09-04,113
2017-09-05,224
2017-09-06,35
2017-09-07,129
2017-09-08,195
2017-09-09,84
2017-09-10,119
2017-09-11,201
2017-09-12,121
2017-09-13,255
2017-09-14,60
2017-09-15,222
2017-09-16,157
2017-09-17,357
2017-09-18,380
2017-09-19,283
2017-09-20,113
2017-09-21,184
2017-09-22,93
2017-09-23,175
2017-09-24,180
2017-09-25,186
2017-09-26,92
2017-09-27,37
2017-09-28,476
2017-09-29,268
2017-09-30,254
2017-10-01,169
2017-10-02,96
2017-10-03,117
2017-10-04,92
2017-10-05,185
2017-10-06,245
2017-10-07,207
2017-10-08,162
2017-10-09,45
2017-10-10,278
2017-10-11,201
2017-10-12,221
2017-10-13,260
2017-10-14,392
2017-10-15,152
2017-10-16,120
2017-10-17,153
2017-10-18,68
2017-10-19,257
2017-10-20,325
2017-10-21,103
2017-10-22,293
2017-10-23,154
2017-10-24,48
2017-10-25,192
2017-10-26,162
2017-10-27,245
2017-10-28,148
2017-10-29,145
2017-10-30,185
2017-10-31,63
2017-11-01,303
2017-11-02,355
2017-11-03,25
2017-11-04,34
2017-11-05,187
2017-11-06,272
2017-11-07,88
2017-11-08,103
2017-11-09,263
2017-11-10,60
2017-11-11,217
2017-11-12,215
2017-11-13,189
2017-11-14,103
2017-11-15,45
2017-11-16,152
2017-11-17,165
2017-11-18,106
2017-11-19,93
2017-11-20,153
2017-11-21,334
2017-11-22,225
2017-11-23,128
2017-11-24,202
2017-11-25,72
2017-11-26,194
2017-11-27,63
2017-11-28,108
2017-11-29,203
2017-11-30,277
2017-12-01,130
2017-12-02,281
2017-12-03,376
2017-12-04,340
2017-12-05,157
2017-12-06,133
2017-12-07,186
2017-12-08,0
2018-01-19,283
2018-01-20,87
2018-01-21,220
2018-01-22,79
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,100
2018-01-30,95
2018-01-31,171
2018-02-01,341
2018-02-02,346
2018-02-03,411
2018-02-04,138
2018-02-05,192
2018-02-06,0
2018-02-07,0
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,24
2018-02-13,265
2018-02-14,290
2018-02-15,238
2018-02-16,162
2018-02-17,128
2018-02-18,140
2018-02-19,184
2018-02-20,129
2018-02-21,106
2018-02-22,257
2018-02-23,75
2018-02-24,192
2018-02-25,402
2018-02-26,137
2018-02-27,197
2018-02-28,392
2018-03-01,290
2018-03-02,73
2018-03-03,110
2018-03-04,203
2018-03-05,70
2018-03-06,200
2018-03-07,50
2018-03-08,191
2018-03-09,285
2018-03-10,0
2018-03-11,81
2018-03-12,208
2018-03-13,21
2018-03-14,269
2018-03-15,71
2018-03-16,261
2018-03-17,46
2018-03-18,22
2018-03-19,145
2018-03-20,117
2018-03-21,185
2018-03-22,134
2018-03-23,185
2018-03-24,219
2018-03-25,338
2018-03-26,145
2018-03-27,185
2018-03-28,124
2018-03-29,265
2018-03-30,55
2018-03-31,151
2018-04-01,264
2018-04-02,205
2018-04-03,85
2018-04-04,97
2018-04-05,130
2018-04-06,81
2018-04-07,74
2018-04-08,114
2018-04-09,129
2018-04-10,36
2018-04-11,93
2018-04-12,164
2018-04-13,94
2018-04-14,399
2018-04-15,154
2018-04-16,143
2018-04-17,64
2018-04-18,370
2018-04-19,152
2018-04-20,192
2018-04-21,233
2018-04-22,125
2018-04-23,87
2018-04-24,173
2018-04-25,121
2018-04-26,168
2018-04-27,209
2018-04-28,211
2018-04-29,233
2018-04-30,125
2018-05-01,93
2018-05-02,71
2018-05-03,50
2018-05-04,170
2018-05-05,130
2018-05-06,112
2018-05-07,146
2018-05-08,223
2018-05-09,356
2018-05-10,295
2018-05-11,288
2018-05-12,183
2018-05-13,258
2018-05-14,0
2018-05-15,0
2018-05-16,0
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,121
2018-05-22,161
2018-05-23,191
2018-05-24,251
2018-05-25,24
2018-05-26,0
2018-05-27,413
2018-05-28,152
2018-05-29,172
2018-05-30,155
2018-05-31,140
2018-06-01,101
2018-06-02,207
