date,RTFKT - CloneX
2021-11-27,178
2021-11-28,190
2021-11-29,170
2021-11-30,186
2021-12-01,219
2021-12-02,142
2021-12-03,82
2021-12-04,255
2021-12-05,99
2021-12-06,64
2021-12-07,97
2021-12-08,44
2021-12-09,51
2021-12-10,230
2021-12-11,42
2021-12-12,90
2021-12-13,187
2021-12-14,581
2021-12-15,306
2021-12-16,209
2021-12-17,128
2021-12-18,270
2021-12-19,122
2021-12-20,260
2021-12-21,319
2021-12-22,120
2021-12-23,250
2021-12-24,41
2021-12-25,258
2021-12-26,270
2021-12-27,214
2021-12-28,341
2021-12-29,125
2021-12-30,172
2021-12-31,411
2022-01-01,181
2022-01-02,166
2022-01-03,343
2022-01-04,609
2022-01-05,108
2022-01-06,250
2022-01-07,387
2022-01-08,277
2022-01-09,299
2022-01-10,306
2022-01-11,123
2022-01-12,131
2022-01-13,171
2022-01-14,195
2022-01-15,116
2022-01-16,298
2022-01-17,228
2022-01-18,123
2022-01-19,164
2022-01-20,237
2022-01-21,211
2022-01-22,245
2022-01-23,95
2022-01-24,179
2022-01-25,111
2022-01-26,152
2022-01-27,214
2022-01-28,311
2022-01-29,122
2022-01-30,131
2022-01-31,385
2022-02-01,380
2022-02-02,325
2022-02-03,347
2022-02-04,248
2022-02-05,367
2022-02-06,290
2022-02-07,290
2022-02-08,94
2022-02-09,29
2022-02-10,284
2022-02-11,276
2022-02-12,441
2022-02-13,256
2022-02-14,376
2022-02-15,172
2022-02-16,133
2022-02-17,223
2022-02-18,391
2022-02-19,243
2022-02-20,210
2022-02-21,345
2022-02-22,164
2022-02-23,95
2022-02-24,191
2022-02-25,166
2022-02-26,88
2022-02-27,218
2022-02-28,197
2022-03-01,394
2022-03-02,268
2022-03-03,126
2022-03-04,188
2022-03-05,137
2022-03-06,576
2022-03-07,103
2022-03-08,374
2022-03-09,133
2022-03-10,218
2022-03-11,161
2022-03-12,149
2022-03-13,233
2022-03-14,79
2022-03-15,94
2022-03-16,202
2022-03-17,117
2022-03-18,127
2022-03-19,189
2022-03-20,68
2022-03-21,50
2022-03-22,81
2022-03-23,80
2022-03-24,116
2022-03-25,57
2022-03-26,159
2022-03-27,110
2022-03-28,154
2022-03-29,181
2022-03-30,190
2022-03-31,53
2022-04-01,201
2022-04-02,306
2022-04-03,103
2022-04-04,319
2022-04-05,277
2022-04-06,330
2022-04-07,241
2022-04-08,153
2022-04-09,338
2022-04-10,172
2022-04-11,300
2022-04-12,183
2022-04-13,106
2022-04-14,0
2022-04-15,175
2022-04-16,137
2022-04-17,252
2022-04-18,0
2022-04-19,137
2022-04-20,198
2022-04-21,192
2022-04-22,173
2022-04-23,433
2022-04-24,353
2022-04-25,208
2022-04-26,154
2022-04-27,262
2022-04-28,239
2022-04-29,236
2022-04-30,236
2022-05-01,226
2022-05-02,135
2022-05-03,84
2022-05-04,234
2022-05-05,190
2022-05-06,213
2022-05-07,263
2022-05-08,94
2022-05-09,193
2022-05-10,85
2022-05-11,232
2022-05-12,260
2022-05-13,232
2022-05-14,216
2022-05-15,66
2022-05-16,266
2022-05-17,79
2022-05-18,263
2022-05-19,222
2022-05-20,110
2022-05-21,377
2022-05-22,292
2022-05-23,0
2022-05-24,24
2022-05-25,485
2022-05-26,260
2022-05-27,108
2022-05-28,211
2022-05-29,413
2022-05-30,262
2022-05-31,95
2022-06-01,122
2022-06-02,113
2022-06-03,432
2022-06-04,190
2022-06-05,319
2022-06-06,163
2022-06-07,231
2022-06-08,165
2022-06-09,114
2022-06-10,92
2022-06-11,72
2022-06-12,225
2022-06-13,321
2022-06-14,191
2022-06-15,185
2022-06-16,236
2022-06-17,257
2022-06-18,335
2022-06-19,176
2022-06-20,120
2022-06-21,147
2022-06-22,232
2022-06-23,264
2022-06-24,271
2022-06-25,105
2022-06-26,0
2022-06-27,0
2022-06-28,121
2022-06-29,287
2022-06-30,194
2022-07-01,297
2022-07-02,69
2022-07-03,137
2022-07-04,76
2022-07-05,230
2022-07-06,293
2022-07-07,118
2022-07-08,157
2022-07-09,101
2022-07-10,166
2022-07-11,122
2022-07-12,179
2022-07-13,93
2022-07-14,106
2022-07-15,169
2022-07-16,0
2022-08-20,262
2022-08-21,512
2022-08-22,240
2022-08-23,111
2022-08-24,0
2022-08-25,0
2022-08-26,0
2022-08-27,333
2022-08-28,282
2022-08-29,214
2022-08-30,79
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,211
2022-09-04,26
2022-09-05,120
2022-09-06,129
2022-09-07,0
2022-09-08,229
2022-09-09,167
2022-09-10,406
2022-09-11,315
2022-09-12,169
2022-09-13,75
2022-09-14,0
2022-09-15,0
2022-09-16,0
2022-09-17,414
2022-09-18,357
2022-09-19,127
2022-09-20,247
2022-09-21,85
2022-09-22,143
2022-09-23,133
2022-09-24,183
2022-09-25,322
2022-09-26,163
2022-09-27,239
2022-09-28,245
2022-09-29,311
2022-09-30,15
2022-10-01,149
2022-10-02,50
2022-10-03,150
2022-10-04,106
2022-10-05,185
2022-10-06,290
2022-10-07,168
2022-10-08,445
2022-10-09,262
2022-10-10,163
2022-10-11,140
2022-10-12,232
2022-10-13,206
2022-10-14,42
2022-10-15,26
2022-10-16,94
2022-10-17,236
2022-10-18,57
2022-10-19,270
2022-10-20,342
2022-10-21,243
2022-10-22,0
2022-10-29,102
2022-10-30,318
2022-10-31,337
2022-11-01,132
2022-11-02,195
2022-11-03,287
2022-11-04,188
2022-11-05,0
