date,Rarible
2020-05-28,62
2020-05-29,181
2020-05-30,116
2020-05-31,282
2020-06-01,269
2020-06-02,171
2020-06-03,140
2020-06-04,121
2020-06-05,52
2020-06-06,93
2020-06-07,194
2020-06-08,115
2020-06-09,147
2020-06-10,234
2020-06-11,186
2020-06-12,110
2020-06-13,151
2020-06-14,193
2020-06-15,350
2020-06-16,201
2020-06-17,47
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,273
2020-06-22,250
2020-06-23,151
2020-06-24,234
2020-06-25,98
2020-06-26,190
2020-06-27,130
2020-06-28,179
2020-06-29,82
2020-06-30,173
2020-07-01,305
2020-07-02,289
2020-07-03,412
2020-07-04,354
2020-07-05,36
2020-07-06,131
2020-07-07,75
2020-07-08,78
2020-07-09,68
2020-07-10,80
2020-07-11,174
2020-07-12,355
2020-07-13,50
2020-07-14,251
2020-07-15,178
2020-07-16,138
2020-07-17,224
2020-07-18,90
2020-07-19,217
2020-07-20,58
2020-07-21,50
2020-07-22,135
2020-07-23,182
2020-07-24,136
2020-07-25,272
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,276
2020-07-31,227
2020-08-01,179
2020-08-02,146
2020-08-03,241
2020-08-04,185
2020-08-05,158
2020-08-06,203
2020-08-07,515
2020-08-08,159
2020-08-09,0
2020-08-10,0
2020-08-11,0
2020-08-12,97
2020-08-13,125
2020-08-14,145
2020-08-15,227
2020-08-16,92
2020-08-17,84
2020-08-18,64
2020-08-19,54
2020-08-20,117
2020-08-21,138
2020-08-22,99
2020-08-23,215
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,80
2020-08-28,78
2020-08-29,74
2020-08-30,195
2020-08-31,174
2020-09-01,84
2020-09-02,254
2020-09-03,111
2020-09-04,120
2020-09-05,234
2020-09-06,310
2020-09-07,65
2020-09-08,132
2020-09-09,64
2020-09-10,330
2020-09-11,147
2020-09-12,0
2020-09-13,0
2020-09-14,0
2020-09-15,0
2020-09-16,0
2020-09-17,0
2020-09-18,152
2020-09-19,436
2020-09-20,301
2020-09-21,0
2020-09-22,0
2020-09-23,0
2020-09-24,0
2020-10-01,32
2020-10-02,0
2020-10-03,39
2020-10-04,230
2020-10-05,133
2020-10-06,20
2020-10-07,45
2020-10-08,44
2020-10-09,41
2020-10-10,168
2020-10-11,152
2020-10-12,198
2020-10-13,93
2020-10-14,122
2020-10-15,281
2020-10-16,92
2020-10-17,32
2020-10-18,68
2020-10-19,159
2020-10-20,132
2020-10-21,100
2020-10-22,85
2020-10-23,123
2020-10-24,204
2020-10-25,52
2020-10-26,228
2020-10-27,115
2020-10-28,188
2020-10-29,0
2020-11-05,238
2020-11-06,0
2020-11-07,65
2020-11-08,30
2020-11-09,26
2020-11-10,59
2020-11-11,48
2020-11-12,69
2020-11-13,88
2020-11-14,354
2020-11-15,355
2020-11-16,315
2020-11-17,334
2020-11-18,290
2020-11-19,288
2020-11-20,214
2020-11-21,47
2020-11-22,87
2020-11-23,52
2020-11-24,46
2020-11-25,38
2020-11-26,48
2020-11-27,133
2020-11-28,170
2020-11-29,334
2020-11-30,130
2020-12-01,162
2020-12-02,98
2020-12-03,185
2020-12-04,154
2020-12-05,143
2020-12-06,324
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,147
2020-12-11,226
2020-12-12,0
2020-12-13,217
2020-12-14,128
2020-12-15,32
2020-12-16,454
2020-12-17,195
2020-12-18,221
2020-12-19,279
2020-12-20,114
2020-12-21,208
2020-12-22,235
2020-12-23,239
2020-12-24,131
2020-12-25,356
2020-12-26,254
2020-12-27,156
2020-12-28,15
2020-12-29,86
2020-12-30,197
2020-12-31,87
2021-01-01,47
2021-01-02,192
2021-01-03,176
2021-01-04,167
2021-01-05,78
2021-01-06,218
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,43
2021-01-11,279
2021-01-12,329
2021-01-13,274
2021-01-14,200
2021-01-15,274
2021-01-16,116
2021-01-17,131
2021-01-18,389
2021-01-19,80
2021-01-20,206
2021-01-21,154
2021-01-22,276
2021-01-23,209
2021-01-24,130
2021-01-25,163
2021-01-26,123
2021-01-27,239
2021-01-28,137
2021-01-29,307
2021-01-30,214
2021-01-31,127
2021-02-01,129
2021-02-02,273
2021-02-03,155
2021-02-04,153
2021-02-05,143
2021-02-06,246
2021-02-07,270
2021-02-08,101
2021-02-09,194
2021-02-10,381
2021-02-11,252
2021-02-12,210
2021-02-13,163
2021-02-14,115
2021-02-15,232
2021-02-16,397
2021-02-17,62
2021-02-18,458
2021-02-19,234
2021-02-20,272
2021-02-21,468
2021-02-22,491
2021-02-23,366
2021-02-24,256
2021-02-25,290
2021-02-26,247
2021-02-27,359
2021-02-28,426
2021-03-01,350
2021-03-02,421
2021-03-03,419
2021-03-04,465
2021-03-05,492
2021-03-06,462
2021-03-07,564
2021-03-08,382
2021-03-09,484
2021-03-10,494
2021-03-11,347
2021-03-12,549
2021-03-13,434
2021-03-14,379
2021-03-15,264
2021-03-16,357
2021-03-17,365
2021-03-18,509
2021-03-19,405
2021-03-20,378
2021-03-21,328
2021-03-22,234
2021-03-23,219
2021-03-24,370
2021-03-25,460
2021-03-26,447
2021-03-27,640
2021-03-28,218
2021-03-29,320
2021-03-30,403
2021-03-31,323
2021-04-01,359
2021-04-02,309
2021-04-03,389
2021-04-04,338
2021-04-05,315
2021-04-06,385
2021-04-07,262
2021-04-08,353
2021-04-09,247
2021-04-10,258
2021-04-11,285
2021-04-12,256
2021-04-13,266
2021-04-14,282
2021-04-15,221
2021-04-16,300
2021-04-17,519
2021-04-18,377
2021-04-19,322
2021-04-20,472
2021-04-21,385
2021-04-22,142
2021-04-23,223
2021-04-24,60
2021-04-25,103
2021-04-26,237
2021-04-27,160
2021-04-28,194
2021-04-29,273
2021-04-30,352
2021-05-01,307
2021-05-02,582
2021-05-03,207
2021-05-04,429
2021-05-05,749
2021-05-06,277
2021-05-07,445
2021-05-08,216
2021-05-09,381
2021-05-10,203
2021-05-11,266
2021-05-12,261
2021-05-13,287
2021-05-14,209
2021-05-15,331
2021-05-16,141
2021-05-17,314
2021-05-18,360
2021-05-19,236
2021-05-20,262
2021-05-21,0
2021-05-22,0
2021-05-23,0
2021-05-24,0
2021-05-25,0
2021-05-26,120
2021-05-27,0
2021-05-28,0
2021-05-29,0
2021-05-30,61
2021-05-31,182
2021-06-01,293
2021-06-02,370
2021-06-03,366
2021-06-04,348
2021-06-05,264
2021-06-06,219
2021-06-07,338
2021-06-08,253
2021-06-09,327
2021-06-10,0
2021-06-17,194
2021-06-18,213
2021-06-19,227
2021-06-20,183
2021-06-21,142
2021-06-22,46
2021-06-23,208
2021-06-24,143
2021-06-25,251
2021-06-26,232
2021-06-27,361
2021-06-28,84
2021-06-29,152
2021-06-30,374
2021-07-01,78
2021-07-02,67
2021-07-03,124
2021-07-04,242
2021-07-05,168
2021-07-06,163
2021-07-07,170
2021-07-08,144
2021-07-09,209
2021-07-10,213
2021-07-11,281
2021-07-12,231
2021-07-13,270
2021-07-14,192
2021-07-15,105
2021-07-16,177
2021-07-17,126
2021-07-18,126
2021-07-19,122
2021-07-20,173
2021-07-21,79
2021-07-22,0
2021-07-23,0
2021-07-24,0
2021-07-25,106
2021-07-26,119
2021-07-27,188
2021-07-28,140
2021-07-29,70
2021-07-30,280
2021-07-31,114
2021-08-01,398
2021-08-02,404
2021-08-03,312
2021-08-04,91
2021-08-05,231
2021-08-06,65
2021-08-07,236
2021-08-08,221
2021-08-09,158
2021-08-10,168
2021-08-11,324
2021-08-12,364
2021-08-13,123
2021-08-14,80
2021-08-15,68
2021-08-16,251
2021-08-17,225
2021-08-18,287
2021-08-19,12
2021-08-20,23
2021-08-21,24
2021-08-22,11
2021-08-23,21
2021-08-24,136
2021-08-25,23
2021-08-26,321
2021-08-27,484
2021-08-28,622
2021-08-29,313
2021-08-30,556
2021-08-31,267
2021-09-01,579
2021-09-02,349
2021-09-03,309
2021-09-04,276
2021-09-05,438
2021-09-06,450
2021-09-07,313
2021-09-08,157
2021-09-09,56
2021-09-10,0
2021-09-11,0
2021-09-12,42
2021-09-13,214
2021-09-14,284
2021-09-15,472
2021-09-16,0
2021-09-17,0
2021-09-18,0
2021-09-19,167
2021-09-20,174
2021-09-21,367
2021-09-22,551
2021-09-23,449
2021-09-24,370
2021-09-25,376
2021-09-26,302
2021-09-27,241
2021-09-28,112
2021-09-29,329
2021-09-30,154
2021-10-01,201
2021-10-02,264
2021-10-03,225
2021-10-04,144
2021-10-05,305
2021-10-06,191
2021-10-07,239
2021-10-08,108
2021-10-09,227
2021-10-10,276
2021-10-11,470
2021-10-12,329
2021-10-13,357
2021-10-14,149
2021-10-15,188
2021-10-16,233
2021-10-17,194
2021-10-18,231
2021-10-19,355
2021-10-20,250
2021-10-21,366
2021-10-22,166
2021-10-23,304
2021-10-24,444
2021-10-25,317
2021-10-26,402
2021-10-27,218
2021-10-28,338
2021-10-29,133
2021-10-30,315
2021-10-31,185
2021-11-01,227
2021-11-02,283
2021-11-03,275
2021-11-04,513
2021-11-05,440
2021-11-06,407
2021-11-07,391
2021-11-08,329
2021-11-09,283
2021-11-10,504
2021-11-11,382
2021-11-12,309
2021-11-13,488
2021-11-14,334
2021-11-15,306
2021-11-16,172
2021-11-17,139
2021-11-18,247
2021-11-19,173
2021-11-20,467
2021-11-21,152
2021-11-22,164
2021-11-23,262
2021-11-24,227
2021-11-25,266
2021-11-26,267
2021-11-27,220
2021-11-28,262
2021-11-29,320
2021-11-30,331
2021-12-01,164
2021-12-02,212
2021-12-03,344
2021-12-04,402
2021-12-05,319
2021-12-06,466
2021-12-07,194
2021-12-08,253
2021-12-09,380
2021-12-10,263
2021-12-11,239
2021-12-12,463
2021-12-13,399
2021-12-14,440
2021-12-15,314
2021-12-16,350
2021-12-17,540
2021-12-18,263
2021-12-19,421
2021-12-20,324
2021-12-21,466
2021-12-22,389
2021-12-23,479
2021-12-24,304
2021-12-25,224
2021-12-26,348
2021-12-27,585
2021-12-28,632
2021-12-29,580
2021-12-30,131
2021-12-31,0
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,473
2022-01-07,288
2022-01-08,745
2022-01-09,635
2022-01-10,704
2022-01-11,579
2022-01-12,591
2022-01-13,502
2022-01-14,611
2022-01-15,509
2022-01-16,726
2022-01-17,565
2022-01-18,683
2022-01-19,704
2022-01-20,604
2022-01-21,728
2022-01-22,677
2022-01-23,897
2022-01-24,791
2022-01-25,684
2022-01-26,635
2022-01-27,654
2022-01-28,678
2022-01-29,683
2022-01-30,524
2022-01-31,835
2022-02-01,426
2022-02-02,565
2022-02-03,633
2022-02-04,664
2022-02-05,707
2022-02-06,531
2022-02-07,540
2022-02-08,579
2022-02-09,642
2022-02-10,609
2022-02-11,501
2022-02-12,601
2022-02-13,481
2022-02-14,533
2022-02-15,576
2022-02-16,582
2022-02-17,375
2022-02-18,534
2022-02-19,566
2022-02-20,399
2022-02-21,431
2022-02-22,489
2022-02-23,371
2022-02-24,589
2022-02-25,438
2022-02-26,340
2022-02-27,373
2022-02-28,336
2022-03-01,362
2022-03-02,398
2022-03-03,366
2022-03-04,508
2022-03-05,374
2022-03-06,632
2022-03-07,278
2022-03-08,420
2022-03-09,502
2022-03-10,195
2022-03-11,235
2022-03-12,117
2022-03-13,164
2022-03-14,220
2022-03-15,222
2022-03-16,147
2022-03-17,254
2022-03-18,426
2022-03-19,563
2022-03-20,246
2022-03-21,323
2022-03-22,347
2022-03-23,135
2022-03-24,265
2022-03-25,258
2022-03-26,172
2022-03-27,171
2022-03-28,149
2022-03-29,358
2022-03-30,282
2022-03-31,298
2022-04-01,332
2022-04-02,434
2022-04-03,268
2022-04-04,0
2022-04-05,0
2022-04-06,0
