date,VaynerSports
2022-04-26,0
2022-04-27,175
2022-04-28,206
2022-04-29,182
2022-04-30,107
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,16
2022-05-05,79
2022-05-06,342
2022-05-07,30
2022-05-08,48
2022-05-09,134
2022-05-10,326
2022-05-11,0
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-24,0
2022-05-25,302
2022-05-26,498
2022-05-27,196
2022-05-28,126
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,60
2022-06-02,241
2022-06-03,228
2022-06-04,88
2022-06-05,147
2022-06-06,47
2022-06-07,272
2022-06-08,104
2022-06-09,125
2022-06-10,230
2022-06-11,140
2022-06-12,564
2022-06-13,251
2022-06-14,96
2022-06-15,259
2022-06-16,192
2022-06-17,280
2022-06-18,153
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-07-26,0
2022-07-27,52
2022-07-28,453
2022-07-29,255
2022-07-30,140
2022-07-31,0
2022-08-01,0
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,244
2022-08-08,55
2022-08-09,0
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,0
2022-08-20,0
2022-08-21,277
2022-08-22,302
2022-08-23,0
2022-09-20,173
2022-09-21,70
2022-09-22,223
2022-09-23,305
2022-09-24,156
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-11-01,0
2022-11-02,202
2022-11-03,148
2022-11-04,117
2022-11-05,0
