date,Women Unite NFT
2022-04-14,113
2022-04-15,190
2022-04-16,243
2022-04-17,110
2022-04-18,0
2022-04-19,0
2022-04-20,0
2022-04-21,356
2022-04-22,224
2022-04-23,177
2022-04-24,117
2022-04-25,119
2022-04-26,179
2022-04-27,204
2022-04-28,0
2022-05-05,253
2022-05-06,212
2022-05-07,155
2022-05-08,236
2022-05-09,470
2022-05-10,197
2022-05-11,216
2022-05-12,48
2022-05-13,30
2022-05-14,143
2022-05-15,162
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,143
2022-05-20,40
2022-05-21,339
2022-05-22,124
2022-05-23,260
2022-05-24,310
2022-05-25,417
2022-05-26,177
2022-05-27,322
2022-05-28,114
2022-05-29,42
2022-05-30,152
2022-05-31,77
2022-06-01,58
2022-06-02,293
2022-06-03,285
2022-06-04,197
2022-06-05,142
2022-06-06,212
2022-06-07,141
2022-06-08,78
2022-06-09,141
2022-06-10,110
2022-06-11,100
2022-06-12,168
2022-06-13,145
2022-06-14,257
2022-06-15,152
2022-06-16,151
2022-06-17,158
2022-06-18,104
2022-06-19,162
2022-06-20,164
2022-06-21,143
2022-06-22,109
2022-06-23,197
2022-06-24,114
2022-06-25,64
2022-06-26,303
2022-06-27,308
2022-06-28,110
2022-06-29,134
2022-06-30,414
2022-07-01,134
2022-07-02,218
2022-07-03,132
2022-07-04,129
2022-07-05,347
2022-07-06,221
2022-07-07,0
2022-07-08,0
2022-07-09,0
2022-07-10,88
2022-07-11,126
2022-07-12,264
2022-07-13,185
2022-07-14,0
2022-07-28,187
2022-07-29,315
2022-07-30,154
2022-07-31,109
2022-08-01,271
2022-08-02,51
2022-08-03,357
2022-08-04,133
2022-08-05,166
2022-08-06,123
2022-08-07,172
2022-08-08,140
2022-08-09,400
2022-08-10,203
2022-08-11,0
2022-08-18,0
2022-08-19,0
2022-08-20,0
2022-08-21,202
2022-08-22,497
2022-08-23,302
2022-08-24,276
2022-08-25,151
2022-08-26,74
2022-08-27,52
2022-08-28,25
2022-08-29,154
2022-08-30,134
2022-08-31,159
2022-09-01,105
2022-09-02,155
2022-09-03,250
2022-09-04,269
2022-09-05,0
2022-09-06,181
2022-09-07,232
2022-09-08,249
2022-09-09,177
2022-09-10,165
2022-09-11,204
2022-09-12,112
2022-09-13,76
2022-09-14,127
2022-09-15,80
2022-09-16,48
2022-09-17,22
2022-09-18,52
2022-09-19,104
2022-09-20,52
2022-09-21,113
2022-09-22,319
2022-09-23,209
2022-09-24,48
2022-09-25,119
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,101
2022-09-30,155
2022-10-01,113
2022-10-02,149
2022-10-03,187
2022-10-04,261
2022-10-05,295
2022-10-06,125
2022-10-07,129
2022-10-08,126
2022-10-09,200
2022-10-10,185
2022-10-11,209
2022-10-12,89
2022-10-13,289
2022-10-14,38
2022-10-15,92
2022-10-16,189
2022-10-17,195
2022-10-18,194
2022-10-19,95
2022-10-20,219
2022-10-21,284
2022-10-22,289
2022-10-23,102
2022-10-24,304
2022-10-25,168
2022-10-26,209
2022-10-27,284
2022-10-28,349
2022-10-29,264
2022-10-30,132
2022-10-31,308
2022-11-01,91
2022-11-02,100
2022-11-03,142
2022-11-04,96
2022-11-05,0
