date,Zora
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,204
2017-08-08,468
2017-08-09,610
2017-08-10,492
2017-08-11,158
2017-08-12,0
2017-08-13,0
2017-08-14,119
2017-08-15,769
2017-08-16,565
2017-08-17,791
2017-08-18,766
2017-08-19,428
2017-08-20,823
2017-08-21,311
2017-08-22,584
2017-08-23,553
2017-08-24,951
2017-08-25,526
2017-08-26,490
2017-08-27,821
2017-08-28,661
2017-08-29,678
2017-08-30,572
2017-08-31,625
2017-09-01,967
2017-09-02,810
2017-09-03,878
2017-09-04,760
2017-09-05,688
2017-09-06,463
2017-09-07,498
2017-09-08,432
2017-09-09,362
2017-09-10,518
2017-09-11,284
2017-09-12,388
2017-09-13,279
2017-09-14,386
2017-09-15,301
2017-09-16,314
2017-09-17,296
2017-09-18,285
2017-09-19,221
2017-09-20,379
2017-09-21,189
2017-09-22,545
2017-09-23,351
2017-09-24,430
2017-09-25,565
2017-09-26,340
2017-09-27,783
2017-09-28,480
2017-09-29,662
2017-09-30,543
2017-10-01,702
2017-10-02,473
2017-10-03,555
2017-10-04,722
2017-10-05,1041
2017-10-06,704
2017-10-07,895
2017-10-08,821
2017-10-09,793
2017-10-10,675
2017-10-11,519
2017-10-12,623
2017-10-13,708
2017-10-14,823
2017-10-15,819
2017-10-16,624
2017-10-17,598
2017-10-18,537
2017-10-19,344
2017-10-20,344
2017-10-21,530
2017-10-22,505
2017-10-23,396
2017-10-24,404
2017-10-25,314
2017-10-26,421
2017-10-27,617
2017-10-28,581
2017-10-29,463
2017-10-30,447
2017-10-31,527
2017-11-01,730
2017-11-02,814
2017-11-03,534
2017-11-04,471
2017-11-05,465
2017-11-06,515
2017-11-07,581
2017-11-08,450
2017-11-09,410
2017-11-10,0
2018-01-19,757
2018-01-20,1095
2018-01-21,1012
2018-01-22,502
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,388
2018-01-30,879
2018-01-31,836
2018-02-01,768
2018-02-02,826
2018-02-03,764
2018-02-04,924
2018-02-05,277
2018-02-06,0
2018-02-07,0
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,583
2018-02-13,1057
2018-02-14,685
2018-02-15,955
2018-02-16,167
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,255
2018-04-10,741
2018-04-11,997
2018-04-12,786
2018-04-13,449
2018-04-14,670
2018-04-15,744
2018-04-16,677
2018-04-17,722
2018-04-18,637
2018-04-19,612
2018-04-20,452
2018-04-21,553
2018-04-22,428
2018-04-23,425
2018-04-24,477
2018-04-25,427
2018-04-26,370
2018-04-27,713
2018-04-28,707
2018-04-29,724
2018-04-30,753
2018-05-01,865
2018-05-02,635
2018-05-03,724
2018-05-04,744
2018-05-05,699
2018-05-06,812
2018-05-07,656
2018-05-08,830
2018-05-09,745
2018-05-10,587
2018-05-11,124
2018-05-12,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-16,0
2018-05-17,0
2018-05-18,0
2018-05-25,379
2018-05-26,501
2018-05-27,575
2018-05-28,502
2018-05-29,547
2018-05-30,544
2018-05-31,569
2018-06-01,872
2018-06-02,729
2018-06-03,532
2018-06-04,558
2018-06-05,538
2018-06-06,698
2018-06-07,476
2018-06-08,126
2018-06-09,0
2018-06-10,0
2018-06-11,0
2018-06-12,0
2018-06-13,0
2018-06-14,0
2018-06-15,0
2018-06-29,726
2018-06-30,615
2018-07-01,611
2018-07-02,240
2018-07-03,0
2018-07-04,0
2018-07-05,0
2018-07-06,566
2018-07-07,773
2018-07-08,724
2018-07-09,382
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,402
2018-07-14,421
2018-07-15,391
2018-07-16,453
2018-07-17,398
2018-07-18,437
2018-07-19,549
2018-07-20,574
2018-07-21,395
2018-07-22,875
2018-07-23,300
2018-07-24,0
2018-07-25,0
2018-07-26,0
2018-07-27,572
2018-07-28,666
2018-07-29,795
2018-07-30,515
2018-07-31,545
2018-08-01,483
2018-08-02,877
2018-08-03,392
2018-08-04,601
2018-08-05,477
2018-08-06,487
2018-08-07,596
2018-08-08,389
2018-08-09,491
2018-08-10,480
2018-08-11,301
2018-08-12,386
2018-08-13,333
2018-08-14,429
2018-08-15,433
2018-08-16,513
2018-08-17,637
2018-08-18,666
2018-08-19,836
2018-08-20,742
2018-08-21,478
2018-08-22,823
2018-08-23,536
2018-08-24,688
2018-08-25,596
2018-08-26,692
2018-08-27,588
2018-08-28,487
2018-08-29,631
2018-08-30,430
2018-08-31,234
2018-09-01,459
2018-09-02,371
2018-09-03,270
2018-09-04,373
2018-09-05,300
2018-09-06,265
2018-09-07,763
2018-09-08,849
2018-09-09,869
2018-09-10,917
2018-09-11,730
2018-09-12,795
2018-09-13,720
2018-09-14,732
2018-09-15,590
2018-09-16,419
2018-09-17,517
2018-09-18,462
2018-09-19,554
2018-09-20,422
2018-09-21,81
2018-09-22,80
2018-09-23,91
2018-09-24,154
2018-09-25,61
2018-09-26,72
2018-09-27,109
2018-09-28,601
2018-09-29,587
2018-09-30,739
2018-10-01,634
2018-10-02,530
2018-10-03,457
2018-10-04,502
2018-10-05,543
2018-10-06,437
2018-10-07,431
2018-10-08,403
2018-10-09,524
2018-10-10,447
2018-10-11,576
2018-10-12,0
2018-12-07,0
2018-12-08,0
2018-12-09,0
2018-12-10,277
2018-12-11,595
2018-12-12,392
2018-12-13,537
2018-12-14,681
2018-12-15,482
2018-12-16,709
2018-12-17,853
2018-12-18,776
2018-12-19,597
2018-12-20,869
2018-12-21,445
2018-12-22,376
2018-12-23,643
2018-12-24,573
2018-12-25,564
2018-12-26,626
2018-12-27,633
2018-12-28,0
2019-01-04,338
2019-01-05,617
2019-01-06,652
2019-01-07,645
2019-01-08,611
2019-01-09,521
2019-01-10,574
2019-01-11,609
2019-01-12,607
2019-01-13,666
2019-01-14,605
2019-01-15,632
2019-01-16,471
2019-01-17,623
2019-01-18,802
2019-01-19,582
2019-01-20,573
2019-01-21,617
2019-01-22,559
2019-01-23,515
2019-01-24,424
2019-01-25,462
2019-01-26,498
2019-01-27,479
2019-01-28,332
2019-01-29,664
2019-01-30,372
2019-01-31,508
2019-02-01,645
2019-02-02,965
2019-02-03,733
2019-02-04,723
2019-02-05,598
2019-02-06,863
2019-02-07,650
2019-02-08,145
2019-02-09,0
2019-02-10,0
2019-02-11,0
2019-02-12,0
2019-02-13,0
2019-02-14,0
2019-02-15,738
2019-02-16,645
2019-02-17,857
2019-02-18,825
2019-02-19,798
2019-02-20,746
2019-02-21,882
2019-02-22,692
2019-02-23,778
2019-02-24,648
2019-02-25,823
2019-02-26,784
2019-02-27,789
2019-02-28,703
2019-03-01,146
2019-03-02,0
2019-03-03,0
2019-03-04,0
2019-03-05,0
2019-03-06,0
2019-03-07,0
2019-03-08,660
2019-03-09,581
2019-03-10,626
2019-03-11,606
2019-03-12,656
2019-03-13,630
2019-03-14,711
2019-03-15,489
2019-03-16,401
2019-03-17,357
2019-03-18,457
2019-03-19,642
2019-03-20,391
2019-03-21,496
2019-03-22,115
2019-03-23,0
2019-03-24,0
2019-03-25,0
2019-03-26,0
2019-03-27,0
2019-03-28,0
2019-03-29,0
2019-05-03,364
2019-05-04,435
2019-05-05,345
2019-05-06,342
2019-05-07,449
2019-05-08,340
2019-05-09,448
2019-05-10,389
2019-05-11,368
2019-05-12,685
2019-05-13,384
2019-05-14,487
2019-05-15,480
2019-05-16,542
2019-05-17,558
2019-05-18,483
2019-05-19,477
2019-05-20,397
2019-05-21,488
2019-05-22,358
2019-05-23,375
2019-05-24,901
2019-05-25,580
2019-05-26,809
2019-05-27,617
2019-05-28,517
2019-05-29,654
2019-05-30,632
2019-05-31,125
2019-06-01,0
2019-06-02,0
2019-06-03,0
2019-06-04,0
2019-06-05,0
2019-06-06,0
2019-06-07,586
2019-06-08,851
2019-06-09,747
2019-06-10,610
2019-06-11,591
2019-06-12,634
2019-06-13,585
2019-06-14,647
2019-06-15,899
2019-06-16,860
2019-06-17,625
2019-06-18,667
2019-06-19,801
2019-06-20,593
2019-06-21,137
2019-06-22,0
2019-06-23,0
2019-06-24,0
2019-06-25,0
2019-06-26,0
2019-06-27,0
2019-06-28,658
2019-06-29,518
2019-06-30,685
2019-07-01,718
2019-07-02,745
2019-07-03,679
2019-07-04,734
2019-07-05,621
2019-07-06,709
2019-07-07,927
2019-07-08,881
2019-07-09,545
2019-07-10,671
2019-07-11,880
2019-07-12,137
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,0
2019-07-19,0
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,280
2019-08-13,643
2019-08-14,403
2019-08-15,635
2019-08-16,767
2019-08-17,796
2019-08-18,753
2019-08-19,775
2019-08-20,489
2019-08-21,600
2019-08-22,596
2019-08-23,132
2019-08-24,0
2019-08-25,0
2019-08-26,0
2019-08-27,0
2019-08-28,0
2019-08-29,0
2019-08-30,611
2019-08-31,733
2019-09-01,666
2019-09-02,452
2019-09-03,516
2019-09-04,775
2019-09-05,500
2019-09-06,540
2019-09-07,574
2019-09-08,559
2019-09-09,550
2019-09-10,419
2019-09-11,474
2019-09-12,639
2019-09-13,591
2019-09-14,523
2019-09-15,729
2019-09-16,577
2019-09-17,684
2019-09-18,652
2019-09-19,659
2019-09-20,703
2019-09-21,558
2019-09-22,844
2019-09-23,443
2019-09-24,0
2019-09-25,0
2019-09-26,0
2019-09-27,717
2019-09-28,681
2019-09-29,659
2019-09-30,711
2019-10-01,771
2019-10-02,697
2019-10-03,543
2019-10-04,831
2019-10-05,534
2019-10-06,788
2019-10-07,794
2019-10-08,581
2019-10-09,424
2019-10-10,665
